# DISTANCE:     AVE_GOFR:        ERROR:
    0.064633           0           0
    0.129266           0           0
    0.193899           0           0
    0.258532           0           0
    0.323165           0           0
    0.387798           0           0
    0.452431           0           0
    0.517064           0           0
    0.581697           0           0
     0.64633           0           0
    0.710963           0           0
    0.775596           0           0
     0.84023           0           0
    0.904863 0.000637102 0.000116207
    0.969496   0.0911271  0.00198369
     1.03413    0.599785  0.00665097
     1.09876     1.14684  0.00970986
     1.16339      1.3121    0.011824
     1.22803     1.22972  0.00979524
     1.29266     1.10269  0.00843099
     1.35729     1.00432  0.00798577
     1.42193    0.924986  0.00732209
     1.48656    0.868737  0.00710969
     1.55119    0.819566  0.00646195
     1.61583    0.799346  0.00615962
     1.68046    0.783028  0.00580997
     1.74509    0.769095  0.00583564
     1.80973    0.763528  0.00545506
     1.87436    0.769248  0.00515264
     1.93899    0.773613  0.00532645
     2.00362    0.773266  0.00520452
     2.06826    0.788475  0.00516799
     2.13289    0.783528  0.00492997
     2.19752    0.787173  0.00479888
     2.26216    0.788662  0.00456452
     2.32679    0.795135  0.00457085
     2.39142    0.792656  0.00418465
     2.45606    0.796179  0.00425334
     2.52069    0.801287  0.00425215
     2.58532    0.799557  0.00418307
     2.64995    0.806888  0.00406455
     2.71459    0.804938   0.0039716
     2.77922    0.805715  0.00404006
     2.84385    0.804681  0.00409858
     2.90849    0.812079  0.00374194
     2.97312    0.813746  0.00377267
     3.03775     0.82027   0.0037069
     3.10239    0.825753  0.00381433
     3.16702    0.826534  0.00382458
     3.23165    0.823209  0.00367714
     3.29629    0.820487  0.00344295
     3.36092    0.828428  0.00342632
     3.42555    0.828746  0.00357064
     3.49018    0.833366  0.00346565
     3.55482    0.833067  0.00328051
     3.61945    0.839613  0.00321608
     3.68408     0.84216  0.00311832
     3.74872    0.840907  0.00313046
     3.81335     0.84336  0.00307316
     3.87798    0.841754  0.00287892
     3.94262     0.84275  0.00275695
     4.00725     0.84206  0.00271556
     4.07188    0.845419  0.00275056
     4.13651    0.847005  0.00267635
     4.20115     0.84905    0.002662
     4.26578    0.852434  0.00277337
     4.33041    0.853231  0.00266294
     4.39505    0.861049   0.0027128
     4.45968    0.856839  0.00255037
     4.52431    0.860992  0.00252435
     4.58895    0.862342  0.00254445
     4.65358    0.864542  0.00241178
     4.71821    0.865174  0.00238483
     4.78285    0.864417  0.00232966
     4.84748    0.864814  0.00230883
     4.91211    0.868757   0.0021821
     4.97674    0.863265  0.00223945
     5.04138    0.868052  0.00223529
     5.10601    0.871533  0.00222538
     5.17064    0.869399   0.0022367
     5.23528    0.872542  0.00222742
     5.29991    0.871511  0.00229457
     5.36454    0.875112  0.00224311
     5.42918    0.878279  0.00211962
     5.49381    0.875832  0.00214209
     5.55844    0.877757  0.00212397
     5.62307     0.88091  0.00213302
     5.68771     0.88233  0.00218439
     5.75234    0.882258    0.002114
     5.81697    0.882769  0.00212381
     5.88161    0.884567  0.00208792
     5.94624    0.886754  0.00204326
     6.01087    0.886694  0.00205034
     6.07551    0.888088  0.00193561
     6.14014    0.889369   0.0019415
     6.20477    0.889943  0.00195751
      6.2694    0.890183  0.00193754
     6.33404    0.890026  0.00186395
     6.39867    0.893683  0.00202059
      6.4633    0.894327  0.00203187
