#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.89458     1.89458           0
           2     1.89284     1.89371 0.000615562
           3     1.86127     1.88289   0.0088378
           4     1.86563     1.87858     0.00761
           5     1.80803     1.86447   0.0140121
           6      1.8506     1.86216   0.0118659
           7     1.88567     1.86551   0.0106358
           8     1.90564     1.87053    0.010422
           9     1.87258     1.87076  0.00926653
          10     1.84909     1.86859  0.00858939
          11     1.87409     1.86909  0.00782305
          12     1.90755      1.8723      0.0078
          13     1.89801     1.87427  0.00744662
          14     1.86325     1.87349  0.00695622
          15     1.90667      1.8757  0.00683515
          16     1.89578     1.87695  0.00652218
          17     1.87326     1.87674  0.00614214
          18     1.82112     1.87365    0.006532
          19     1.86952     1.87343  0.00619183
          20     1.85409     1.87246  0.00595728
          21     1.86438     1.87208  0.00568602
          22     1.90185     1.87343  0.00558624
          23     1.88726     1.87403  0.00537561
          24     1.84868     1.87298  0.00525443
          25     1.82895     1.87122  0.00533115
          26     1.82668      1.8695  0.00539428
          27     1.80782     1.86722  0.00565757
          28       1.822      1.8656  0.00568135
          29     1.81801     1.86396  0.00571757
          30     1.80685     1.86206   0.0058353
          31     1.85739     1.86191  0.00564901
          32      1.8525     1.86161  0.00548012
          33     1.80746     1.85997  0.00555433
          34     1.81975     1.85879  0.00551551
          35     1.80361     1.85721  0.00557866
          36     1.80123     1.85566   0.0056363
          37     1.79763     1.85409  0.00569802
          38     1.82522     1.85333  0.00559848
          39     1.84556     1.85313  0.00545847
          40     1.85786     1.85325  0.00532329
          41     1.88263     1.85397  0.00524146
          42     1.92049     1.85555  0.00535066
          43     1.87598     1.85602  0.00524727
          44     1.91916     1.85746  0.00532057
          45      1.9528     1.85958   0.0056083
          46     1.90784     1.86063  0.00558367
          47     1.86367     1.86069  0.00546524
          48     1.78609     1.85914  0.00556799
          49     1.80083     1.85795  0.00558005
          50     1.81385     1.85707   0.0055377
          51     1.80257       1.856  0.00553127
          52     1.77018     1.85435  0.00566575
          53     1.79692     1.85326  0.00566149
          54     1.82185     1.85268  0.00558646
          55     1.86842     1.85297  0.00549221
          56     1.91265     1.85403  0.00549656
          57     1.91988     1.85519  0.00552018
          58      1.8931     1.85584  0.00546356
          59     1.87766     1.85621  0.00538345
          60     1.85826     1.85625  0.00529384
          61      1.9232     1.85734  0.00531964
          62      1.9067     1.85814  0.00529306
          63     1.89762     1.85877  0.00524601
          64     1.90309     1.85946  0.00520956
          65     1.88433     1.85984  0.00514344
          66     1.88304     1.86019   0.0050775
          67     1.90859     1.86092  0.00505285
          68     1.88679      1.8613  0.00499285
          69      1.8575     1.86124  0.00492079
          70     1.83515     1.86087  0.00486458
          71     1.86926     1.86099  0.00479751
          72      1.8684     1.86109  0.00473198
          73     1.91186     1.86178  0.00471799
          74     1.90446     1.86236  0.00468934
          75     1.94568     1.86347  0.00475657
          76     1.88506     1.86376  0.00470246
          77     1.88248       1.864  0.00464767
          78     1.91055      1.8646  0.00462624
          79     1.87131     1.86468  0.00456846
          80     1.83697     1.86433  0.00452447
          81     1.86814     1.86438  0.00446885
          82     1.84909      1.8642  0.00441825
          83     1.89277     1.86454   0.0043784
          84      1.8475     1.86434  0.00433098
          85     1.83253     1.86396  0.00429616
          86      1.8596     1.86391   0.0042465
          87     1.85593     1.86382  0.00419868
          88     1.90752     1.86432  0.00418023
          89     1.94051     1.86517  0.00422002
          90     1.86333     1.86515  0.00417318
          91     1.88384     1.86536  0.00413238
          92     1.89722      1.8657  0.00410195
          93     1.90538     1.86613  0.00407997
          94     1.90762     1.86657  0.00406037
          95     1.87787     1.86669  0.00401937
          96     1.86609     1.86668   0.0039775
          97      1.8954     1.86698   0.0039475
          98     1.89339     1.86725  0.00391641
          99     1.85026     1.86708  0.00388061
         100     1.87253     1.86713  0.00384218
         101     1.84928     1.86696  0.00380821
         102     1.80266     1.86633  0.00382268
         103     1.81007     1.86578  0.00382438
         104     1.80939     1.86524  0.00382585
         105     1.85206     1.86511  0.00379148
         106     1.81369     1.86463  0.00378661
         107     1.81862      1.8642  0.00377555
         108     1.80559     1.86365  0.00377939
         109     1.80451     1.86311  0.00378346
         110     1.77179     1.86228  0.00383907
         111     1.79377     1.86166  0.00385378
         112     1.81161     1.86122   0.0038452
         113     1.83789     1.86101   0.0038167
         114     1.85612     1.86097  0.00378346
         115     1.85281      1.8609  0.00375123
         116     1.88639     1.86112  0.00372533
         117     1.84199     1.86095  0.00369707
         118     1.85415      1.8609  0.00366619
         119     1.84425     1.86076  0.00363805
         120     1.80881     1.86032   0.0036334
         121     1.86554     1.86037  0.00360362
         122     1.84681     1.86026   0.0035758
         123     1.80783     1.85983  0.00357204
         124     1.87397     1.85994  0.00354505
         125     1.88223     1.86012  0.00352117
         126     1.84468        1.86  0.00349536
         127     1.87589     1.86012  0.00347007
         128     1.87384     1.86023  0.00344462
         129     1.83475     1.86003  0.00342357
         130     1.83243     1.85982  0.00340382
         131     1.88687     1.86003  0.00338409
         132     1.89823     1.86032   0.0033708
         133     1.86448     1.86035  0.00334561
         134     1.88757     1.86055   0.0033268
         135     1.83701     1.86038  0.00330672
         136      1.8615     1.86039  0.00328242
         137     1.91363     1.86077  0.00328139
         138     1.85471     1.86073  0.00325791
         139     1.82349     1.86046  0.00324546
         140     1.82552     1.86021  0.00323187
         141     1.87121     1.86029  0.00320989
         142     1.87669     1.86041  0.00318936
         143     1.82626     1.86017  0.00317598
         144      1.8458     1.86007   0.0031555
         145     1.83629      1.8599  0.00313799
         146     1.81138     1.85957  0.00313405
         147     1.79987     1.85917  0.00313894
         148     1.76589     1.85853  0.00318037
         149     1.77066     1.85795  0.00321324
         150     1.80321     1.85758  0.00321247
         151     1.87839     1.85772  0.00319416
         152     1.83904      1.8576   0.0031755
         153      1.8473     1.85753  0.00315546
         154     1.84881     1.85747  0.00313548
         155     1.89217      1.8577  0.00312323
         156     1.91018     1.85803  0.00312128
         157     1.86254     1.85806  0.00310153
         158     1.86154     1.85808  0.00308197
         159      1.8525     1.85805  0.00306279
         160      1.8313     1.85788  0.00304821
         161     1.81341      1.8576  0.00304176
         162     1.84722     1.85754  0.00302366
         163     1.86759      1.8576  0.00300574
         164     1.86137     1.85762   0.0029875
         165     1.82311     1.85742  0.00297671
         166     1.81683     1.85717   0.0029688
         167     1.80932     1.85688  0.00296482
         168      1.8333     1.85674  0.00295049
         169     1.83031     1.85659  0.00293717
         170     1.84974     1.85655  0.00292017
         171     1.87155     1.85663  0.00290441
         172     1.82451     1.85645  0.00289353
         173     1.87145     1.85653   0.0028781
         174     1.88015     1.85667  0.00286476
         175     1.84995     1.85663  0.00284864
         176     1.84092     1.85654  0.00283386
         177     1.80495     1.85625   0.0028328
         178     1.81749     1.85603  0.00282524
         179     1.81475      1.8558  0.00281885
         180     1.88066     1.85594  0.00280657
         181     1.89627     1.85616   0.0027999
         182     1.90484     1.85643  0.00279726
