#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.427587   -0.427587           0
           2   -0.425666   -0.426627  0.00067908
           3   -0.394088    -0.41578  0.00886742
           4   -0.398405   -0.411437  0.00764076
           5   -0.340856   -0.397321   0.0140277
           6   -0.383403   -0.395001     0.01188
           7   -0.418512    -0.39836   0.0106471
           8   -0.438452   -0.403371   0.0104291
           9    -0.40541   -0.403598  0.00927279
          10   -0.381873   -0.401425  0.00859623
          11   -0.406877   -0.401921  0.00782903
          12   -0.440315    -0.40512  0.00780304
          13    -0.43077   -0.407093  0.00744807
          14   -0.396096   -0.406308  0.00695737
          15   -0.439518   -0.408522  0.00683675
          16   -0.428581   -0.409776  0.00652339
          17   -0.406078   -0.409558  0.00614329
          18   -0.353932   -0.406468  0.00653322
          19   -0.402408   -0.406254  0.00619286
          20   -0.386907   -0.405287  0.00595828
          21   -0.397282   -0.404906  0.00568674
          22   -0.434727   -0.406261  0.00558747
          23   -0.420098   -0.406863  0.00537682
          24   -0.381464   -0.405804   0.0052559
          25   -0.361778   -0.404043  0.00533254
          26   -0.359562   -0.402333   0.0053949
          27   -0.340612   -0.400047  0.00565871
          28   -0.354975   -0.398437  0.00568096
          29   -0.350874   -0.396797  0.00571692
          30   -0.339799   -0.394897  0.00583352
          31   -0.390295   -0.394748  0.00564723
          32   -0.385348   -0.394455  0.00547839
          33   -0.340313   -0.392814  0.00555261
          34   -0.352524   -0.391629   0.0055143
          35   -0.336431   -0.390052  0.00557771
          36   -0.334021   -0.388495  0.00563575
          37   -0.330432   -0.386926  0.00569773
          38   -0.358028   -0.386166  0.00559831
          39   -0.378424   -0.385967  0.00545828
          40   -0.390715   -0.386086  0.00532311
          41   -0.415636   -0.386807  0.00524185
          42     -0.4534   -0.388392  0.00535147
          43   -0.409004   -0.388872  0.00524844
          44   -0.452309   -0.390313  0.00532351
          45   -0.485842   -0.392436  0.00561253
          46   -0.440811   -0.393488  0.00558817
          47   -0.396488   -0.393552  0.00546964
          48   -0.318899   -0.391996  0.00557242
          49   -0.333644   -0.390805   0.0055845
          50   -0.346622   -0.389922  0.00554228
          51   -0.335381   -0.388852  0.00553582
          52   -0.302987   -0.387201  0.00567029
          53   -0.329876   -0.386119  0.00566553
          54    -0.35474   -0.385538  0.00559033
          55   -0.401338   -0.385826  0.00549607
          56   -0.445571   -0.386893   0.0055005
          57   -0.452734   -0.388048  0.00552395
          58   -0.425929   -0.388701  0.00546719
          59   -0.410469    -0.38907  0.00538696
          60   -0.391164   -0.389105  0.00529729
          61    -0.45615   -0.390204  0.00532325
          62   -0.439674   -0.391002  0.00529685
          63   -0.430539   -0.391629  0.00524982
          64   -0.436018   -0.392323  0.00521341
          65   -0.417276   -0.392707  0.00514732
          66   -0.416079   -0.393061   0.0050815
          67   -0.441691   -0.393787  0.00505722
          68    -0.41976   -0.394169  0.00499726
          69   -0.390399   -0.394114  0.00492513
          70   -0.368091   -0.393742  0.00486878
          71   -0.402199   -0.393861  0.00480166
          72   -0.401371   -0.393966  0.00473611
          73   -0.444792   -0.394662  0.00472213
          74   -0.437483   -0.395241  0.00469364
          75   -0.478704   -0.396353  0.00476115
          76    -0.41803   -0.396639  0.00470704
          77   -0.415449   -0.396883  0.00465225
          78   -0.443422    -0.39748  0.00463071
          79   -0.404167   -0.397564  0.00457286
          80   -0.369726   -0.397216  0.00452892
          81   -0.400972   -0.397263  0.00447325
