#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.08057     1.08057           0
           2     1.15074     1.11566   0.0248115
           3     1.18063     1.13731   0.0242141
           4     1.22028     1.15806   0.0255433
           5     1.22371     1.17119   0.0235692
           6     1.22072     1.17944   0.0210371
           7     1.23421     1.18727   0.0194326
           8     1.23641     1.19341   0.0179483
           9      1.2318     1.19767    0.016453
          10     1.20933     1.19884   0.0148489
