# DISTANCE:     AVE_GOFR:        ERROR:
   0.0256496           0           0
   0.0512993           0           0
   0.0769489           0           0
    0.102599           0           0
    0.128248           0           0
    0.153898           0           0
    0.179547           0           0
    0.205197           0           0
    0.230847           0           0
    0.256496           0           0
    0.282146           0           0
    0.307796           0           0
    0.333445           0           0
    0.359095           0           0
    0.384745           0           0
    0.410394           0           0
    0.436044           0           0
    0.461694           0           0
    0.487343           0           0
    0.512993           0           0
    0.538642           0           0
    0.564292           0           0
    0.589942           0           0
    0.615591           0           0
    0.641241           0           0
    0.666891           0           0
     0.69254           0           0
     0.71819           0           0
     0.74384           0           0
    0.769489           0           0
    0.795139           0           0
    0.820788           0           0
    0.846438           0           0
    0.872088 1.42863e-05 6.11204e-06
    0.897737  0.00094431 6.01902e-05
    0.923387   0.0200944 0.000301212
    0.949037    0.135235 0.000792154
    0.974686    0.458738  0.00151637
     1.00034    0.963684  0.00230933
     1.02599     1.47995  0.00293589
     1.05164     1.85351  0.00337613
     1.07728     2.03105  0.00337909
     1.10293     2.03234  0.00326857
     1.12858      1.9226  0.00307745
     1.15423     1.76405  0.00308223
     1.17988     1.58636  0.00294315
     1.20553     1.42183  0.00296481
     1.23118      1.2687  0.00280921
     1.25683      1.1367  0.00254955
     1.28248     1.02568  0.00245832
     1.30813    0.931517   0.0023276
     1.33378    0.847834  0.00205869
     1.35943    0.781964  0.00193951
     1.38508    0.729313  0.00188161
     1.41073    0.686128   0.0018107
     1.43638    0.649263  0.00175105
     1.46203    0.622732  0.00174668
     1.48768    0.603095  0.00170796
     1.51333    0.589699   0.0017478
     1.53898    0.580527  0.00161811
     1.56463    0.576741  0.00167538
     1.59028    0.576694  0.00159064
     1.61593    0.581612   0.0014736
     1.64158    0.591428  0.00152559
     1.66723    0.606637  0.00154864
     1.69288      0.6266  0.00162013
     1.71853    0.652262  0.00157654
     1.74418    0.679624  0.00155994
     1.76983    0.710373  0.00152642
     1.79547    0.744996  0.00155932
     1.82112    0.782735  0.00168959
     1.84677    0.820154  0.00161634
     1.87242    0.857617  0.00168718
     1.89807    0.894146  0.00165347
     1.92372    0.930314   0.0016066
     1.94937    0.965194  0.00165457
     1.97502    0.998248  0.00157567
     2.00067      1.0264  0.00164078
     2.02632     1.04729  0.00152933
     2.05197     1.06331  0.00157911
     2.07762     1.07497  0.00164872
     2.10327     1.07814  0.00160071
     2.12892     1.07163  0.00154071
     2.15457     1.06271  0.00161235
     2.18022     1.04629   0.0015962
     2.20587     1.02479  0.00148986
     2.23152     1.00014  0.00148775
     2.25717    0.976762  0.00149874
     2.28282    0.948975  0.00143539
     2.30847    0.925799  0.00141444
     2.33412    0.903764  0.00138351
     2.35977    0.882447  0.00133631
     2.38542    0.865752  0.00132636
     2.41107    0.848798  0.00124336
     2.43672    0.835025  0.00116232
     2.46237    0.824252  0.00122671
     2.48802    0.817684  0.00124362
     2.51366    0.812477  0.00118521
     2.53931     0.81089  0.00117309
     2.56496    0.810406  0.00117763
