#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.04146    -5.04146           0
           2    -4.98131    -5.01139   0.0212675
           3    -5.01961    -5.01413   0.0143536
           4    -5.02465    -5.01676   0.0110034
           5    -4.99524    -5.01245  0.00960763
           6     -5.0043     -5.0111  0.00810177
           7    -4.98142    -5.00686   0.0079767
           8    -5.03762     -5.0107  0.00785192
           9    -4.95196    -5.00417  0.00930445
          10    -5.00457    -5.00421  0.00837409
          11    -5.02151    -5.00579  0.00775909
          12    -5.03124    -5.00791  0.00739683
          13    -4.98713    -5.00631   0.0069984
          14    -5.00005    -5.00586   0.0065128
          15    -4.99557    -5.00518  0.00611467
          16    -4.98896    -5.00416  0.00581594
          17    -5.06615    -5.00781  0.00651742
          18     -5.0407    -5.00964  0.00640633
          19    -5.00702     -5.0095  0.00607063
          20    -5.03725    -5.01089  0.00592351
          21    -5.01045    -5.01087  0.00564148
          22     -4.9671    -5.00888  0.00572511
          23    -5.04276    -5.01035  0.00566254
          24    -5.07141    -5.01289  0.00597085
          25    -5.01088    -5.01281  0.00573256
          26    -4.99626    -5.01218  0.00554732
          27    -5.00432    -5.01189  0.00534948
          28    -4.99324    -5.01122   0.0051997
          29    -5.03713    -5.01211  0.00509659
          30    -4.99441    -5.01152  0.00496073
          31    -4.98649    -5.01072  0.00486598
          32    -5.01124    -5.01073  0.00471395
          33    -5.00392    -5.01053  0.00457562
          34    -5.06272    -5.01206  0.00469153
          35    -5.01266    -5.01208  0.00455752
          36    -5.05034    -5.01314  0.00455318
          37     -4.9949    -5.01265  0.00445674
          38    -5.03771    -5.01331  0.00438797
          39    -5.01639    -5.01339  0.00427616
          40    -5.04354    -5.01414   0.0042352
          41    -5.05434    -5.01512  0.00424389
          42    -5.00399    -5.01486  0.00415111
          43    -5.03391     -5.0153  0.00407817
          44    -5.04911    -5.01607  0.00405724
          45    -5.03839    -5.01656   0.0039973
          46    -4.95949    -5.01532  0.00409845
          47    -4.98235    -5.01462  0.00407084
          48    -5.03346    -5.01501  0.00400491
          49    -5.08053    -5.01635  0.00414038
          50    -4.99636    -5.01595  0.00407684
          51     -5.0458    -5.01654  0.00403869
          52     -4.9633    -5.01551  0.00408872
          53    -5.02847    -5.01576  0.00401888
          54    -5.03656    -5.01614  0.00396288
          55    -4.98449    -5.01557  0.00393239
          56    -4.99567    -5.01521  0.00387819
          57    -5.04409    -5.01572  0.00384311
          58    -5.06382    -5.01655  0.00386529
          59    -5.07982    -5.01762  0.00394576
          60    -5.03385    -5.01789  0.00388926
          61    -5.01196    -5.01779  0.00382671
          62    -4.99889    -5.01749  0.00377711
          63    -5.02086    -5.01754  0.00371754
          64    -5.03226    -5.01777  0.00366656
          65    -5.02387    -5.01787  0.00361135
          66    -5.00528    -5.01767  0.00356167
          67    -5.03782    -5.01798  0.00352118
          68    -5.00456    -5.01778  0.00347492
          69    -5.00946    -5.01766  0.00342665
          70    -5.00351    -5.01746  0.00338366
          71    -4.97896    -5.01691  0.00337916
          72    -4.95392    -5.01604  0.00344364
          73    -5.02528    -5.01616  0.00339879
          74    -5.03361     -5.0164  0.00336103
          75    -5.01071    -5.01632  0.00331707
          76    -5.00802    -5.01622  0.00327523
          77    -4.94507    -5.01529   0.0033605
          78    -4.97641    -5.01479  0.00335419
          79     -5.0329    -5.01502  0.00331955
          80    -5.01966    -5.01508  0.00327857
          81    -4.98486    -5.01471  0.00325925
          82    -5.03707    -5.01498   0.0032309
          83    -5.06616     -5.0156  0.00325028
          84     -5.0532    -5.01604  0.00324227
          85    -5.01187    -5.01599   0.0032045
          86    -5.03022    -5.01616   0.0031715
          87    -5.00498    -5.01603  0.00313765
          88    -5.01727    -5.01605  0.00310203
          89    -5.01871    -5.01608  0.00306732
          90    -5.06679    -5.01664  0.00308457
          91    -4.95576    -5.01597  0.00312239
          92     -5.0162    -5.01597  0.00308845
          93    -5.04578    -5.01629  0.00307183
          94    -4.97701    -5.01588  0.00306745
          95    -5.02681    -5.01599  0.00303731
          96     -5.0201    -5.01603  0.00300598
          97    -5.00348     -5.0159  0.00297777
          98    -5.05138    -5.01627  0.00296931
          99    -4.99529    -5.01605  0.00294686
         100    -4.99445    -5.01584   0.0029253
         101    -4.99835    -5.01566  0.00290146
         102    -5.02387    -5.01575  0.00287413
         103    -5.01394    -5.01573  0.00284628
         104    -5.05203    -5.01608  0.00284023
         105    -5.03015    -5.01621  0.00281634
         106    -5.05474    -5.01657  0.00281313
         107    -4.98884    -5.01631  0.00279876
         108    -4.95728    -5.01577  0.00282572
         109    -5.05086    -5.01609  0.00281807
         110    -5.04261    -5.01633  0.00280275
         111     -5.0087    -5.01626  0.00277834
         112    -5.07315    -5.01677  0.00279957
         113    -4.99187    -5.01655  0.00278345
         114    -5.01121     -5.0165  0.00275943
         115    -4.99111    -5.01628  0.00274426
         116    -5.02595    -5.01637  0.00272187
         117    -5.00682    -5.01628  0.00269983
         118    -4.98186    -5.01599  0.00269266
         119    -5.04726    -5.01626  0.00268282
         120    -5.04876    -5.01653  0.00267411
         121    -5.00291    -5.01641  0.00265438
         122     -5.0068    -5.01633  0.00263379
         123     -5.0015    -5.01621  0.00261514
         124    -5.01809    -5.01623  0.00259409
         125    -5.09535    -5.01686  0.00264944
         126    -5.05424    -5.01716  0.00264497
         127     -4.9977    -5.01701  0.00262858
         128    -5.01162    -5.01696  0.00260838
         129     -5.0362    -5.01711  0.00259242
         130    -5.01194    -5.01707  0.00257278
         131    -4.98484    -5.01683  0.00256488
         132    -4.98963    -5.01662  0.00255371
         133     -5.0015    -5.01651  0.00253704
         134    -4.98963    -5.01631  0.00252603
         135     -5.0055    -5.01623  0.00250859
         136    -4.97321    -5.01591     0.00251
         137     -5.0037    -5.01582  0.00249326
         138     -4.9853     -5.0156  0.00248498
         139    -4.95379    -5.01516  0.00250658
         140    -4.97633    -5.01488  0.00250397
         141    -4.96364    -5.01451  0.00251244
         142    -5.03461    -5.01466  0.00249873
         143    -5.04091    -5.01484  0.00248799
         144    -5.05679    -5.01513  0.00248772
         145    -4.99532    -5.01499  0.00247431
         146    -5.01183    -5.01497  0.00245746
         147    -5.01155    -5.01495  0.00244085
         148    -4.97083    -5.01465  0.00244249
         149    -5.02587    -5.01473  0.00242726
         150    -4.98519    -5.01453  0.00241905
         151     -5.0557     -5.0148  0.00241835
         152    -5.02273    -5.01485    0.002403
         153    -5.01552    -5.01486   0.0023873
         154    -4.99281    -5.01472  0.00237609
         155    -5.00983    -5.01468  0.00236097
         156    -5.03058    -5.01479  0.00234803
         157    -4.97641    -5.01454  0.00234576
         158    -5.02065    -5.01458  0.00233123
         159    -4.99829    -5.01448  0.00231882
         160    -4.97807    -5.01425  0.00231546
         161    -5.01416    -5.01425  0.00230108
         162     -4.9994    -5.01416   0.0022887
         163    -5.00142    -5.01408    0.002276
         164    -5.01448    -5.01408  0.00226212
         165    -4.99737    -5.01398  0.00225068
         166    -5.02043    -5.01402  0.00223745
         167    -4.95714    -5.01368  0.00224983
         168     -5.0468    -5.01388  0.00224505
         169    -5.03782    -5.01402  0.00223623
         170    -5.00585    -5.01397   0.0022236
         171    -5.02133    -5.01401  0.00221101
         172    -4.99998    -5.01393  0.00219966
         173    -4.99532    -5.01382  0.00218957
         174    -4.99731    -5.01373  0.00217904
         175    -5.00673    -5.01369  0.00216696
         176    -4.99763     -5.0136  0.00215657
         177    -4.99358    -5.01348  0.00214735
         178    -5.01182    -5.01348  0.00213531
         179    -4.99946     -5.0134  0.00212481
         180    -4.98676    -5.01325  0.00211816
         181     -4.9866     -5.0131  0.00211157
         182    -5.02416    -5.01316  0.00210084
         183    -4.99163    -5.01304  0.00209265
         184    -4.98977    -5.01292   0.0020851
         185    -5.04116    -5.01307  0.00207941
         186    -4.94394     -5.0127  0.00210118
         187    -5.02367    -5.01276  0.00209076
         188    -4.99199    -5.01265  0.00208256
         189    -5.01666    -5.01267  0.00207165
         190     -5.0207    -5.01271  0.00206117
         191    -5.01257    -5.01271  0.00205038
         192    -5.03688    -5.01284  0.00204357
         193    -5.00105    -5.01278  0.00203389
         194     -5.0775    -5.01311  0.00205059
         195    -4.98192    -5.01295   0.0020463
         196    -4.96194    -5.01269  0.00205235
         197    -4.98494    -5.01255  0.00204676
         198    -4.98946    -5.01243  0.00203974
         199    -5.01961    -5.01247  0.00202981
         200      -5.006    -5.01243  0.00201992
         201    -4.96641    -5.01221  0.00202281
         202    -4.98955    -5.01209   0.0020159
         203    -5.02555    -5.01216  0.00200706
         204    -5.00348    -5.01212  0.00199767
         205     -4.9927    -5.01202  0.00199017
         206    -5.01842    -5.01205  0.00198075
         207    -5.02991    -5.01214  0.00197306
         208    -4.97863    -5.01198  0.00197014
         209    -5.02975    -5.01206  0.00196255
         210    -4.99052    -5.01196  0.00195588
         211    -5.03055    -5.01205   0.0019486
         212    -5.03564    -5.01216  0.00194258
         213    -5.04048    -5.01229    0.001938
         214    -5.03923    -5.01242  0.00193303
         215    -5.02455    -5.01248  0.00192486
         216     -5.0464    -5.01263  0.00192235
         217    -5.02167    -5.01267  0.00191394
         218    -5.05808    -5.01288  0.00191646
         219     -5.0135    -5.01289  0.00190771
         220    -5.01869    -5.01291  0.00189922
         221    -4.97594    -5.01274  0.00189798
         222    -5.00114    -5.01269  0.00189015
         223    -5.00798    -5.01267  0.00188179
         224    -5.01447    -5.01268  0.00187341
         225    -5.03384    -5.01277  0.00186744
         226    -4.99065    -5.01268  0.00186174
         227    -5.00462    -5.01264  0.00185388
         228    -5.04352    -5.01278  0.00185069
         229    -5.05415    -5.01296  0.00185141
         230    -4.98807    -5.01285  0.00184652
         231    -5.03028    -5.01292  0.00184006
         232    -5.04916    -5.01308  0.00183875
         233    -4.99843    -5.01302  0.00183193
         234    -5.03822    -5.01312  0.00182727
         235    -5.03154     -5.0132  0.00182117
         236     -5.0391    -5.01331  0.00181676
         237    -5.04583    -5.01345  0.00181427
         238    -5.00383    -5.01341  0.00180709
         239    -4.97938    -5.01327  0.00180513
         240    -4.99809     -5.0132  0.00179872
         241    -5.04389    -5.01333  0.00179576
         242    -4.98589    -5.01322  0.00179191
         243    -5.01015    -5.01321  0.00178458
         244    -4.98871     -5.0131  0.00178009
         245    -4.99638    -5.01304  0.00177413
         246     -5.0331    -5.01312  0.00176879
         247    -4.99922    -5.01306  0.00176253
         248    -5.01475    -5.01307  0.00175544
         249    -4.98632    -5.01296  0.00175167
         250    -5.03259    -5.01304  0.00174642
         251     -5.0594    -5.01322   0.0017492
         252    -4.97131    -5.01306  0.00175015
         253    -5.02651    -5.01311  0.00174404
         254    -4.99726    -5.01305  0.00173829
         255    -5.00948    -5.01303  0.00173153
         256    -4.97658    -5.01289  0.00173062
         257    -5.03944      -5.013  0.00172696
         258    -4.99678    -5.01293  0.00172141
         259    -4.96735    -5.01276  0.00172374
         260    -5.00918    -5.01274  0.00171717
         261    -5.02527    -5.01279  0.00171126
         262    -5.00139    -5.01275  0.00170528
         263    -5.02416    -5.01279  0.00169935
         264    -4.99319    -5.01272  0.00169453
         265    -4.97878    -5.01259  0.00169297
         266    -5.01365    -5.01259  0.00168661
         267    -4.97319    -5.01244  0.00168674
         268    -5.01153    -5.01244  0.00168045
         269    -5.01132    -5.01244  0.00167421
         270    -5.07662    -5.01268   0.0016848
         271    -5.00939    -5.01266  0.00167862
         272    -5.01735    -5.01268  0.00167254
         273    -5.00802    -5.01266   0.0016665
         274    -5.00165    -5.01262   0.0016609
         275    -5.05289    -5.01277   0.0016613
         276    -5.05375    -5.01292  0.00166191
         277    -5.02777    -5.01297  0.00165677
         278    -4.99723    -5.01291  0.00165178
         279    -4.98087     -5.0128  0.00164985
         280    -4.99309    -5.01273  0.00164546
         281    -4.94681    -5.01249  0.00165624
         282    -5.04085     -5.0126  0.00165342
         283    -5.01748    -5.01261  0.00164766
         284    -5.00316    -5.01258   0.0016422
         285    -5.07736    -5.01281  0.00165209
         286    -5.06714      -5.013   0.0016572
         287     -5.0319    -5.01306  0.00165274
         288      -5.021    -5.01309  0.00164723
         289    -4.97458    -5.01296  0.00164691
         290    -5.00734    -5.01294  0.00164134
         291    -5.01967    -5.01296  0.00163587
         292    -5.04103    -5.01306  0.00163309
         293    -5.02037    -5.01308   0.0016277
         294     -5.0417    -5.01318  0.00162508
         295    -4.99056     -5.0131  0.00162137
         296    -5.03358    -5.01317  0.00161737
         297    -5.04443    -5.01328  0.00161535
         298    -5.03106    -5.01334  0.00161103
         299    -4.97975    -5.01322  0.00160955
         300    -4.98706    -5.01314  0.00160655
         301    -5.02261    -5.01317  0.00160152
         302    -5.01827    -5.01319  0.00159631
         303    -5.08366    -5.01342  0.00160789
         304    -4.99848    -5.01337  0.00160335
         305    -5.07351    -5.01357  0.00161018
         306    -5.02171    -5.01359  0.00160513
         307    -5.03239    -5.01365  0.00160107
         308    -5.01141    -5.01365  0.00159589
         309    -5.02847    -5.01369  0.00159145
         310    -5.03759    -5.01377  0.00158818
         311    -5.01551    -5.01378  0.00158308
         312    -4.99184    -5.01371  0.00157957
         313    -4.98641    -5.01362  0.00157693
         314    -5.00592     -5.0136   0.0015721
         315     -5.0135    -5.01359  0.00156711
         316    -4.99117    -5.01352  0.00156375
         317    -5.00009    -5.01348  0.00155939
         318     -5.0028    -5.01345  0.00155485
         319    -5.00472    -5.01342  0.00155022
         320     -5.0586    -5.01356  0.00155179
         321    -5.01754    -5.01357  0.00154701
         322    -5.03152    -5.01363   0.0015432
         323     -4.9751    -5.01351  0.00154303
         324    -5.01195    -5.01351  0.00153828
         325    -5.03446    -5.01357  0.00153489
         326    -5.03117    -5.01362  0.00153114
         327    -5.00184    -5.01359  0.00152688
         328    -4.97612    -5.01347  0.00152649
         329    -5.03339    -5.01353  0.00152305
         330    -4.98805    -5.01346  0.00152039
         331    -5.00163    -5.01342  0.00151622
         332    -4.96949    -5.01329  0.00151741
         333    -4.96046    -5.01313  0.00152113
         334    -5.03234    -5.01319  0.00151766
         335    -4.96065    -5.01303  0.00152121
         336     -5.0212    -5.01306  0.00151688
         337    -5.04003    -5.01314  0.00151449
         338    -5.00486    -5.01311   0.0015102
         339    -5.05432    -5.01323  0.00151063
         340    -5.00035    -5.01319  0.00150667
         341    -5.00268    -5.01316  0.00150256
         342    -5.00184    -5.01313  0.00149853
         343    -5.00587    -5.01311  0.00149432
         344     -5.0576    -5.01324  0.00149556
         345    -5.00418    -5.01321  0.00149145
         346    -5.00352    -5.01318  0.00148741
         347    -5.09267    -5.01341  0.00150065
         348    -5.06741    -5.01357  0.00150434
         349    -4.99099     -5.0135  0.00150142
         350     -5.0024    -5.01347  0.00149747
         351    -5.02921    -5.01352  0.00149387
         352    -5.01913    -5.01353  0.00148971
         353    -5.08237    -5.01373   0.0014982
         354    -4.97689    -5.01362  0.00149758
         355    -4.96327    -5.01348  0.00150006
         356    -4.98463     -5.0134  0.00149804
         357    -5.05294    -5.01351  0.00149793
         358    -5.03309    -5.01357  0.00149474
         359     -5.0364    -5.01363  0.00149193
         360    -4.97318    -5.01352  0.00149201
         361    -5.00271    -5.01349  0.00148818
         362    -4.98748    -5.01342   0.0014858
         363    -5.00935    -5.01341  0.00148175
         364    -5.02797    -5.01345  0.00147822
         365    -4.98875    -5.01338  0.00147572
         366     -5.0571     -5.0135  0.00147651
         367    -5.06093    -5.01363  0.00147813
         368    -4.98041    -5.01354  0.00147687
         369     -5.0225    -5.01356  0.00147307
         370    -5.04542    -5.01365   0.0014716
         371    -5.01853    -5.01366  0.00146769
         372    -5.00758    -5.01364  0.00146384
         373    -5.03033    -5.01369   0.0014606
         374    -5.01687     -5.0137  0.00145672
         375    -5.00802    -5.01368  0.00145291
         376    -4.99937    -5.01364  0.00144955
         377    -4.98366    -5.01356  0.00144788
         378    -5.04857    -5.01366  0.00144701
         379    -5.02048    -5.01367   0.0014433
         380    -4.97131    -5.01356  0.00144381
         381    -4.97943    -5.01347  0.00144279
         382    -5.03605    -5.01353  0.00144023
         383      -5.033    -5.01358  0.00143736
         384    -4.98023     -5.0135  0.00143624
         385    -5.04222    -5.01357  0.00143445
         386    -5.03797    -5.01363  0.00143212
         387    -5.02242    -5.01366   0.0014286
         388    -5.06547    -5.01379  0.00143115
         389    -5.01608     -5.0138  0.00142748
         390    -5.00708    -5.01378  0.00142392
         391    -5.00143    -5.01375  0.00142063
         392     -5.0192    -5.01376  0.00141708
         393    -5.03318    -5.01381  0.00141433
         394    -5.02526    -5.01384  0.00141104
         395    -5.04027    -5.01391  0.00140905
         396    -4.99453    -5.01386  0.00140634
         397    -5.04731    -5.01394  0.00140532
         398    -5.02825    -5.01398  0.00140225
         399    -5.04703    -5.01406  0.00140118
         400    -4.99862    -5.01402  0.00139821
         401    -4.99709    -5.01398  0.00139536
         402    -4.97669    -5.01389  0.00139497
         403    -5.02761    -5.01392  0.00139193
         404    -5.03009    -5.01396  0.00138905
         405    -4.99905    -5.01392  0.00138611
         406    -5.05117    -5.01402  0.00138573
         407    -4.97249    -5.01391  0.00138608
         408    -5.03817    -5.01397  0.00138396
         409    -5.02948    -5.01401  0.00138109
         410    -5.01344    -5.01401  0.00137772
         411    -4.98642    -5.01394  0.00137601
         412     -5.0139    -5.01394  0.00137267
         413    -5.00334    -5.01392  0.00136958
         414    -4.94561    -5.01375  0.00137618
         415    -4.98493    -5.01368  0.00137461
         416    -4.98844    -5.01362  0.00137265
         417     -4.9557    -5.01348  0.00137637
         418    -5.01208    -5.01348  0.00137308
         419    -4.99471    -5.01344  0.00137053
         420    -4.99321    -5.01339  0.00136811
         421    -5.02481    -5.01341  0.00136513
         422    -5.01448    -5.01342   0.0013619
         423    -5.00519     -5.0134  0.00135882
         424     -5.0336    -5.01344  0.00135645
         425    -5.02912    -5.01348  0.00135376
         426    -5.03583    -5.01353   0.0013516
         427    -4.99201    -5.01348  0.00134937
         428    -4.98097    -5.01341  0.00134836
         429    -5.02849    -5.01344  0.00134567
         430    -5.04051    -5.01351  0.00134401
         431    -4.99826    -5.01347  0.00134136
         432    -5.01065    -5.01346  0.00133827
         433    -5.01256    -5.01346  0.00133518
         434    -5.05057    -5.01355  0.00133484
         435     -5.0082    -5.01354  0.00133183
