#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.12841     1.12841           0
           2     1.08828     1.10835   0.0141898
           3     1.11563     1.11078  0.00966536
           4     1.11907     1.11285  0.00746839
           5     1.09888     1.11006  0.00647621
           6     1.10616     1.10941  0.00542929
           7     1.09029     1.10668  0.00529646
           8     1.12564     1.10905  0.00513776
           9     1.07024     1.10473  0.00611424
          10     1.10346     1.10461  0.00550414
          11     1.11503     1.10555   0.0050846
          12     1.12253     1.10697  0.00485371
          13     1.09287     1.10588  0.00459999
          14     1.10168     1.10558  0.00428123
          15     1.09783     1.10507  0.00402686
          16     1.09327     1.10433  0.00384204
          17     1.14533     1.10674  0.00430691
          18     1.12912     1.10798  0.00424329
          19     1.10555     1.10786  0.00402189
          20     1.12597     1.10876  0.00392141
          21     1.10856     1.10875  0.00373469
          22     1.07904      1.1074  0.00380132
          23     1.12907     1.10834  0.00375097
          24     1.14942     1.11006  0.00396595
          25     1.10843     1.10999  0.00380785
          26     1.09906     1.10957  0.00368453
          27     1.10296     1.10932  0.00355618
          28     1.09686     1.10888  0.00345694
          29      1.1265     1.10949  0.00339074
          30     1.09834     1.10912  0.00329802
          31     1.09427     1.10864  0.00322619
          32     1.10737      1.1086  0.00312562
          33     1.10293     1.10843  0.00303562
          34     1.14157      1.1094  0.00309892
          35     1.10777     1.10935  0.00301073
          36     1.13401     1.11004  0.00300401
          37     1.09721     1.10969  0.00294277
          38      1.1257     1.11011  0.00289534
          39      1.1107     1.11013  0.00282114
          40     1.12967     1.11062  0.00279259
          41     1.13722     1.11127  0.00279883
          42     1.10385     1.11109  0.00273775
          43     1.12262     1.11136  0.00268718
          44      1.1322     1.11183  0.00266752
          45     1.12569     1.11214  0.00262595
          46     1.07457     1.11132  0.00269285
          47     1.09056     1.11088  0.00267155
          48      1.1242     1.11116  0.00263026
          49      1.1538     1.11203  0.00271675
          50     1.09658     1.11172  0.00267992
          51     1.13101      1.1121  0.00265393
          52     1.07665     1.11142  0.00268903
          53     1.11908     1.11156  0.00264218
          54     1.12503     1.11181    0.002605
          55     1.09012     1.11142  0.00258733
          56     1.09541     1.11113  0.00255686
          57     1.13089     1.11148  0.00253539
          58     1.14254     1.11201  0.00254762
          59      1.1536     1.11272  0.00260013
          60     1.12289     1.11289  0.00256231
          61      1.1083     1.11281  0.00252141
          62     1.10261     1.11265   0.0024861
          63      1.1165     1.11271  0.00244739
          64     1.12291     1.11287  0.00241433
          65     1.11664     1.11293  0.00237789
          66     1.10391     1.11279  0.00234577
          67     1.12472     1.11297  0.00231751
          68     1.10501     1.11285  0.00228638
          69     1.10881     1.11279  0.00225399
          70     1.10433     1.11267  0.00222503
          71     1.08789     1.11232  0.00222091
          72     1.07093     1.11175  0.00226323
          73     1.11939     1.11185  0.00223465
          74      1.1231       1.112  0.00220962
          75     1.10647     1.11193  0.00218139
          76      1.1073     1.11187  0.00215354
          77     1.06605     1.11127  0.00220624
          78     1.08602     1.11095  0.00220158
          79     1.12295      1.1111  0.00217895
          80     1.11466     1.11115  0.00215217
          81     1.09271     1.11092   0.0021376
          82     1.12521     1.11109  0.00211863
          83     1.14413     1.11149  0.00213016
          84     1.13698     1.11179  0.00212631
          85     1.11005     1.11177  0.00210139
          86      1.1205     1.11187   0.0020794
          87     1.10529      1.1118  0.00205688
          88     1.11486     1.11183   0.0020338
          89     1.11281     1.11185  0.00201098
          90     1.14398      1.1122  0.00202008
          91     1.07076     1.11175  0.00204857
          92     1.11143     1.11174  0.00202631
          93     1.13162     1.11196  0.00201575
          94     1.08652     1.11169  0.00201239
          95     1.11948     1.11177  0.00199288
          96     1.11482      1.1118  0.00197238
          97     1.10335     1.11171  0.00195397
          98     1.13328     1.11193  0.00194638
          99     1.09656     1.11178   0.0019329
         100     1.09676     1.11163   0.0019194
         101     1.09983     1.11151  0.00190395
         102     1.11862     1.11158  0.00188656
         103     1.10899     1.11156  0.00186841
         104     1.13383     1.11177  0.00186268
         105     1.12064     1.11185  0.00184686
         106     1.13701     1.11209  0.00184462
         107     1.09381     1.11192  0.00183528
         108     1.07223     1.11155  0.00185472
         109     1.13531     1.11177  0.00185046
         110     1.13022     1.11194  0.00184123
