#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.18861     1.18861           0
           2     1.16151     1.17506  0.00958224
           3     1.17839     1.17617  0.00645208
           4     1.18897     1.17937  0.00557714
           5     1.15736     1.17497  0.00595052
           6     1.20516        1.18  0.00675947
           7     1.17153     1.17879  0.00590119
           8       1.171     1.17781  0.00524313
           9       1.201     1.18039  0.00525533
          10     1.17829     1.18018  0.00473398
