#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     9.60747     9.60747           0
           2     9.69505     9.65126   0.0309641
           3     9.68962     9.66405   0.0231334
           4     9.66636     9.66462   0.0173573
           5     9.61208     9.65411   0.0167684
           6     9.72765     9.66637   0.0179005
           7     9.63005     9.66118   0.0160778
           8     9.64799     9.65953   0.0141524
           9     9.68943     9.66285    0.012964
          10     9.54674     9.65124   0.0160457
          11     9.73268     9.65865   0.0162052
          12     9.58317     9.65236   0.0160289
          13     9.67752     9.65429   0.0149124
          14      9.6791     9.65606   0.0139521
          15     9.59843     9.65222   0.0135407
          16     9.64212     9.65159   0.0127091
          17       9.692     9.65397   0.0121817
          18       9.664     9.65453   0.0115177
          19     9.64946     9.65426   0.0109146
          20      9.6719     9.65514   0.0104044
          21     9.61453     9.65321   0.0100871
          22     9.74435     9.65735   0.0104447
          23     9.53464     9.65201   0.0112711
          24       9.666      9.6526   0.0108165
          25     9.66939     9.65327   0.0104047
          26     9.55291     9.64941   0.0106966
          27     9.69535     9.65111   0.0104348
          28     9.68338     9.65226   0.0101256
          29     9.58956      9.6501   0.0100046
          30     9.69989     9.65176  0.00980785
          31     9.66108     9.65206  0.00949608
          32     9.65783     9.65224  0.00920104
          33      9.6464     9.65206  0.00892393
          34     9.66852     9.65255  0.00867457
          35     9.65496     9.65262    0.008427
          36     9.67002      9.6531  0.00820677
          37     9.65525     9.65316  0.00798517
          38     9.69347     9.65422  0.00784519
          39     9.63034     9.65361   0.0076679
          40     9.63321      9.6531  0.00749314
          41     9.66826     9.65347   0.0073195
          42     9.63713     9.65308  0.00715555
          43     9.63615     9.65268  0.00699996
          44     9.70413     9.65385  0.00693782
          45     9.64701      9.6537  0.00678531
          46     9.64423      9.6535  0.00664093
          47      9.6545     9.65352  0.00649967
          48     9.64807      9.6534  0.00636525
          49     9.68822     9.65411  0.00627487
          50     9.63051     9.65364   0.0061671
          51     9.64731     9.65352  0.00604742
          52      9.6992      9.6544  0.00599461
          53     9.50688     9.65161  0.00649556
          54     9.69783     9.65247  0.00643142
          55     9.57191       9.651  0.00647911
          56     9.62275      9.6505  0.00638303
          57     9.66806     9.65081  0.00627848
          58     9.61948     9.65027  0.00619343
          59     9.65271     9.65031  0.00608859
          60     9.65918     9.65046  0.00598891
          61     9.65806     9.65058  0.00589203
          62     9.66152     9.65076  0.00579964
          63     9.62062     9.65028  0.00572728
          64     9.65873     9.65041  0.00563931
          65     9.63824     9.65022  0.00555566
          66     9.69356     9.65088  0.00551016
          67     9.59112     9.64999  0.00549963
          68     9.67119      9.6503  0.00542758
          69     9.61956     9.64986  0.00536718
          70     9.60064     9.64915  0.00533636
          71     9.68121      9.6496  0.00528026
          72     9.62953     9.64932  0.00521428
          73     9.60502     9.64872  0.00517805
          74     9.72842      9.6498  0.00521888
          75     9.60194     9.64916  0.00518815
          76     9.69756     9.64979  0.00515882
          77     9.55672     9.64859  0.00523153
          78      9.7239     9.64955   0.0052528
          79     9.61706     9.64914  0.00520239
          80     9.68964     9.64965  0.00516194
          81     9.64547     9.64959  0.00509847
          82     9.64092     9.64949  0.00503739
          83     9.66726      9.6497  0.00498124
          84      9.6506     9.64971  0.00492195
          85     9.65402     9.64976  0.00486431
          86      9.6736     9.65004  0.00481563
          87     9.65966     9.65015  0.00476155
          88     9.68413     9.65054  0.00472308
          89     9.67239     9.65078  0.00467639
          90     9.61637      9.6504  0.00464003
          91     9.69123     9.65085  0.00461069
          92     9.66519     9.65101   0.0045632
          93     9.67132     9.65122  0.00451936
          94      9.7021     9.65177  0.00450358
          95     9.65863     9.65184  0.00445676
          96     9.61754     9.65148  0.00442463
          97       9.691     9.65189  0.00439773
          98     9.69736     9.65235  0.00437727
          99     9.67514     9.65258  0.00433911
         100     9.62233     9.65228  0.00430625
