#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.811611    0.811611           0
           2    0.798516    0.805064   0.0046297
           3    0.798079    0.802736  0.00362492
           4    0.803599    0.802951  0.00272511
           5    0.808284    0.804018  0.00237968
           6     0.79476    0.802475  0.00243238
           7    0.810908     0.80368  0.00236448
           8     0.80485    0.803826  0.00207345
           9     0.79918     0.80331  0.00190624
          10    0.815388    0.804518  0.00206309
          11    0.793654     0.80353  0.00209864
          12    0.813185    0.804335  0.00207223
          13    0.801451    0.804113  0.00192467
          14    0.800135    0.803829  0.00180804
          15    0.810375    0.804265  0.00173939
          16    0.805759    0.804359  0.00163318
          17    0.801587    0.804196  0.00154523
          18    0.803634    0.804164  0.00145969
          19    0.807863    0.804359  0.00139579
          20    0.803603    0.804321  0.00132651
          21    0.812659    0.804718  0.00132142
          22    0.792696    0.804172  0.00136969
          23    0.819674    0.804846  0.00146662
          24    0.800261    0.804655   0.0014179
          25    0.801038     0.80451  0.00136855
          26    0.815579    0.804936  0.00138054
          27     0.79851    0.804698  0.00134977
          28    0.798803    0.804487  0.00131788
          29    0.813266     0.80479  0.00130674
          30    0.799485    0.804613  0.00127509
          31    0.803796    0.804587  0.00123423
          32    0.807217    0.804669  0.00119839
          33    0.803069    0.804621  0.00116306
          34    0.802107    0.804547   0.0011312
          35    0.804805    0.804554   0.0010989
          36    0.802194    0.804488  0.00107033
          37     0.80479    0.804497  0.00104144
          38    0.801889    0.804428  0.00101629
          39    0.807191    0.804499 0.000992694
          40    0.806552     0.80455 0.000969203
          41    0.802587    0.804502 0.000946746
          42    0.806808    0.804557 0.000925795
          43    0.807482    0.804625  0.00090676
          44    0.800934    0.804541 0.000890025
          45     0.80467    0.804544 0.000870251
          46    0.805404    0.804563 0.000851533
          47    0.803599    0.804542 0.000833663
          48    0.804449     0.80454 0.000816297
          49    0.801778    0.804484 0.000801582
          50     0.80622    0.804519 0.000786302
          51    0.803603    0.804501 0.000771089
          52    0.797511    0.804366 0.000767886
          53    0.817359    0.804612 0.000791559
          54    0.795535    0.804443 0.000794546
          55    0.811065    0.804564 0.000789167
          56    0.806653    0.804601 0.000775956
          57    0.800617    0.804531 0.000765484
          58    0.808456    0.804599  0.00075527
          59    0.806764    0.804636  0.00074336
          60    0.803816    0.804622 0.000731096
          61    0.801179    0.804566 0.000721287
          62    0.805031    0.804573 0.000709692
          63    0.808859    0.804641  0.00070168
          64    0.803239    0.804619 0.000691058
          65     0.80388    0.804608  0.00068052
          66    0.799584    0.804532 0.000674452
