#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.771036    0.771036           0
           2    0.779072    0.775054   0.0028411
           3    0.779153     0.77642  0.00219822
           4    0.779396    0.777164   0.0017701
           5    0.779918    0.777715  0.00149933
           6    0.788262    0.779473  0.00203377
           7    0.768761    0.777943  0.00224636
           8    0.773375    0.777372  0.00203685
           9    0.780166    0.777682  0.00183405
          10    0.780274    0.777941  0.00166886
