#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.78686     1.78686           0
           2     1.81653      1.8017   0.0104901
           3      1.8023      1.8019   0.0069953
           4     1.77158     1.79432  0.00840318
           5     1.80615     1.79668  0.00704776
           6      1.8138     1.79954  0.00642464
           7     1.84056      1.8054  0.00773044
           8     1.83395     1.80897  0.00754313
           9      1.8056     1.80859  0.00671426
          10     1.77434     1.80517  0.00686128
          11      1.7799     1.80287  0.00661082
          12     1.81765      1.8041  0.00617361
          13     1.79312     1.80326  0.00575619
          14     1.77548     1.80127  0.00567661
          15     1.81246     1.80202  0.00534691
          16       1.823     1.80333   0.0051711
          17     1.77923     1.80191  0.00505749
          18     1.78862     1.80117  0.00483018
          19      1.7927     1.80073  0.00459648
          20      1.8428     1.80283  0.00482401
          21     1.86438     1.80576  0.00541178
          22     1.85395     1.80795  0.00559145
          23     1.82144     1.80854  0.00537902
          24     1.79074      1.8078  0.00520575
          25     1.80065     1.80751  0.00500538
          26     1.83283     1.80849  0.00490664
          27     1.77726     1.80733  0.00485931
          28     1.79195     1.80678  0.00471669
          29     1.80901     1.80686  0.00455467
          30     1.81479     1.80712  0.00441052
          31     1.77274     1.80601  0.00440547
          32     1.80687     1.80604  0.00426788
          33     1.83517     1.80692  0.00422887
          34     1.84948     1.80817  0.00428575
          35      1.8231      1.8086  0.00418445
          36     1.86314     1.81011  0.00433384
          37     1.86056     1.81148  0.00442593
          38      1.8648     1.81288  0.00452642
          39     1.81048     1.81282  0.00441077
          40     1.77432     1.81186  0.00440428
          41     1.77693     1.81101  0.00437845
          42      1.7602      1.8098  0.00443815
          43     1.78507     1.80922  0.00437204
          44     1.78404     1.80865  0.00430996
          45     1.80872     1.80865  0.00421418
          46     1.85102     1.80957  0.00422205
          47     1.85204     1.81047   0.0042278
          48     1.78663     1.80998  0.00416881
          49     1.78691     1.80951  0.00411023
          50      1.7692      1.8087  0.00410631
