#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.394827   -0.394827           0
           2   -0.424503   -0.409665   0.0104921
           3   -0.410214   -0.409848  0.00699634
           4   -0.379469   -0.402254  0.00841392
           5   -0.414058   -0.404614  0.00705457
           6   -0.421654   -0.407454  0.00642504
           7   -0.448444    -0.41331  0.00772787
           8   -0.441764   -0.416867  0.00753606
           9   -0.413557   -0.416499  0.00670769
          10   -0.382364   -0.413086  0.00685063
          11   -0.387945     -0.4108  0.00659807
          12   -0.425617   -0.412035  0.00616269
          13   -0.401032   -0.411188  0.00574646
          14    -0.38347   -0.409209  0.00566682
          15    -0.42052   -0.409963  0.00533897
          16   -0.430913   -0.411272  0.00516336
          17   -0.387253   -0.409859  0.00504924
          18   -0.396549    -0.40912  0.00482257
          19   -0.400604   -0.408672  0.00458953
          20   -0.450793   -0.410778  0.00481911
          21   -0.472407   -0.413712  0.00540993
          22    -0.46208   -0.415911  0.00559294
          23   -0.429477   -0.416501  0.00538078
          24   -0.398662   -0.415757  0.00520766
          25   -0.408568    -0.41547  0.00500729
          26   -0.440572   -0.416435   0.0049069
          27   -0.385011   -0.415271  0.00486123
          28   -0.399785   -0.414718  0.00471897
          29   -0.416881   -0.414793  0.00455684
          30   -0.422637   -0.415054  0.00441244
          31   -0.380636   -0.413944  0.00440757
          32    -0.41485   -0.413972  0.00426993
          33   -0.443261    -0.41486  0.00423177
          34   -0.457633   -0.416118  0.00429023
          35   -0.431197   -0.416549  0.00418923
          36   -0.471221   -0.418067  0.00433942
          37   -0.468614   -0.419434  0.00443196
          38   -0.472792   -0.420838  0.00453231
          39   -0.418317   -0.420773  0.00441656
          40   -0.382062   -0.419805   0.0044109
          41   -0.384735    -0.41895  0.00438547
          42   -0.368059   -0.417738   0.0044453
          43   -0.392992   -0.417163  0.00437901
          44   -0.392008   -0.416591  0.00431665
          45   -0.416759   -0.416595  0.00422072
          46   -0.458958   -0.417516  0.00422825
          47   -0.459848   -0.418416  0.00423313
          48   -0.394432   -0.417917  0.00417433
          49   -0.394665   -0.417442  0.00411602
          50   -0.376989   -0.416633  0.00411245
