#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0514188   0.0514188           0
           2   0.0492471    0.050333 0.000767833
           3   0.0474677   0.0493779  0.00093283
           4   0.0486934   0.0492067 0.000715146
           5   0.0482978    0.049025 0.000594773
           6   0.0474485   0.0487622 0.000550625
           7   0.0453318   0.0482722  0.00065468
           8   0.0490373   0.0483678 0.000579789
           9   0.0527265   0.0488521 0.000688539
          10   0.0496552   0.0489324  0.00062435
          11   0.0469816   0.0487551 0.000592243
          12   0.0481343   0.0487033 0.000545144
          13   0.0479389   0.0486445 0.000506371
          14   0.0496594    0.048717 0.000475363
          15   0.0496015    0.048776 0.000447315
          16   0.0471335   0.0486733 0.000430976
          17    0.048454   0.0486604 0.000405817
          18   0.0505568   0.0487658 0.000396712
          19   0.0467147   0.0486578 0.000390243
          20   0.0492136   0.0486856 0.000371719
          21   0.0491634   0.0487084 0.000354714
          22   0.0505722   0.0487931 0.000348561
          23   0.0539661    0.049018 0.000399432
          24   0.0473652   0.0489491  0.00038868
          25   0.0497926   0.0489829 0.000374594
          26   0.0538932   0.0491717 0.000405006
          27   0.0524893   0.0492946  0.00040822
          28   0.0482679   0.0492579 0.000395284
          29   0.0507271   0.0493086 0.000384886
          30   0.0523147   0.0494088 0.000384879
          31   0.0475876   0.0493501 0.000376921
          32   0.0515961   0.0494202  0.00037162
          33   0.0482491   0.0493848 0.000362049
          34   0.0525201    0.049477 0.000362954
          35   0.0483372   0.0494444 0.000354042
          36   0.0519151    0.049513 0.000350796
          37    0.051053   0.0495547 0.000343775
          38   0.0527018   0.0496375 0.000344561
          39   0.0519423   0.0496966 0.000340756
          40    0.048077   0.0496561 0.000334634
          41   0.0477003   0.0496084 0.000329855
          42   0.0539586    0.049712 0.000337872
          43    0.047837   0.0496684 0.000332816
          44    0.046688   0.0496006 0.000332073
          45   0.0490143   0.0495876  0.00032495
          46   0.0516392   0.0496322 0.000320932
          47   0.0506971   0.0496548 0.000314902
          48   0.0483701   0.0496281 0.000309477
          49   0.0506697   0.0496493  0.00030389
          50   0.0489688   0.0496357 0.000298117
