#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.19124     1.19124           0
           2     1.21102     1.20113   0.0069934
           3     1.20153     1.20127  0.00466354
           4     1.18105     1.19621  0.00560212
           5      1.2041     1.19779  0.00469851
           6      1.2092     1.19969   0.0042831
           7     1.22704      1.2036  0.00515363
           8     1.22263     1.20598  0.00502875
           9     1.20373     1.20573  0.00447617
          10     1.18289     1.20344  0.00457419
          11      1.1866     1.20191  0.00440721
          12     1.21177     1.20273  0.00411574
          13     1.19542     1.20217  0.00383746
          14     1.18366     1.20085  0.00378441
          15     1.20831     1.20135  0.00356461
          16     1.21534     1.20222   0.0034474
          17     1.18615     1.20128  0.00337166
          18     1.19241     1.20078  0.00322012
          19     1.19514     1.20049  0.00306432
          20     1.22853     1.20189  0.00321601
          21     1.24292     1.20384  0.00360785
          22     1.23596      1.2053  0.00372764
          23      1.2143     1.20569  0.00358601
          24     1.19383      1.2052   0.0034705
          25     1.20043     1.20501  0.00333692
          26     1.22188     1.20566   0.0032711
          27     1.18484     1.20489  0.00323954
          28     1.19464     1.20452  0.00314446
          29     1.20601     1.20457  0.00303645
          30     1.20986     1.20475  0.00294035
          31     1.18183     1.20401  0.00293698
          32     1.20458     1.20403  0.00284525
          33     1.22345     1.20461  0.00281925
          34     1.23299     1.20545  0.00285716
          35      1.2154     1.20573  0.00278964
          36      1.2421     1.20674  0.00288922
          37     1.24037     1.20765  0.00295062
          38      1.2432     1.20859  0.00301761
          39     1.20699     1.20855  0.00294052
          40     1.18288      1.2079  0.00293619
          41     1.18462     1.20734  0.00291897
          42     1.17347     1.20653  0.00295877
          43     1.19004     1.20615  0.00291469
          44     1.18936     1.20577  0.00287331
          45     1.20581     1.20577  0.00280946
          46     1.23402     1.20638   0.0028147
          47     1.23469     1.20698  0.00281853
          48     1.19109     1.20665  0.00277921
          49     1.19127     1.20634  0.00274015
          50     1.17947      1.2058  0.00273754
