#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.866225    0.866225           0
           2    0.941818    0.904022    0.026726
           3    0.976375    0.928139   0.0265563
           4     1.01017    0.948648   0.0266862
           5     1.03311    0.965541   0.0261547
           6     1.00975    0.972908   0.0228097
           7     1.01514    0.978942   0.0203334
           8     1.04993    0.987815   0.0196325
           9     1.04753    0.994449   0.0185382
          10     1.03087    0.998091   0.0170385
