#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -8.87347    -8.87347           0
           2    -9.64506    -9.25927    0.272797
           3    -9.27349    -9.26401    0.181906
           4    -8.47409    -9.06653    0.218773
           5    -9.37341     -9.1279    0.183426
           6    -9.57085    -9.20173    0.167052
           7    -10.2674    -9.35397    0.200922
           8    -10.0937    -9.44644    0.195931
           9    -9.36044    -9.43688    0.174393
          10     -8.5495    -9.34814    0.178106
          11    -8.69462    -9.28873    0.171537
          12    -9.67401    -9.32084    0.160219
          13    -9.03474    -9.29883    0.149398
          14    -8.57821    -9.24736    0.147327
          15    -9.54159    -9.26697    0.138805
          16    -9.81165    -9.30102     0.13424
          17     -8.6766    -9.26429    0.131272
          18     -8.9182    -9.24506    0.125379
          19    -9.02361     -9.2334    0.119321
          20    -10.3286    -9.28816    0.125292
          21    -10.8906    -9.36447    0.140656
          22    -10.6222    -9.42164    0.145418
          23    -9.77443    -9.43698    0.139902
          24    -8.97313    -9.41765    0.135401
          25    -9.23069    -9.41017    0.130191
          26    -10.0626    -9.43527     0.12758
          27    -8.61803      -9.405    0.126394
          28    -9.00225    -9.39062    0.122696
          29    -9.44677    -9.39255     0.11848
          30     -9.5964    -9.39935    0.114725
          31    -8.50444    -9.37048    0.114599
          32    -9.39407    -9.37122     0.11102
          33    -10.1329     -9.3943    0.110029
          34    -10.5066    -9.42701    0.111551
          35    -9.81921    -9.43822    0.108925
          36    -10.8598    -9.47771     0.11283
          37     -10.792    -9.51323    0.115237
          38    -10.9006    -9.54974    0.117846
          39    -9.48407    -9.54805    0.114836
          40    -8.54137    -9.52289     0.11469
          41    -8.61092    -9.50064    0.114029
          42     -8.1774    -9.46914    0.115585
          43    -8.82572    -9.45417    0.113861
          44    -8.80018    -9.43931    0.112239
          45    -9.44377    -9.43941    0.109745
          46    -10.5409    -9.46335    0.109941
          47    -10.5639    -9.48677    0.110067
          48    -8.86302    -9.47378    0.108538
          49    -8.86906    -9.46143    0.107022
          50     -8.4095     -9.4404     0.10693
