#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.66252     1.66252           0
           2     1.67603     1.66928  0.00477607
           3     1.65378     1.66411  0.00528395
           4     1.66195     1.66357  0.00399056
           5     1.63027     1.65691  0.00675799
           6     1.67817     1.66045  0.00649422
           7     1.64591     1.65838  0.00588959
           8     1.64333     1.65649  0.00544533
           9     1.70584     1.66198  0.00708128
          10     1.67364     1.66314  0.00646845
          11      1.6407      1.6611  0.00619394
          12     1.70887     1.66508  0.00683813
          13     1.65561     1.66435  0.00635079
          14     1.64987     1.66332   0.0059809
          15     1.66863     1.66367  0.00559265
          16     1.65123      1.6629  0.00529689
          17     1.68337      1.6641  0.00512042
          18     1.68134     1.66506  0.00492471
          19     1.66718     1.66517  0.00466678
          20     1.68028     1.66593  0.00449415
          21      1.6808     1.66663   0.0043356
          22     1.69111     1.66775  0.00427892
          23     1.65019     1.66698  0.00416037
          24     1.66107     1.66674  0.00399432
          25     1.68779     1.66758   0.0039223
          26     1.65574     1.66712  0.00379778
          27     1.68309     1.66771  0.00370286
          28     1.63915     1.66669  0.00370851
          29     1.70507     1.66802  0.00380945
          30     1.70737     1.66933  0.00390173
          31     1.65818     1.66897   0.0037924
          32     1.67955      1.6693  0.00368827
          33     1.66542     1.66918  0.00357838
          34     1.67229     1.66927  0.00347431
          35     1.65985     1.66901  0.00338545
          36     1.61911     1.66762   0.0035638
          37     1.68187       1.668  0.00348823
          38     1.66033      1.6678  0.00340228
          39     1.61405     1.66642  0.00358333
          40     1.67821     1.66672  0.00350584
          41     1.66344     1.66664  0.00342124
          42     1.71083     1.66769  0.00349785
          43     1.67291     1.66781  0.00341862
          44     1.66511     1.66775  0.00334147
          45     1.69259      1.6683  0.00331249
          46     1.63665     1.66761  0.00331119
          47      1.6636     1.66753  0.00324184
          48     1.67573      1.6677   0.0031788
          49     1.67747      1.6679  0.00312017
          50     1.64499     1.66744  0.00309122
