#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.01139    -5.01139           0
           2    -5.02213    -5.01676  0.00379632
           3    -4.99977     -5.0111   0.0052703
           4    -5.00952     -5.0107  0.00396742
           5    -4.97827    -5.00421   0.0066131
           6    -5.02638    -5.00791  0.00646086
           7    -4.99359    -5.00586  0.00585282
           8    -4.99226    -5.00416  0.00536245
           9    -5.05342    -5.00964  0.00702503
          10    -5.02214    -5.01089  0.00643276
          11    -4.98877    -5.00888  0.00615407
          12    -5.05708    -5.01289  0.00682766
          13    -5.00357    -5.01218  0.00634001
          14    -4.99878    -5.01122   0.0059589
          15    -5.01577    -5.01152  0.00556936
          16    -4.99887    -5.01073  0.00527717
          17    -5.03332    -5.01206  0.00513131
          18     -5.0315    -5.01314  0.00495857
          19     -5.0163    -5.01331  0.00470038
          20    -5.02997    -5.01414  0.00453856
          21    -5.02916    -5.01486  0.00437847
          22    -5.04151    -5.01607  0.00434387
          23    -4.99894    -5.01532  0.00421835
          24    -5.00791    -5.01501  0.00405388
          25    -5.03844    -5.01595  0.00399859
          26    -5.00455    -5.01551  0.00386877
          27    -5.03252    -5.01614  0.00377639
          28    -4.99008    -5.01521  0.00375447
          29    -5.05396    -5.01655   0.0038554
          30    -5.05684    -5.01789  0.00395387
          31    -5.00543    -5.01749  0.00384671
          32    -5.02656    -5.01777  0.00373693
          33    -5.01457    -5.01767  0.00362495
          34    -5.02119    -5.01778  0.00351981
          35    -5.00648    -5.01746    0.003434
          36    -4.96644    -5.01604  0.00361924
          37    -5.02945     -5.0164  0.00353952
          38    -5.00936    -5.01622  0.00345122
          39    -4.96074    -5.01479  0.00364411
          40    -5.02628    -5.01508  0.00356431
          41    -5.01096    -5.01498  0.00347878
          42    -5.05968    -5.01604  0.00355503
          43    -5.02105    -5.01616  0.00347426
          44    -5.01112    -5.01605  0.00339719
          45    -5.04275    -5.01664  0.00337314
          46    -4.98598    -5.01597  0.00336503
          47     -5.0114    -5.01588  0.00329484
          48    -5.02345    -5.01603  0.00322998
          49    -5.02743    -5.01627  0.00317242
          50    -4.99487    -5.01584   0.0031377
