#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     2.17906     2.17906           0
           2     2.14692     2.16299   0.0113631
           3     2.19012     2.17203   0.0105791
           4      2.1923      2.1771  0.00906685
           5     2.35245     2.21217   0.0321944
           6     2.11629     2.19619   0.0305384
           7     2.25561     2.20468   0.0273301
           8      2.2572     2.21124   0.0246898
           9     2.14991     2.20443   0.0228676
          10     2.26249     2.21023   0.0213053
          11     2.36217     2.22405   0.0234214
          12     2.13206     2.21638   0.0226894
          13     2.31207     2.22374   0.0221058
          14     2.25663     2.22609   0.0206513
          15     2.29005     2.23035   0.0197098
          16     2.23205     2.23046   0.0184782
          17      2.0464     2.21963   0.0203173
          18     2.10309     2.21316   0.0201938
          19     2.17163     2.21097   0.0192489
          20     2.09071     2.20496   0.0192027
          21     2.17486     2.20353   0.0183417
          22     2.13564     2.20044   0.0177657
          23     2.27035     2.20348   0.0172513
          24     2.19523     2.20314   0.0165359
          25     2.15061     2.20104   0.0160074
          26     2.22781     2.20207   0.0154248
          27     2.15855     2.20045   0.0149375
          28     2.23836     2.20181   0.0144653
          29     1.97529       2.194   0.0159365
          30     2.01649     2.18808   0.0164671
          31     2.22473     2.18926   0.0159782
          32     2.14318     2.18782   0.0155437
          33      2.1556     2.18685   0.0151033
          34     2.23996     2.18841   0.0147397
          35     2.21065     2.18904   0.0143322
          36     2.37339     2.19416   0.0148206
          37     2.20885     2.19456   0.0144254
          38     2.36953     2.19917   0.0147624
          39     2.42199     2.20488     0.01545
          40     2.19423     2.20461    0.015066
          41     2.17214     2.20382   0.0147194
          42     2.03715     2.19985   0.0148942
          43     2.11765     2.19794     0.01467
          44     2.18153     2.19757   0.0143413
          45     2.12539     2.19596   0.0141121
          46     2.38805     2.20014   0.0144099
          47     2.25029     2.20121   0.0141427
          48     2.27219     2.20269   0.0139252
          49      2.1045     2.20068   0.0137844
          50     2.27574     2.20218   0.0135902
