#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.10835     1.10835           0
           2     1.11735     1.11285  0.00318405
           3     1.10252     1.10941  0.00352264
           4     1.10796     1.10905  0.00266037
           5     1.08685     1.10461  0.00450532
           6     1.11878     1.10697  0.00432948
           7     1.09727     1.10558  0.00392639
           8     1.09555     1.10433  0.00363022
           9     1.13722     1.10798  0.00472085
          10     1.11576     1.10876   0.0043123
          11      1.0938      1.1074  0.00412929
          12     1.13924     1.11006  0.00455875
          13     1.10374     1.10957  0.00423386
          14     1.09991     1.10888  0.00398726
          15     1.11242     1.10912  0.00372843
          16     1.10082      1.1086  0.00353126
          17     1.12225      1.1094  0.00341361
          18     1.12089     1.11004  0.00328314
          19     1.11146     1.11011  0.00311119
          20     1.12018     1.11062   0.0029961
          21     1.12053     1.11109   0.0028904
          22     1.12741     1.11183  0.00285261
          23     1.10013     1.11132  0.00277358
          24     1.10738     1.11116  0.00266288
          25     1.12519     1.11172  0.00261487
          26     1.10383     1.11142  0.00253185
          27     1.12206     1.11181  0.00246857
          28     1.09276     1.11113  0.00247234
          29     1.13672     1.11201  0.00253963
          30     1.13824     1.11289  0.00260115
          31     1.10546     1.11265  0.00252826
          32      1.1197     1.11287  0.00245885
          33     1.11028     1.11279  0.00238559
          34     1.11486     1.11285  0.00231621
          35     1.10657     1.11267  0.00225697
          36     1.07941     1.11175  0.00237587
          37     1.12125       1.112  0.00232549
          38     1.10688     1.11187  0.00226819
          39     1.07603     1.11095  0.00238889
          40     1.11881     1.11115  0.00233723
          41     1.10896     1.11109  0.00228083
          42     1.14056     1.11179   0.0023319
          43     1.11528     1.11187  0.00227908
          44     1.11008     1.11183  0.00222765
          45     1.12839      1.1122  0.00220832
          46      1.0911     1.11174  0.00220746
          47     1.10907     1.11169  0.00216123
          48     1.11715      1.1118   0.0021192
          49     1.11831     1.11193  0.00208012
          50     1.09666     1.11163  0.00206082
