#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.12617     1.12617           0
           2     1.12884     1.12751 0.000944386
           3     1.11104     1.12202   0.0045253
           4     1.13807     1.12603  0.00485791
           5      1.0944      1.1197  0.00686485
           6     1.15049     1.12483  0.00739356
           7     1.10233     1.12162  0.00700156
           8     1.13567     1.12337  0.00634269
           9     1.13211     1.12435  0.00571171
          10     1.08994     1.12091  0.00608906
