#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -133.645    -133.645           0
           2    -133.921    -133.783   0.0977246
           3     -133.34    -133.635    0.137072
           4    -133.595    -133.625    0.103175
           5    -132.783    -133.457    0.171813
           6    -134.034    -133.553    0.167964
           7    -133.181      -133.5    0.152149
           8    -133.148    -133.456    0.139353
           9    -134.737    -133.598    0.182602
          10    -133.924    -133.631    0.167224
          11    -133.056    -133.579    0.159972
          12    -134.832    -133.683    0.177514
          13    -133.441    -133.664    0.164834
          14    -133.317     -133.64    0.154914
          15    -133.757    -133.647    0.144785
          16    -133.318    -133.627    0.137191
          17    -134.216    -133.662     0.13343
          18    -134.169     -133.69    0.128963
          19    -133.773    -133.694     0.12225
          20    -134.129    -133.716    0.118054
          21    -134.107    -133.734    0.113889
          22     -134.43    -133.766    0.113012
          23    -133.321    -133.747    0.109741
          24    -133.552    -133.739    0.105467
          25     -134.35    -133.763    0.104046
          26    -133.467    -133.752    0.100665
          27    -134.195    -133.768   0.0982659
          28    -133.093    -133.744   0.0976696
          29    -134.752    -133.779    0.100293
          30    -134.827    -133.814    0.102859
          31    -133.488    -133.803    0.100075
          32    -134.038    -133.811    0.097215
          33    -133.728    -133.808   0.0943012
          34      -133.9    -133.811   0.0915664
          35    -133.515    -133.802   0.0893387
          36    -132.475    -133.765   0.0941611
          37    -134.113    -133.775   0.0920841
          38    -133.592     -133.77   0.0897859
          39    -132.326    -133.733   0.0948125
          40    -134.031     -133.74   0.0927351
          41    -133.633    -133.738   0.0905106
          42    -134.901    -133.765   0.0924924
          43    -133.895    -133.769   0.0903907
          44    -133.635    -133.765   0.0883871
          45    -134.462    -133.781   0.0877667
          46    -132.985    -133.764   0.0875491
          47    -133.644    -133.761   0.0857233
          48    -133.957    -133.765   0.0840349
          49    -134.063    -133.771   0.0825395
          50    -133.217     -133.76   0.0816311
