#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.20734     1.20734           0
           2     1.21142     1.20938   0.0014429
           3     1.20413     1.20763  0.00172263
           4     1.20783     1.20768  0.00129271
           5     1.20936     1.20801  0.00107712
           6     1.21128     1.20856  0.00102588
           7     1.20977     1.20873 0.000893737
           8      1.2032     1.20804  0.00101467
           9     1.21151     1.20842 0.000972694
          10     1.21238     1.20882 0.000952285
          11     1.19745     1.20779  0.00131194
          12     1.20891     1.20788  0.00120597
          13     1.20425      1.2076  0.00114504
          14     1.20302     1.20727  0.00110895
          15     1.20678     1.20724  0.00103551
          16     1.21098     1.20747 0.000996765
          17     1.20788      1.2075 0.000938422
          18     1.20551     1.20739 0.000892767
          19     1.20862     1.20745 0.000848142
          20      1.2122     1.20769 0.000838247
          21     1.20928     1.20777 0.000801732
          22     1.20097     1.20746 0.000822572
          23     1.21057     1.20759 0.000797844
          24     1.20905     1.20765 0.000766916
          25     1.20246     1.20745 0.000763842
          26     1.20771     1.20746 0.000734534
          27     1.20518     1.20737 0.000712131
          28     1.20524      1.2073 0.000690762
          29     1.20681     1.20728 0.000667146
          30     1.20685     1.20726 0.000645057
          31     1.21072     1.20738 0.000633794
          32      1.2042     1.20728 0.000621697
          33     1.20675     1.20726 0.000603061
          34     1.20467     1.20718 0.000590117
          35     1.20737     1.20719  0.00057328
          36     1.21115      1.2073 0.000567825
          37     1.20495     1.20724 0.000556019
          38     1.20545     1.20719 0.000543364
          39     1.21141      1.2073 0.000540126
          40     1.20375     1.20721  0.00053387
          41     1.21042     1.20729 0.000526551
          42     1.20534     1.20724 0.000516052
          43     1.20783     1.20725  0.00050423
          44     1.20431     1.20719 0.000497205
          45     1.20477     1.20713 0.000489039
          46     1.21067     1.20721 0.000484428
          47     1.20488     1.20716 0.000476661
          48     1.20641     1.20715 0.000466988
          49     1.20392     1.20708 0.000462085
          50     1.20084     1.20695 0.000469369
