#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.65638    -6.65638           0
           2     -6.6597    -6.65804  0.00117476
           3    -6.65164     -6.6559  0.00191044
           4    -6.65561    -6.65583  0.00143421
           5     -6.6571    -6.65609  0.00116962
           6    -6.65911    -6.65659   0.0010778
           7    -6.65714    -6.65667 0.000926678
           8    -6.65079    -6.65593  0.00106318
           9    -6.65852    -6.65622 0.000983288
          10    -6.66179    -6.65678   0.0010307
          11    -6.64487     -6.6557  0.00139377
          12    -6.65728    -6.65583  0.00128386
          13    -6.65209    -6.65554  0.00121684
          14    -6.65119    -6.65523  0.00116893
          15    -6.65409    -6.65515  0.00109348
          16    -6.65788    -6.65532  0.00103835
          17    -6.65563    -6.65534 0.000977426
          18    -6.65336    -6.65523 0.000929298
          19    -6.65566    -6.65525 0.000880668
          20     -6.6598    -6.65548 0.000865409
          21    -6.65618    -6.65551 0.000824838
          22    -6.64827    -6.65519 0.000850561
          23    -6.65851    -6.65533 0.000825801
          24    -6.65705     -6.6554  0.00079448
          25    -6.64922    -6.65515 0.000800232
          26    -6.65512    -6.65515 0.000769455
          27    -6.65375     -6.6551 0.000742715
          28    -6.65282    -6.65502 0.000720658
          29    -6.65553    -6.65504 0.000696027
          30     -6.6549    -6.65503 0.000672841
          31    -6.65846    -6.65514 0.000660162
          32    -6.65356    -6.65509 0.000641378
          33    -6.65469    -6.65508  0.00062206
          34    -6.65259    -6.65501 0.000608057
          35    -6.65481      -6.655 0.000590709
          36    -6.65928    -6.65512 0.000586137
          37    -6.65311    -6.65507 0.000572813
          38    -6.65312    -6.65502 0.000560019
          39    -6.65938    -6.65513 0.000556737
          40    -6.65074    -6.65502 0.000553502
          41    -6.65755    -6.65508 0.000543442
          42      -6.654    -6.65505 0.000531109
          43    -6.65531    -6.65506 0.000518791
          44    -6.65255      -6.655 0.000510131
          45    -6.65264    -6.65495 0.000501486
          46    -6.65911    -6.65504 0.000498673
          47    -6.65201    -6.65498  0.00049221
          48    -6.65418    -6.65496 0.000482238
          49     -6.6526    -6.65491 0.000474786
          50    -6.64801    -6.65477 0.000484954
