#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     9.65222     9.65222           0
           2     9.63311     9.64266  0.00675504
           3     9.66187     9.64907  0.00690078
           4     9.62728     9.64362  0.00700288
           5     9.62229     9.63935  0.00677781
           6     9.62693     9.63728  0.00595626
           7      9.6386     9.63747  0.00510832
           8     9.65548     9.63972   0.0049408
           9     9.62208     9.63776  0.00476492
          10     9.62119      9.6361  0.00456745
          11     9.69233     9.64122  0.00640286
          12     9.63922     9.64105  0.00587145
          13     9.67885     9.64396  0.00609735
          14     9.66871     9.64573  0.00591266
          15     9.63971     9.64532  0.00553206
          16     9.63035     9.64439  0.00526492
          17     9.63876     9.64406   0.0049656
          18     9.66706     9.64534  0.00485139
          19     9.65673     9.64593  0.00463298
          20     9.64321      9.6458  0.00440333
          21      9.6395      9.6455  0.00420387
          22      9.6677     9.64651  0.00413211
          23     9.62413     9.64553   0.0040654
          24     9.63647     9.64516  0.00391352
          25     9.68049     9.64657  0.00400403
          26     9.65211     9.64678  0.00385571
          27     9.66174     9.64734  0.00375249
          28     9.66263     9.64788  0.00365802
          29      9.6619     9.64837  0.00356369
          30     9.65073     9.64845  0.00344577
          31     9.63664     9.64807  0.00335559
          32     9.67557     9.64892  0.00335901
          33     9.64936     9.64894  0.00325725
          34     9.66814      9.6495  0.00321006
          35     9.63891      9.6492  0.00313257
          36     9.60304     9.64792  0.00329751
          37     9.63487     9.64757  0.00322718
          38      9.6454     9.64751  0.00314276
          39     9.63609     9.64722  0.00307578
          40     9.65862      9.6475  0.00301207
          41     9.64107     9.64734  0.00294269
          42     9.64849     9.64737  0.00287275
          43     9.64234     9.64725  0.00280833
          44     9.64537     9.64721  0.00274483
          45     9.64092     9.64707  0.00268739
          46     9.61728     9.64642   0.0027059
          47     9.66518     9.64682  0.00267759
          48     9.62714     9.64641  0.00265304
          49     9.67048      9.6469  0.00264396
          50     9.66756     9.64732  0.00262315
