#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     0.80489     0.80489           0
           2    0.807611     0.80625 0.000961933
           3     0.80275    0.805084  0.00114842
           4    0.805218    0.805117 0.000861804
           5    0.806239    0.805342 0.000718078
           6    0.807518    0.805704 0.000683923
           7     0.80651    0.805819 0.000595825
           8    0.802133    0.805359 0.000676448
           9    0.807677    0.805616 0.000648463
          10     0.80825     0.80588 0.000634857
          11    0.798298     0.80519 0.000874627
          12    0.805942    0.805253  0.00080398
          13    0.802834    0.805067 0.000763361
          14    0.802015    0.804849 0.000739303
          15    0.804521    0.804827 0.000690338
          16    0.807318    0.804983  0.00066451
          17    0.805255    0.804999 0.000625615
          18    0.803673    0.804925 0.000595178
          19    0.805748    0.804968 0.000565428
          20    0.808131    0.805127 0.000558831
          21    0.806185    0.805177 0.000534488
          22     0.80065    0.804971 0.000548381
          23    0.807045    0.805061 0.000531896
          24    0.806035    0.805102 0.000511278
          25    0.801641    0.804963 0.000509228
          26    0.805143     0.80497 0.000489689
          27    0.803456    0.804914 0.000474754
          28    0.803492    0.804863 0.000460508
          29     0.80454    0.804852 0.000444764
          30     0.80457    0.804843 0.000430038
          31    0.807145    0.804917 0.000422529
          32    0.802802    0.804851 0.000414465
          33    0.804501     0.80484 0.000402041
          34    0.803114     0.80479 0.000393411
          35    0.804912    0.804793 0.000382187
          36    0.807435    0.804867  0.00037855
          37      0.8033    0.804824  0.00037068
          38    0.803635    0.804793 0.000362243
          39     0.80761    0.804865 0.000360084
          40    0.802498    0.804806 0.000355913
          41    0.806945    0.804858 0.000351034
          42     0.80356    0.804827 0.000344035
          43    0.805217    0.804836 0.000336153
          44     0.80287    0.804792  0.00033147
          45    0.803183    0.804756 0.000326026
          46    0.807117    0.804807 0.000322952
          47    0.803251    0.804774 0.000317774
          48    0.804272    0.804764 0.000311326
          49    0.802611     0.80472 0.000308057
          50    0.800563    0.804637 0.000312913
