#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.876783    0.876783           0
           2    0.880939    0.878861  0.00146932
           3    0.886101    0.881274  0.00220042
           4    0.889192    0.883254  0.00237952
           5    0.878881    0.882379  0.00205805
           6    0.888123    0.883337  0.00192488
           7    0.891309    0.884475  0.00195803
           8    0.878299    0.883703  0.00185927
           9    0.890546    0.884464  0.00180146
          10    0.882896    0.884307  0.00162812
