#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -178.515    -178.515           0
           2      -178.6    -178.558   0.0302756
           3     -178.39    -178.502   0.0498849
           4    -178.494      -178.5   0.0374543
           5    -178.532    -178.506   0.0305251
           6    -178.585    -178.519   0.0280941
           7    -178.533    -178.521   0.0241478
           8    -178.368    -178.502   0.0277055
           9    -178.569     -178.51   0.0255937
          10    -178.656    -178.524   0.0268991
          11    -178.214    -178.496   0.0363338
          12    -178.538    -178.499   0.0334712
          13    -178.402    -178.492   0.0317213
          14    -178.379    -178.484   0.0304632
          15    -178.454    -178.482   0.0284994
          16    -178.552    -178.486   0.0270513
          17    -178.494    -178.487    0.025464
          18    -178.435    -178.484   0.0242095
          19    -178.494    -178.484   0.0229416
          20    -178.602     -178.49   0.0225387
          21    -178.508    -178.491   0.0214804
          22    -178.302    -178.483   0.0221528
          23    -178.569    -178.486   0.0215085
          24    -178.531    -178.488   0.0206933
          25    -178.327    -178.482   0.0208515
          26     -178.48    -178.482   0.0200496
          27    -178.446     -178.48   0.0193505
          28    -178.421    -178.478   0.0187759
          29    -178.493    -178.479    0.018135
          30    -178.475    -178.479   0.0175309
          31    -178.568    -178.481   0.0171994
          32    -178.442     -178.48   0.0167062
          33     -178.47     -178.48   0.0162029
          34    -178.415    -178.478   0.0158374
          35    -178.473    -178.478   0.0153857
          36    -178.589    -178.481   0.0152673
          37    -178.429     -178.48   0.0149191
          38    -178.429    -178.478   0.0145861
          39    -178.592    -178.481   0.0145003
          40    -178.366    -178.478   0.0144191
          41    -178.544     -178.48   0.0141549
          42    -178.453    -178.479   0.0138326
          43    -178.486    -178.479   0.0135117
          44    -178.415    -178.478   0.0132848
          45    -178.417    -178.477   0.0130593
          46    -178.585    -178.479   0.0129878
          47    -178.399    -178.477    0.012821
          48    -178.456    -178.477   0.0125613
          49    -178.416    -178.476   0.0123652
          50    -178.295    -178.472    0.012632
