#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.009598   0.0138422 0.000373768
           2    0.008856   0.0141332 0.000435361
           3    0.010274   0.0146943 0.000447819
           4    0.010914   0.0151052    0.000447
           5      0.0108   0.0154105 0.000553154
           6    0.011882   0.0160339 0.000498634
           7     0.01235   0.0164458 0.000448655
           8    0.012316   0.0169605 0.000427819
           9    0.012964    0.017585 0.000373273
          10     0.01308   0.0180504 0.000353529
          11    0.012936   0.0183881 0.000254451
          12      0.0118   0.0188916 0.000483638
          13    0.013458   0.0196335 0.000171172
          14    0.015246   0.0207476 0.000160372
          15    0.015378    0.021458 0.000174465
          16    0.016354   0.0225291 0.000407657
          17    0.016766   0.0236746 0.000328211
          18    0.018518   0.0252131 0.000482344
          19     0.01991   0.0260886 0.000628532
          20    0.021178   0.0272114 0.000761514
          21    0.023586   0.0287163  0.00081648
          22    0.025656   0.0304899  0.00090731
          23    0.026466   0.0321881  0.00108967
          24    0.029018   0.0344396  0.00128539
          25    0.031198    0.036363  0.00147207
          26    0.031422   0.0384345  0.00156149
          27    0.034246   0.0412359  0.00166386
          28    0.037348    0.043973  0.00181494
          29    0.035888   0.0461386  0.00175452
          30     0.04133   0.0494802   0.0020244
          31    0.045498   0.0539249  0.00228977
          32    0.050114   0.0584599  0.00248256
          33    0.056628   0.0638761  0.00269467
          34    0.066872   0.0702834     0.00312
          35    0.075708   0.0773391  0.00335082
          36    0.075706   0.0847346  0.00361213
          37       0.085   0.0945495  0.00386079
          38    0.092558    0.102831  0.00409212
          39    0.097608    0.115212  0.00449018
          40    0.111196    0.131277  0.00529365
          41    0.134756    0.153446  0.00622517
          42    0.158596    0.177634   0.0074145
          43    0.193738    0.206157   0.0085482
          44    0.209868    0.249551   0.0104837
          45     0.28554    0.301933   0.0135061
          46     0.33632    0.373629   0.0154337
          47    0.428666    0.466356    0.021435
          48     0.56945     0.59002   0.0265749
          49    0.799594     0.74721   0.0322743
          50    0.878422    0.856773    0.038088
          51    0.903908    0.946953   0.0445878
          52    0.961862    0.997251   0.0469209
          53    0.998522     1.01092    0.044195
          54    0.999984     1.04916    0.051193
          55           1     1.04994   0.0512319
          56           1     1.04996   0.0512327
