#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.008282   0.0132864 0.000367493
           2    0.008088   0.0132373 0.000377376
           3    0.011914   0.0139837 0.000441604
           4     0.00985   0.0148293 0.000426423
           5    0.009822   0.0144295 0.000433046
           6    0.016824   0.0160619  0.00061233
           7    0.013216   0.0163896 0.000416328
           8    0.014724   0.0174327 0.000615936
           9     0.01572   0.0176588 0.000739989
          10    0.017208   0.0186725 0.000745601
          11    0.015508   0.0183837 0.000709122
          12    0.021338   0.0194877 0.000704568
          13    0.018794   0.0203809  0.00083715
          14    0.020226   0.0221061 0.000939549
          15    0.019492   0.0223149 0.000736391
          16    0.020312   0.0236638 0.000974609
          17     0.02022   0.0245143 0.000953518
          18    0.020026   0.0264597 0.000977643
          19    0.019988   0.0272495  0.00106429
          20    0.028874   0.0281562 0.000961592
          21    0.026358   0.0293157  0.00110399
          22     0.02485   0.0300683  0.00111059
          23    0.025852   0.0306041  0.00107011
          24    0.027104   0.0316356  0.00108945
          25    0.034358   0.0368532  0.00138907
          26     0.02846   0.0377039  0.00151629
          27    0.034722   0.0401846  0.00172726
          28    0.038084   0.0424821   0.0017713
          29    0.039962   0.0444384  0.00189058
          30    0.045702   0.0482156  0.00209379
          31    0.043466   0.0523888  0.00240443
          32    0.052052   0.0557916  0.00225572
          33    0.058046   0.0611725  0.00274546
          34    0.061434   0.0684165  0.00276068
          35    0.068226   0.0735948  0.00326306
          36     0.08375   0.0795022  0.00352747
          37    0.076426   0.0876586   0.0035258
          38     0.07511   0.0959468  0.00390064
          39    0.105596    0.117284  0.00501137
          40    0.125642    0.129362  0.00573628
          41    0.141682    0.151779  0.00666585
          42    0.192258    0.179682  0.00781357
          43    0.222276    0.211895  0.00961195
          44     0.24569    0.244152   0.0105511
          45    0.286218    0.298826   0.0130662
          46    0.323342    0.370764   0.0165236
          47    0.466386    0.468918   0.0216094
          48     0.53889    0.557846   0.0255586
          49      0.7123    0.683323   0.0293624
          50    0.625122     0.81614   0.0370604
          51    0.910924     0.94111   0.0450892
          52     0.94249    0.960913   0.0408329
          53     0.99901     1.03362   0.0500234
          54    0.999988     1.00196   0.0171398
          55           1     1.04916   0.0511897
          56           1     1.04955   0.0512114
