#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1   0.0990806     0.10465   0.0051016
           2    0.102428    0.107932  0.00526089
           3     0.10514    0.111093  0.00541492
           4    0.108346    0.114668  0.00559074
           5    0.111547    0.118424  0.00577359
           6    0.114526    0.122221  0.00595868
           7    0.118357    0.126116  0.00614792
           8    0.122501    0.130227  0.00634841
           9     0.12678    0.134488  0.00655704
          10    0.131275    0.138987  0.00677585
          11    0.134845    0.143594  0.00699836
          12    0.139751    0.148677  0.00724719
          13    0.144806    0.154088  0.00750789
          14    0.149341    0.159453   0.0077687
          15    0.155175    0.165516  0.00806492
          16    0.161453     0.17159  0.00836145
          17    0.166894     0.17784  0.00866286
          18    0.174744    0.184707  0.00899976
          19    0.180229     0.19164  0.00933729
          20    0.185606    0.199242  0.00970518
          21    0.193206    0.206982   0.0100815
          22    0.201201    0.214787   0.0104611
          23    0.208959     0.22342    0.010886
          24    0.217931    0.232357   0.0113211
          25     0.22835    0.241735    0.011781
          26    0.238335    0.251784   0.0122735
          27     0.24758    0.262101   0.0127791
          28    0.257451    0.272745   0.0132891
          29    0.266471    0.283503   0.0138204
          30    0.275604    0.295462   0.0143991
          31     0.28794    0.307915   0.0150058
          32    0.303584    0.320211   0.0156126
          33    0.310085    0.331998   0.0161789
          34    0.324381    0.345186   0.0168146
          35    0.336134    0.359345   0.0174908
          36    0.352326    0.375088   0.0182576
          37    0.370834    0.390155   0.0190141
          38    0.383954    0.403197   0.0196406
          39    0.392487    0.415243   0.0202172
          40    0.404429    0.428149   0.0208402
          41    0.406336    0.436382   0.0212422
          42    0.426945    0.446085   0.0217039
          43    0.417469    0.453308   0.0220098
          44     0.42768    0.461175   0.0223853
          45     0.41737    0.457859    0.022103
          46    0.429267    0.456907   0.0220858
          47    0.428009    0.447897   0.0214997
          48    0.442559    0.448309   0.0213935
          49    0.399608     0.43348   0.0205481
          50    0.367618    0.414571    0.019832
          51    0.306963    0.361835   0.0159724
          52     0.15101    0.242764  0.00807032
          53    0.154155    0.111418   0.0133821
          54 0.000652898   0.0324461  0.00792509
          55           0  0.00546449  0.00257526
          56           0  0.00525715  0.00350919
