#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.100288    0.104869  0.00511272
           2    0.103254    0.108436  0.00528686
           3    0.106634    0.111635  0.00544408
           4    0.109122    0.114849  0.00560117
           5    0.113934    0.118225  0.00576559
           6    0.116741    0.121964  0.00594728
           7    0.122252    0.126457  0.00616462
           8    0.126876    0.130697  0.00636993
           9    0.129616    0.134637   0.0065644
          10    0.133869    0.139532  0.00680223
          11    0.138061    0.144153  0.00702827
          12    0.141396    0.149198  0.00727295
          13    0.146071    0.154289  0.00752263
          14     0.15211    0.159561  0.00777722
          15    0.157528    0.164994  0.00803766
          16    0.164373    0.171029   0.0083359
          17    0.168113     0.17767   0.0086649
          18    0.174533    0.184045  0.00896989
          19    0.180239    0.191213  0.00931105
          20    0.190736     0.19919  0.00970495
          21    0.198025    0.206928   0.0100837
          22    0.206635    0.215166   0.0104844
          23    0.216482    0.223676   0.0108944
          24    0.223592     0.23247   0.0113329
          25     0.22946     0.24048   0.0117249
          26     0.23803    0.250356   0.0122015
          27    0.249512    0.260832     0.01271
          28     0.26168    0.272632   0.0132886
          29    0.274227    0.284468   0.0138662
          30     0.28892      0.2967   0.0144526
          31    0.299956    0.308613   0.0150231
          32    0.304266    0.319504   0.0155704
          33    0.319866    0.332259   0.0161932
          34    0.334564    0.347255    0.016922
          35    0.350167    0.361366   0.0176118
          36    0.361784    0.375949   0.0183034
          37    0.371287    0.386848   0.0188292
          38     0.39294    0.405127     0.01972
          39    0.405751    0.418491   0.0203885
          40    0.431833    0.432159   0.0209948
          41    0.431799    0.442341   0.0215205
          42    0.437607    0.451825   0.0219715
          43    0.444085    0.460759   0.0223678
          44    0.450469    0.465584   0.0225977
          45    0.453288    0.467472   0.0226704
          46    0.454236    0.463819   0.0224493
          47    0.444327    0.454093   0.0219077
          48    0.452572    0.456366   0.0218491
          49    0.408324    0.444824   0.0215179
          50    0.405721    0.418621   0.0199666
          51    0.368825    0.345079   0.0152351
          52    0.225291    0.232469  0.00404984
          53   0.0461965   0.0886972  0.00825154
          54  0.00104448   0.0172386  0.00391075
          55           0  0.00359152    0.001703
          56           0  0.00222568  0.00204056
