#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1    0.639812    0.679958   0.0331109
           2    0.659302    0.699576   0.0340674
           3    0.676048    0.719585   0.0350375
           4    0.696905    0.740893   0.0360691
           5    0.721456    0.764104   0.0371958
           6    0.749943    0.790112   0.0384551
           7    0.774927    0.815325   0.0396848
           8    0.798598    0.842298   0.0409845
           9    0.823246    0.870552   0.0423588
          10    0.856348    0.901825   0.0438947
          11    0.889045    0.933383   0.0454418
          12    0.922606    0.968727   0.0471631
          13    0.962928     1.00616   0.0490073
          14     1.00331     1.04481    0.050868
          15     1.04668     1.08631   0.0528769
          16     1.08393     1.12978   0.0549896
          17     1.12781     1.17833   0.0573475
          18     1.17243     1.23273   0.0599976
          19     1.23226     1.29119   0.0628721
          20     1.28443     1.35096   0.0658132
          21      1.3477     1.41683   0.0690252
          22     1.42233     1.49103   0.0726064
          23     1.50322     1.57018    0.076478
          24     1.59939     1.66478   0.0810437
          25     1.68961     1.75768   0.0856069
          26     1.79958     1.86396   0.0907004
          27     1.89054     1.97943   0.0963235
          28     2.01882     2.12639    0.103484
          29     2.15842     2.27348    0.110597
          30     2.35664     2.44651    0.118735
          31     2.46925     2.61949    0.126912
          32     2.68959     2.85146    0.138211
          33     2.91638      3.1081     0.15083
          34     3.15766     3.40421     0.16514
          35     3.43924       3.756     0.18163
          36     3.84326        4.17    0.201818
          37     4.19344     4.61159    0.222857
          38     4.64547     5.15369    0.248176
          39     5.37076     5.84377    0.280828
          40     6.10433     6.68141    0.320876
          41     6.58714     7.62988    0.362697
          42     8.07017     8.87307    0.424508
          43     8.40421     10.4864    0.482571
          44     10.5226     12.6021    0.574725
          45     14.1476     15.7864    0.721189
          46     18.9623     20.1872    0.930778
          47     24.4543     25.4204     1.15529
          48     33.1381     34.4088     1.54745
          49     48.4958     46.3425     2.07338
          50     64.1981     62.5066     2.84432
          51     79.7875     80.6283     3.80062
          52     103.675     103.818     4.95647
          53     116.975     126.109     6.08651
          54     142.853     148.799     7.25195
          55     166.667     174.918     8.53503
          56         200     209.938     10.2439
