#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1    0.668407    0.683425   0.0332979
           2    0.670898    0.701947    0.034214
           3    0.700448    0.723079   0.0352166
           4    0.716337    0.743744   0.0362435
           5    0.740061    0.768905   0.0374805
           6    0.742118    0.789809    0.038503
           7    0.770628      0.8178   0.0398156
           8     0.80331    0.844037   0.0410862
           9    0.833366    0.869265   0.0423243
          10    0.871421    0.905479   0.0441301
          11    0.898157    0.938908   0.0457108
          12    0.927784    0.972804   0.0474014
          13    0.970947      1.0089   0.0491158
          14     1.00311     1.04887   0.0510652
          15     1.04464     1.09172   0.0531801
          16     1.08965     1.13715   0.0553913
          17     1.10872     1.18606    0.057754
          18     1.16135     1.23554   0.0601304
          19     1.21351     1.29057   0.0629049
          20      1.2745     1.35224   0.0657468
          21     1.38585     1.42887   0.0695644
          22     1.44928     1.51161   0.0735372
          23     1.49212     1.58382   0.0770359
          24     1.61508     1.68101   0.0819169
          25     1.74006      1.7706   0.0861255
          26     1.82738     1.88559   0.0917802
          27     1.91571     1.99335   0.0970826
          28     2.03343      2.1416    0.104017
          29     2.12621     2.28278     0.11107
          30     2.38349     2.46956    0.120191
          31     2.53277      2.6553    0.129155
          32     2.75167      2.8784    0.139921
          33     2.83595     3.06804    0.149093
          34      3.3574     3.42611     0.16625
          35     3.51524     3.71976    0.180777
          36     4.03341      4.1844    0.203356
          37     4.35984     4.64681    0.225302
          38     4.76051     5.17652    0.251455
          39     5.68204     5.89391     0.28582
          40     6.92823     6.81976    0.329367
          41     7.59846     7.85778    0.380307
          42     8.58326      9.1467    0.439922
          43     11.0085     10.9383    0.524271
          44     12.9165     13.0599    0.627995
          45     15.6877     16.1926    0.777069
          46      20.044     20.4219    0.974145
          47     25.6108     25.7919     1.20969
          48     32.2284     34.2328      1.5796
          49      45.794     46.2323     2.16134
          50     63.3988     62.3626     2.87359
          51      76.446     82.8458     3.95647
          52     99.3555     104.146     5.01883
          53     123.293     127.569     6.20555
          54     142.851     149.458     7.29109
          55     166.667     174.945     8.53637
          56         200     209.993     10.2466
