#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.320612   -0.337822   0.0164823
           2   -0.325456   -0.343089   0.0167394
           3   -0.330704   -0.348479   0.0170024
           4   -0.336272   -0.354099   0.0172767
           5    -0.34198   -0.359948    0.017562
           6    -0.34774   -0.365988   0.0178566
           7   -0.353408   -0.372256   0.0181626
           8    -0.35962   -0.378659   0.0184751
           9    -0.36628   -0.385256   0.0187969
          10   -0.372456   -0.391948   0.0191233
          11   -0.379092   -0.398894   0.0194621
          12   -0.385604   -0.406193   0.0198185
          13   -0.392588   -0.413703   0.0201848
          14   -0.400184   -0.421531   0.0205668
          15   -0.408264   -0.429641   0.0209627
          16   -0.415832   -0.438004    0.021371
          17   -0.424084   -0.446816    0.021801
          18    -0.43302   -0.455839   0.0222416
          19   -0.441916   -0.465347   0.0227052
          20   -0.451584   -0.474959   0.0231741
          21   -0.461216   -0.485097   0.0236689
          22   -0.471176   -0.495672    0.024185
          23    -0.48134    -0.50651    0.024714
          24   -0.492176   -0.517912   0.0252701
          25   -0.502664   -0.529554   0.0258382
          26   -0.514368   -0.541844   0.0264377
          27   -0.525708   -0.554589   0.0270594
          28   -0.539176   -0.568251   0.0277264
          29   -0.551828   -0.582089    0.028401
          30   -0.565724   -0.596564   0.0291074
          31   -0.579632   -0.611494   0.0298355
          32   -0.594452   -0.627396   0.0306115
          33   -0.609576   -0.644107   0.0314262
          34   -0.626272   -0.661116   0.0322562
          35   -0.643832   -0.679134   0.0331352
          36    -0.66238    -0.69819    0.034066
          37   -0.680796   -0.716944   0.0349818
          38   -0.700324   -0.736559   0.0359387
          39   -0.719748   -0.757381   0.0369541
          40   -0.739696   -0.778433   0.0379813
          41   -0.759976   -0.799671   0.0390181
          42   -0.780212   -0.821893   0.0401026
          43    -0.80072    -0.84472    0.041215
          44   -0.820812   -0.867045   0.0423031
          45    -0.84474   -0.890279   0.0434366
          46    -0.87016   -0.914005   0.0445923
          47   -0.891596    -0.93607   0.0456693
          48   -0.914268   -0.959179   0.0467953
          49   -0.940316   -0.981787   0.0478931
          50   -0.960744    -1.00294   0.0489238
          51   -0.975816    -1.02033   0.0497763
          52   -0.991652    -1.03606   0.0505454
          53   -0.993296    -1.04523   0.0509971
          54    -0.99998    -1.04901   0.0511858
          55          -1    -1.04991   0.0512301
          56          -1    -1.04995   0.0512321
