#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.322668   -0.337921   0.0164876
           2   -0.327792   -0.343165   0.0167428
           3   -0.334136   -0.348913   0.0170225
           4   -0.338484   -0.354455   0.0172938
           5   -0.343532   -0.360161   0.0175724
           6   -0.348908   -0.365933   0.0178532
           7   -0.355032   -0.372305   0.0181645
           8   -0.361196   -0.378526    0.018469
           9   -0.367428    -0.38521   0.0187938
          10   -0.372432   -0.392226   0.0191367
          11   -0.379984   -0.399177   0.0194762
          12   -0.386656   -0.406633   0.0198399
          13   -0.393248   -0.414003   0.0201999
          14   -0.400824   -0.421954    0.020588
          15    -0.40834   -0.429683   0.0209649
          16   -0.416448   -0.438456    0.021393
          17    -0.42494   -0.447203   0.0218193
          18   -0.432812   -0.456221   0.0222598
          19   -0.442164    -0.46562   0.0227185
          20   -0.452184   -0.475222   0.0231867
          21     -0.4619   -0.485477   0.0236877
          22    -0.47204   -0.495972   0.0241998
          23   -0.482792   -0.506792   0.0247276
          24   -0.492928   -0.518098   0.0252795
          25   -0.503868    -0.52985   0.0258526
          26   -0.517308   -0.542214   0.0264559
          27   -0.529516    -0.55479   0.0270691
          28   -0.539876    -0.56832   0.0277289
          29    -0.55246   -0.582113   0.0284017
          30   -0.566712   -0.596648   0.0291114
          31   -0.580244   -0.611665   0.0298446
          32   -0.596676   -0.627286   0.0306074
          33   -0.610932   -0.643345   0.0313903
          34   -0.627696   -0.660744   0.0322393
          35   -0.644652   -0.678619    0.033112
          36   -0.663444   -0.697449   0.0340314
          37   -0.682204   -0.716991   0.0349844
          38    -0.70012   -0.736426   0.0359313
          39   -0.720584   -0.756865     0.03693
          40   -0.742156   -0.777994   0.0379604
          41   -0.761656   -0.800185   0.0390435
          42   -0.780848    -0.82153   0.0400847
          43   -0.803928   -0.844969   0.0412292
          44    -0.82506   -0.867585    0.042332
          45    -0.84944   -0.891564   0.0435021
          46   -0.871444   -0.914456   0.0446181
          47     -0.8924   -0.936823   0.0457058
          48   -0.912136   -0.958826   0.0467787
          49   -0.937868   -0.981362   0.0478775
          50   -0.958968    -1.00282   0.0489188
          51   -0.970868    -1.02265   0.0498927
          52   -0.987508    -1.03667    0.050579
          53   -0.998208    -1.04634   0.0510545
          54   -0.999968    -1.04949   0.0512098
          55          -1    -1.04994   0.0512319
          56          -1    -1.04999   0.0512342
