#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1       0.375       0.375           0
           2       0.375       0.375           0
           3       0.375       0.375           0
           4       0.375       0.375           0
           5       0.375       0.375           0
           6       0.375       0.375           0
           7       0.375       0.375           0
           8       0.375       0.375           0
           9       0.375       0.375           0
          10       0.375       0.375           0
          11       0.375       0.375           0
          12       0.375       0.375           0
          13       0.375       0.375           0
          14       0.375       0.375           0
          15       0.375       0.375           0
          16       0.375       0.375           0
          17       0.375       0.375           0
          18       0.375       0.375           0
          19       0.375       0.375           0
          20       0.375       0.375           0
