#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   -0.998602   -0.998602           0
           2          -1   -0.999301 0.000494268
           3   -0.999998   -0.999533 0.000380216
           4          -1    -0.99965 0.000302532
           5          -1    -0.99972 0.000249993
           6          -1   -0.999767 0.000212638
           7          -1     -0.9998 0.000184856
           8          -1   -0.999825  0.00016343
           9          -1   -0.999844 0.000146424
          10          -1    -0.99986 0.000132605
          11          -1   -0.999873 0.000121159
          12          -1   -0.999883 0.000111526
          13          -1   -0.999892 0.000103307
          14          -1     -0.9999 9.62143e-05
          15   -0.999982   -0.999905 8.99551e-05
          16          -1   -0.999911 8.45268e-05
          17          -1   -0.999917 7.97152e-05
          18          -1   -0.999921 7.54211e-05
          19          -1   -0.999925 7.15655e-05
          20          -1   -0.999929 6.80844e-05
