#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1   0.0696815   0.0696815           0
           2           0   0.0348408   0.0246361
           3           0   0.0232272   0.0189649
           4           0   0.0174204   0.0150865
           5           0   0.0139363    0.012465
           6           0   0.0116136   0.0106017
           7           0  0.00995451  0.00921608
           8   0.0188739   0.0110694  0.00813123
           9 0.000255987  0.00986794  0.00731599
          10           0  0.00888114  0.00665061
          11           0  0.00807377  0.00609482
          12           0  0.00740095  0.00562393
          13   0.0163316  0.00808792  0.00523311
          14           0  0.00751022   0.0048911
          15           0  0.00700953  0.00459058
          16           0  0.00657144  0.00432452
          17           0  0.00618488  0.00408738
          18           0  0.00584128  0.00387472
          19           0  0.00553384  0.00368296
          20           0  0.00525715  0.00350919
