#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     199.278     199.278           0
           2         200     199.639    0.255362
           3         200     199.759    0.196578
           4         200     199.819    0.156376
           5         200     199.856    0.129204
           6         200      199.88     0.10989
           7         200     199.897   0.0955277
           8     199.728     199.876   0.0858859
           9     199.999     199.889   0.0774315
          10         200       199.9   0.0704732
          11         200      199.91   0.0646445
          12         200     199.917   0.0596954
          13     199.755     199.905   0.0563837
          14         200     199.911   0.0527661
          15         200     199.917   0.0495775
          16         200     199.923   0.0467472
          17         200     199.927   0.0442189
          18         200     199.931   0.0419475
          19         200     199.935    0.039896
          20         200     199.938   0.0380343
