#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1        0.25        0.25           0
           2        0.25        0.25           0
           3        0.25        0.25           0
           4        0.25        0.25           0
           5        0.25        0.25           0
           6        0.25        0.25           0
           7        0.25        0.25           0
           8        0.25        0.25           0
           9        0.25        0.25           0
          10        0.25        0.25           0
          11        0.25        0.25           0
          12        0.25        0.25           0
          13        0.25        0.25           0
          14        0.25        0.25           0
          15        0.25        0.25           0
          16        0.25        0.25           0
          17        0.25        0.25           0
          18        0.25        0.25           0
          19        0.25        0.25           0
          20        0.25        0.25           0
