#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.999492   -0.999492           0
           2          -1   -0.999746 0.000179605
           3          -1   -0.999831  0.00013826
           4          -1   -0.999873 0.000109985
           5          -1   -0.999898 9.08738e-05
           6          -1   -0.999915 7.72897e-05
           7          -1   -0.999927 6.71881e-05
           8   -0.999704     -0.9999 6.43329e-05
           9   -0.999996    -0.99991 5.80714e-05
          10          -1   -0.999919 5.29537e-05
          11          -1   -0.999927 4.86465e-05
          12          -1   -0.999933 4.49761e-05
          13   -0.999744   -0.999918 4.37954e-05
          14          -1   -0.999924 4.10555e-05
          15          -1   -0.999929 3.86298e-05
          16          -1   -0.999933  3.6469e-05
          17          -1   -0.999937 3.45329e-05
          18          -1   -0.999941  3.2789e-05
          19          -1   -0.999944 3.12105e-05
          20          -1   -0.999947 2.97753e-05
