# DISTANCE:     AVE_GOFR:        ERROR:
    0.064633           0           0
    0.129266           0           0
    0.193899           0           0
    0.258532           0           0
    0.323165           0           0
    0.387798           0           0
    0.452431           0           0
    0.517064           0           0
    0.581697           0           0
     0.64633           0           0
    0.710963           0           0
    0.775596           0           0
     0.84023           0           0
    0.904863 0.000491697 2.22215e-05
    0.969496   0.0822349 0.000267131
     1.03413    0.607077  0.00085561
     1.09876     1.20156   0.0013526
     1.16339     1.37272  0.00148359
     1.22803     1.29403  0.00137338
     1.29266     1.16101  0.00118731
     1.35729     1.04468  0.00100825
     1.42193    0.956545 0.000933456
     1.48656    0.894529 0.000762032
     1.55119     0.84922 0.000731512
     1.61583     0.81954 0.000643816
     1.68046    0.800475  0.00061853
     1.74509    0.786653 0.000629971
     1.80973    0.780116 0.000568801
     1.87436     0.77765 0.000549548
     1.93899    0.779651 0.000567631
     2.00362    0.782471 0.000528877
     2.06826    0.787636  0.00050622
     2.13289    0.792814 0.000524147
     2.19752    0.796278 0.000497728
     2.26216    0.799067 0.000470825
     2.32679    0.800914 0.000471632
     2.39142    0.802708 0.000456712
     2.45606    0.803165 0.000470673
     2.52069    0.803656 0.000444408
     2.58532    0.804213 0.000409494
     2.64995    0.805548 0.000410974
     2.71459    0.807582 0.000404137
     2.77922     0.80901 0.000406001
     2.84385    0.810436 0.000379378
     2.90849    0.812536 0.000373177
     2.97312    0.814413 0.000374661
     3.03775    0.816033 0.000363389
     3.10239    0.818859 0.000339298
     3.16702    0.821224 0.000353546
     3.23165    0.822761  0.00034298
     3.29629    0.825098 0.000339491
     3.36092     0.82705 0.000335904
     3.42555    0.828513 0.000321407
     3.49018     0.83119 0.000325593
     3.55482    0.833103 0.000306304
     3.61945    0.835065 0.000306564
     3.68408     0.83682 0.000290794
     3.74872    0.839029 0.000313295
     3.81335    0.841292 0.000291296
     3.87798    0.842748 0.000288484
     3.94262    0.844468 0.000275272
     4.00725    0.847148 0.000279351
     4.07188    0.848157 0.000282247
     4.13651    0.849703 0.000268022
     4.20115     0.85163 0.000270778
     4.26578     0.85314 0.000268516
     4.33041    0.854761 0.000282536
     4.39505    0.856813 0.000264794
     4.45968    0.858041 0.000257078
     4.52431    0.860243 0.000248842
     4.58895    0.860932 0.000256153
     4.65358    0.862007 0.000238235
     4.71821    0.863676 0.000233876
     4.78285    0.865278 0.000230565
     4.84748    0.866652   0.0002383
     4.91211    0.867898 0.000226951
     4.97674    0.869633 0.000216186
     5.04138    0.870395 0.000225603
     5.10601    0.871627 0.000227688
     5.17064    0.873277 0.000226653
     5.23528    0.873996 0.000217435
     5.29991     0.87566 0.000217511
     5.36454    0.876664 0.000214438
     5.42918    0.877791 0.000210383
     5.49381    0.879314 0.000214179
     5.55844    0.879991 0.000222163
     5.62307     0.88113 0.000205829
     5.68771    0.882564 0.000194214
     5.75234    0.883098 0.000208591
     5.81697    0.884103 0.000202536
     5.88161    0.885652 0.000191037
     5.94624    0.886407 0.000201411
     6.01087    0.887313 0.000203776
     6.07551     0.88836 0.000194187
     6.14014    0.889227 0.000185064
     6.20477    0.890402 0.000183765
      6.2694    0.891379 0.000190861
     6.33404    0.892064 0.000191797
     6.39867    0.892799 0.000191768
      6.4633    0.893803 0.000174542
