#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.423578   -0.423578           0
           2   -0.423978   -0.423778 0.000141399
           3   -0.425532   -0.424363 0.000486649
           4   -0.426148   -0.424809 0.000531529
           5   -0.417567   -0.423361  0.00136346
           6   -0.427878   -0.424114  0.00132789
           7   -0.423022   -0.423958  0.00114731
           8    -0.41971   -0.423427  0.00112005
           9   -0.424397   -0.423535  0.00100078
          10   -0.425247   -0.423706 0.000915237
          11   -0.426207   -0.423933 0.000859812
          12   -0.426422   -0.424141 0.000812791
          13   -0.423159   -0.424065  0.00075377
          14   -0.422312    -0.42394 0.000710251
          15   -0.426691   -0.424123 0.000686177
          16   -0.424534   -0.424149  0.00064377
          17   -0.425906   -0.424252 0.000614139
          18   -0.425111     -0.4243 0.000581869
          19   -0.424375   -0.424304 0.000551258
          20   -0.426413   -0.424409 0.000533687
          21   -0.423995    -0.42439 0.000508639
          22   -0.425443   -0.424437 0.000487767
          23   -0.429422   -0.424654 0.000512444
          24   -0.424575   -0.424651 0.000491103
          25   -0.423133    -0.42459 0.000475199
          26   -0.431291   -0.424848 0.000522147
          27   -0.423285    -0.42479 0.000506005
          28   -0.433157   -0.425089 0.000569373
          29   -0.425881   -0.425116 0.000550395
          30   -0.429608   -0.425266 0.000552038
          31   -0.426533   -0.425307 0.000535743
          32   -0.426641   -0.425348 0.000520621
          33   -0.426638   -0.425387 0.000506308
          34   -0.426247   -0.425413 0.000492047
          35   -0.421643   -0.425305 0.000489634
          36   -0.431438   -0.425475 0.000504797
          37   -0.426677   -0.425508 0.000492196
          38   -0.428382   -0.425584 0.000485021
          39   -0.425615   -0.425584 0.000472585
          40   -0.423652   -0.425536 0.000463233
          41   -0.427582   -0.425586 0.000454615
          42   -0.426393   -0.425605 0.000444197
          43   -0.423135   -0.425548 0.000437565
          44   -0.424134   -0.425516 0.000428799
          45   -0.425824   -0.425522 0.000419325
          46   -0.423868   -0.425486  0.00041175
          47   -0.426464   -0.425507 0.000403514
          48   -0.426992   -0.425538 0.000396292
          49    -0.42815   -0.425591 0.000391773
          50   -0.423991   -0.425559 0.000385243
          51   -0.429595   -0.425639 0.000385732
          52   -0.424518   -0.425617 0.000378916
          53   -0.425455   -0.425614 0.000371779
          54   -0.424139   -0.425587 0.000365896
          55   -0.427733   -0.425626 0.000361318
          56   -0.424383   -0.425604 0.000355547
          57   -0.416723   -0.425448 0.000381923
          58   -0.425099   -0.425442 0.000375385
          59   -0.423183   -0.425403 0.000370969
          60   -0.415907   -0.425245 0.000397114
          61   -0.425063   -0.425242 0.000390615
          62   -0.426216   -0.425258  0.00038463
          63   -0.428469   -0.425309 0.000381888
          64   -0.428766   -0.425363 0.000379723
          65   -0.419524   -0.425273  0.00038436
          66     -0.4294   -0.425336 0.000383587
          67   -0.427476   -0.425368  0.00037919
          68   -0.421137   -0.425305 0.000378682
          69   -0.425775   -0.425312 0.000373255
