#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0199844   0.0199844           0
           2   0.0200896    0.020037 3.71858e-05
           3   0.0195894   0.0198878 0.000124319
           4   0.0199211   0.0198961 9.35188e-05
           5   0.0202531   0.0199675 9.83687e-05
           6   0.0193677   0.0198675 0.000122671
           7    0.019708   0.0198447 0.000107243
           8    0.019366   0.0197849 0.000109264
           9   0.0195664   0.0197606 9.97847e-05
          10   0.0197322   0.0197578 8.98468e-05
          11   0.0201399   0.0197925 8.81379e-05
          12   0.0201599   0.0198231 8.59462e-05
          13   0.0202231   0.0198539 8.46625e-05
          14   0.0204555   0.0198969 8.88527e-05
          15   0.0192138   0.0198513 9.38757e-05
          16   0.0199392   0.0198568 8.81689e-05
          17   0.0189418    0.019803 9.80455e-05
          18   0.0193653   0.0197787 9.55666e-05
          19   0.0197741   0.0197784 9.05371e-05
          20   0.0193429   0.0197567 8.85902e-05
          21   0.0191834   0.0197294 8.84775e-05
          22    0.019884   0.0197364 8.47347e-05
          23   0.0190135    0.019705 8.66836e-05
          24   0.0194452   0.0196941 8.37448e-05
          25   0.0196801   0.0196936 8.03969e-05
          26   0.0195585   0.0196884 7.74725e-05
          27   0.0202181    0.019708  7.7047e-05
          28   0.0197068    0.019708 7.42953e-05
          29   0.0206667    0.019741 7.87463e-05
          30   0.0198614    0.019745 7.62236e-05
          31   0.0193248   0.0197315 7.49606e-05
          32   0.0194654   0.0197232  7.3078e-05
          33   0.0201625   0.0197365 7.20661e-05
          34   0.0191197   0.0197183 7.21932e-05
          35   0.0205078   0.0197409 7.35699e-05
          36   0.0196946   0.0197396 7.15376e-05
          37   0.0197444   0.0197397 6.96042e-05
          38   0.0191755   0.0197249 6.93384e-05
          39    0.020193   0.0197369 6.85917e-05
          40   0.0195789   0.0197329 6.69906e-05
          41   0.0194535   0.0197261 6.57024e-05
          42   0.0196479   0.0197243 6.41645e-05
          43   0.0200559    0.019732 6.31342e-05
          44   0.0194072   0.0197246 6.21292e-05
          45    0.019238   0.0197138 6.16822e-05
          46   0.0196972   0.0197134 6.03424e-05
          47   0.0198832    0.019717 5.91666e-05
          48   0.0199296   0.0197215 5.80994e-05
          49   0.0202283   0.0197318 5.78271e-05
          50    0.020244    0.019742 5.75706e-05
          51   0.0193723   0.0197348 5.68964e-05
          52    0.019511   0.0197305 5.59647e-05
          53   0.0188472   0.0197138 5.73368e-05
          54   0.0198916   0.0197171 5.63695e-05
          55   0.0196725   0.0197163 5.53504e-05
          56   0.0200275   0.0197219 5.46403e-05
          57    0.019961   0.0197261 5.38426e-05
          58   0.0193651   0.0197198 5.32727e-05
          59   0.0192635   0.0197121 5.29283e-05
          60    0.020017   0.0197172 5.22896e-05
          61   0.0196819   0.0197166 5.14355e-05
          62   0.0194718   0.0197127 5.07572e-05
          63   0.0196757   0.0197121  4.9955e-05
          64   0.0187687   0.0196973 5.13029e-05
          65   0.0199115   0.0197006 5.06193e-05
          66   0.0195912    0.019699 4.98795e-05
          67   0.0198029   0.0197005 4.91591e-05
          68    0.019276   0.0196943  4.8831e-05
          69   0.0197199   0.0196946 4.81247e-05
          70   0.0194604   0.0196913 4.75534e-05
          71   0.0194099   0.0196873 4.70485e-05
          72   0.0203777   0.0196969 4.73622e-05
          73    0.019417   0.0196931 4.68683e-05
          74   0.0196247   0.0196922 4.62441e-05
          75   0.0204875   0.0197028 4.68277e-05
          76    0.019034    0.019694 4.70312e-05
          77   0.0199367   0.0196971 4.65259e-05
          78   0.0197886   0.0196983 4.59442e-05
          79   0.0203674   0.0197068 4.61366e-05
          80   0.0194678   0.0197038 4.56566e-05
          81   0.0197604   0.0197045 4.50983e-05
          82   0.0197758   0.0197053 4.45567e-05
          83   0.0199215    0.019708 4.40959e-05
          84   0.0202192    0.019714 4.39889e-05
          85   0.0201034   0.0197186 4.37093e-05
          86   0.0194048    0.019715 4.33531e-05
          87    0.019448   0.0197119 4.29633e-05
          88   0.0197492   0.0197123 4.24771e-05
          89   0.0193428   0.0197082 4.22023e-05
          90   0.0195097    0.019706  4.1791e-05
          91   0.0191928   0.0197003 4.17104e-05
          92   0.0199347   0.0197029 4.13347e-05
          93   0.0192102   0.0196976 4.12283e-05
          94   0.0194675   0.0196951 4.08623e-05
          95   0.0195001   0.0196931 4.04837e-05
          96   0.0193308   0.0196893 4.02375e-05
          97   0.0200973   0.0196935  4.0042e-05
          98   0.0201437   0.0196981 3.98961e-05
          99   0.0200099   0.0197013 3.96172e-05
         100   0.0200518   0.0197048 3.93758e-05
         101   0.0199636   0.0197073 3.90692e-05
         102   0.0192183   0.0197025 3.89792e-05
         103   0.0199911   0.0197053 3.87013e-05
         104   0.0196637   0.0197049 3.83312e-05
         105   0.0199488   0.0197073 3.80365e-05
         106   0.0188835   0.0196995 3.84632e-05
         107   0.0197625   0.0197001 3.81082e-05
         108   0.0198901   0.0197018  3.7796e-05
         109   0.0199848   0.0197044 3.75383e-05
         110   0.0197827   0.0197051 3.72038e-05
         111    0.020153   0.0197092 3.70868e-05
         112    0.019525   0.0197075 3.67921e-05
         113   0.0191727   0.0197028 3.67697e-05
         114   0.0190589   0.0196971 3.68784e-05
         115   0.0194113   0.0196947 3.66414e-05
         116   0.0198298   0.0196958  3.6344e-05
         117   0.0202775   0.0197008 3.63718e-05
         118   0.0196137   0.0197001 3.60711e-05
         119   0.0191948   0.0196958 3.60169e-05
         120   0.0203679   0.0197014 3.61496e-05
         121   0.0194655   0.0196995 3.59034e-05
         122   0.0195867   0.0196985  3.5621e-05
         123   0.0193338   0.0196956 3.54546e-05
         124   0.0204606   0.0197017 3.57014e-05
         125   0.0193658   0.0196991 3.55168e-05
         126    0.019961   0.0197011 3.52957e-05
         127   0.0200454   0.0197038 3.51217e-05
         128   0.0206487   0.0197112 3.56147e-05
         129   0.0200252   0.0197137 3.54216e-05
         130   0.0196874   0.0197135 3.51497e-05
         131   0.0197746   0.0197139 3.48845e-05
         132   0.0195429   0.0197126 3.46443e-05
         133   0.0190289   0.0197075 3.47632e-05
         134   0.0197359   0.0197077 3.45044e-05
         135   0.0196842   0.0197075 3.42492e-05
         136   0.0202112   0.0197112 3.41971e-05
         137   0.0204711   0.0197168 3.43943e-05
         138   0.0200545   0.0197192  3.4232e-05
         139   0.0199914   0.0197212 3.40417e-05
         140   0.0195638   0.0197201 3.38171e-05
         141   0.0197191   0.0197201 3.35773e-05
         142   0.0201562   0.0197231  3.3481e-05
         143   0.0197964   0.0197236 3.32508e-05
         144   0.0199719   0.0197254 3.30646e-05
         145   0.0196347   0.0197247 3.28424e-05
         146   0.0194143   0.0197226 3.26863e-05
         147   0.0198676   0.0197236 3.24788e-05
         148   0.0193656   0.0197212 3.23493e-05
         149   0.0197184   0.0197212 3.21322e-05
         150   0.0201218   0.0197238 3.20288e-05
         151   0.0199359   0.0197252 3.18475e-05
         152   0.0193629   0.0197228  3.1727e-05
         153   0.0198172   0.0197235 3.15256e-05
         154   0.0197895   0.0197239 3.13238e-05
         155    0.019743    0.019724  3.1122e-05
         156   0.0195319   0.0197228 3.09468e-05
         157   0.0197038   0.0197227   3.075e-05
         158   0.0197542   0.0197229  3.0556e-05
         159   0.0202907   0.0197264 3.05718e-05
         160   0.0194035   0.0197244 3.04473e-05
         161   0.0199402   0.0197258 3.02877e-05
         162   0.0195933   0.0197249 3.01117e-05
         163   0.0200106   0.0197267  2.9978e-05
         164   0.0188816   0.0197215 3.02348e-05
         165   0.0197835   0.0197219 3.00539e-05
         166   0.0205313   0.0197268 3.02657e-05
         167    0.019785   0.0197271 3.00865e-05
         168   0.0201014   0.0197294 2.99897e-05
         169   0.0202426   0.0197324 2.99657e-05
         170    0.020111   0.0197346  2.9872e-05
         171    0.020111   0.0197368 2.97783e-05
         172   0.0197268   0.0197368 2.96053e-05
         173   0.0199466    0.019738  2.9459e-05
         174   0.0194076   0.0197361 2.93508e-05
         175   0.0196861   0.0197358 2.91844e-05
         176   0.0203471   0.0197393 2.92245e-05
         177   0.0201084   0.0197414 2.91338e-05
         178   0.0198606    0.019742 2.89778e-05
         179   0.0196519   0.0197415 2.88203e-05
         180   0.0198547   0.0197422  2.8667e-05
         181   0.0205245   0.0197465 2.88326e-05
         182   0.0199971   0.0197479 2.87071e-05
         183   0.0196142   0.0197471 2.85595e-05
         184   0.0197881   0.0197473 2.84052e-05
         185    0.019295   0.0197449 2.83567e-05
         186   0.0195454   0.0197438 2.82245e-05
         187   0.0192201    0.019741 2.82121e-05
         188   0.0199292    0.019742 2.80798e-05
         189   0.0198562   0.0197426 2.79377e-05
         190   0.0200671   0.0197443 2.78428e-05
         191   0.0200881   0.0197461 2.77552e-05
         192   0.0196066   0.0197454 2.76201e-05
         193   0.0195369   0.0197443 2.74981e-05
         194   0.0196599   0.0197439 2.73598e-05
         195   0.0204177   0.0197474 2.74368e-05
         196   0.0194336   0.0197458 2.73435e-05
         197   0.0193983    0.019744 2.72615e-05
         198   0.0194321   0.0197424 2.71693e-05
         199   0.0196404   0.0197419 2.70376e-05
         200   0.0194914   0.0197407 2.69314e-05
         201   0.0199609   0.0197417 2.68197e-05
         202   0.0202456   0.0197442 2.68027e-05
         203   0.0199865   0.0197454 2.66972e-05
         204    0.019952   0.0197464 2.65855e-05
         205   0.0192492    0.019744 2.65663e-05
         206   0.0197061   0.0197438  2.6438e-05
         207   0.0197178   0.0197437 2.63105e-05
         208   0.0199737   0.0197448 2.62073e-05
         209   0.0205412   0.0197486 2.63574e-05
         210   0.0202274   0.0197509 2.63303e-05
         211    0.019959   0.0197519  2.6224e-05
         212   0.0199534   0.0197528 2.61175e-05
         213   0.0192899   0.0197507 2.60851e-05
         214   0.0199267   0.0197515 2.59762e-05
         215   0.0197703   0.0197516 2.58555e-05
         216   0.0192514   0.0197493 2.58393e-05
         217   0.0194925   0.0197481 2.57473e-05
         218   0.0192933    0.019746 2.57136e-05
         219   0.0196304   0.0197455 2.56016e-05
         220   0.0198166   0.0197458 2.54873e-05
         221   0.0197633   0.0197459 2.53721e-05
         222   0.0202101    0.019748 2.53438e-05
         223   0.0199344   0.0197488  2.5244e-05
         224   0.0190968   0.0197459 2.52985e-05
         225   0.0199496   0.0197468 2.52023e-05
         226   0.0194204   0.0197453 2.51321e-05
         227    0.019401   0.0197438 2.50671e-05
         228    0.020577   0.0197475 2.52222e-05
         229   0.0191057   0.0197447 2.52672e-05
         230   0.0203213   0.0197472 2.52814e-05
         231   0.0198336   0.0197476 2.51747e-05
         232   0.0196035   0.0197469 2.50739e-05
         233   0.0196848   0.0197467 2.49677e-05
         234   0.0198161    0.019747 2.48628e-05
         235   0.0195242    0.019746  2.4775e-05
         236    0.019937   0.0197468 2.46833e-05
         237   0.0200458   0.0197481 2.46113e-05
         238   0.0202155   0.0197501 2.45861e-05
         239   0.0198458   0.0197505 2.44865e-05
         240   0.0202863   0.0197527 2.44861e-05
         241   0.0192144   0.0197505 2.44861e-05
         242   0.0194924   0.0197494 2.44081e-05
         243   0.0196237   0.0197489 2.43132e-05
         244   0.0198072   0.0197491 2.42147e-05
         245   0.0196391   0.0197487   2.412e-05
         246   0.0189801   0.0197455 2.42235e-05
         247   0.0196692   0.0197452 2.41274e-05
         248   0.0198418   0.0197456 2.40332e-05
         249   0.0191042    0.019743 2.40744e-05
         250   0.0197184   0.0197429 2.39783e-05
         251   0.0200648   0.0197442  2.3917e-05
         252   0.0195147   0.0197433 2.38394e-05
         253   0.0198289   0.0197437 2.37476e-05
         254   0.0204399   0.0197464 2.38118e-05
         255   0.0201065   0.0197478 2.37603e-05
         256   0.0195334    0.019747 2.36822e-05
         257   0.0200377   0.0197481 2.36171e-05
         258   0.0195381   0.0197473 2.35395e-05
         259   0.0191541    0.019745 2.35598e-05
         260   0.0201929   0.0197467 2.35321e-05
         261   0.0197305   0.0197467  2.3442e-05
         262   0.0201337   0.0197481  2.3399e-05
         263   0.0191141   0.0197457 2.34339e-05
         264   0.0194661   0.0197447 2.33691e-05
         265   0.0203918   0.0197471 2.34081e-05
         266   0.0194469    0.019746 2.33473e-05
         267   0.0199142   0.0197466 2.32684e-05
         268   0.0199641   0.0197474 2.31957e-05
         269    0.019979   0.0197483 2.31254e-05
         270   0.0200292   0.0197493 2.30632e-05
         271    0.020367   0.0197516 2.30904e-05
         272    0.019441   0.0197505 2.30337e-05
