#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -9.23691    -9.23691           0
           2    -9.24771    -9.24231  0.00381778
           3    -9.28968     -9.2581   0.0131395
           4    -9.30629    -9.27015   0.0143513
           5    -9.07462    -9.23104   0.0368134
           6      -9.353    -9.25137    0.035853
           7     -9.2219    -9.24716   0.0309773
           8    -9.13246    -9.23282   0.0302414
           9    -9.25902    -9.23573    0.027021
          10    -9.28198    -9.24036   0.0247114
          11    -9.30789     -9.2465   0.0232149
          12     -9.3137     -9.2521   0.0219454
          13    -9.22559    -9.25006   0.0203518
          14    -9.20273    -9.24668   0.0191768
          15    -9.32096    -9.25163   0.0185268
          16    -9.26271    -9.25232   0.0173818
          17    -9.29975    -9.25511   0.0165818
          18    -9.27829     -9.2564   0.0157105
          19    -9.25842    -9.25651    0.014884
          20    -9.31345    -9.25935   0.0144096
          21    -9.24816    -9.25882   0.0137332
          22    -9.28726    -9.26011   0.0131697
          23    -9.39469    -9.26596    0.013836
          24    -9.26382    -9.26588   0.0132598
          25    -9.22488    -9.26424   0.0128304
          26    -9.44515    -9.27119    0.014098
          27      -9.229    -9.26963   0.0136621
          28    -9.49554     -9.2777   0.0153731
          29     -9.2991    -9.27844   0.0148607
          30    -9.39972    -9.28248    0.014905
          31     -9.3167    -9.28358   0.0144651
          32    -9.31961    -9.28471   0.0140568
          33    -9.31952    -9.28576   0.0136703
          34    -9.30897    -9.28645   0.0132853
          35    -9.18467    -9.28354   0.0132201
          36    -9.44912    -9.28814   0.0136295
          37    -9.32057    -9.28901   0.0132893
          38    -9.36662    -9.29106   0.0130956
          39     -9.2919    -9.29108   0.0127598
          40    -9.23891    -9.28977   0.0125073
          41    -9.34503    -9.29112   0.0122746
          42    -9.31292    -9.29164   0.0119933
          43    -9.22495    -9.29009   0.0118143
          44    -9.25192    -9.28922   0.0115776
          45    -9.29756    -9.28941   0.0113218
          46    -9.24473    -9.28844   0.0111172
          47    -9.31484      -9.289   0.0108949
          48    -9.32909    -9.28983   0.0106999
          49    -9.36036    -9.29127   0.0105779
          50    -9.24806    -9.29041   0.0104016
          51    -9.39938    -9.29255   0.0104148
          52    -9.26228    -9.29196   0.0102307
          53    -9.28758    -9.29188    0.010038
          54    -9.25207    -9.29114  0.00987918
          55     -9.3491     -9.2922  0.00975559
          56    -9.25863     -9.2916  0.00959978
          57    -9.05182    -9.28739   0.0103119
          58    -9.27798    -9.28723   0.0101354
          59    -9.22626     -9.2862   0.0100162
          60     -9.0298    -9.28192   0.0107221
          61    -9.27701    -9.28184   0.0105466
          62    -9.30812    -9.28227    0.010385
          63    -9.36898    -9.28364    0.010311
          64    -9.37699     -9.2851   0.0102525
          65    -9.12745    -9.28268   0.0103777
          66    -9.39409    -9.28436   0.0103569
          67    -9.34214    -9.28523   0.0102381
          68    -9.17101    -9.28355   0.0102244
          69    -9.29622    -9.28373   0.0100779
          70    -9.30103    -9.28398  0.00993695
          71    -9.23364    -9.28327  0.00982225
          72    -8.99537    -9.27927   0.0104682
          73    -9.16032    -9.27764   0.0104508
          74    -9.30069    -9.27795   0.0103142
          75    -9.13268    -9.27601    0.010357
          76    -9.40214    -9.27767   0.0103528
          77    -9.32413    -9.27828   0.0102359
          78    -9.24554    -9.27786   0.0101133
          79    -9.30803    -9.27824  0.00999247
          80    -9.45134     -9.2804   0.0100991
          81    -9.21499     -9.2796   0.0100067
          82    -9.26159    -9.27938  0.00988705
          83    -9.28792    -9.27948  0.00976846
          84     -9.3099    -9.27984  0.00965888
          85    -9.06815    -9.27735  0.00986109
          86    -9.24842    -9.27701  0.00975216
          87    -9.10944    -9.27509  0.00982844
          88    -9.27698    -9.27511  0.00971678
          89    -9.35058    -9.27596  0.00964453
          90    -9.35752    -9.27686  0.00957985
          91    -9.27551    -9.27685  0.00947459
          92    -9.28867    -9.27698  0.00937248
          93    -9.35699    -9.27784   0.0093111
          94      -9.372    -9.27884  0.00926577
          95    -9.20096    -9.27802  0.00920443
          96    -9.32486    -9.27851  0.00912147
          97     -9.3696    -9.27945  0.00907565
          98    -9.16663     -9.2783  0.00905575
          99    -9.22075    -9.27771  0.00898291
         100    -9.10567    -9.27599  0.00905633
         101    -9.24291    -9.27567  0.00897259
         102    -9.32349    -9.27614  0.00889686
         103    -9.22355    -9.27562  0.00882512
         104    -9.19898    -9.27489  0.00877098
         105       -9.28    -9.27494  0.00868759
         106    -9.45537    -9.27664   0.0087708
         107      -9.146    -9.27542   0.0087734
         108    -9.27664    -9.27543  0.00869217
         109    -9.12964    -9.27409  0.00871472
         110    -9.17037    -9.27315  0.00868635
         111    -9.26865    -9.27311  0.00860819
         112    -9.28324     -9.2732  0.00853181
         113    -9.41127    -9.27442  0.00854335
         114    -9.35319    -9.27511  0.00849631
         115      -9.329    -9.27558  0.00843534
         116    -9.41179    -9.27675  0.00844395
         117    -9.33069    -9.27721  0.00838435
         118    -9.25409    -9.27702  0.00831559
         119      -9.261    -9.27688   0.0082468
         120    -9.33892     -9.2774  0.00819427
         121    -9.40233    -9.27843  0.00819133
         122     -9.4366    -9.27973  0.00822614
         123    -9.30618    -9.27995  0.00816207
         124    -9.24464    -9.27966  0.00810121
         125    -9.38967    -9.28054  0.00808407
         126    -9.39201    -9.28143  0.00806817
         127    -9.10766    -9.28006  0.00811982
         128    -9.22489    -9.27963  0.00806782
         129    -9.22836    -9.27923  0.00801506
         130    -9.30696    -9.27944  0.00795624
         131    -9.32118    -9.27976  0.00790188
         132    -9.50594    -9.28147  0.00802566
         133    -9.60914    -9.28394  0.00833487
         134    -9.28151    -9.28392  0.00827269
         135    -9.31357    -9.28414  0.00821432
         136     -9.4103    -9.28507  0.00820614
         137    -9.13373    -9.28396  0.00822025
         138    -9.40803    -9.28486   0.0082097
         139     -9.1705    -9.28404  0.00819176
         140    -9.15191    -9.28309  0.00818744
         141    -9.05612    -9.28149   0.0082861
         142    -9.32787    -9.28181  0.00823418
         143    -9.36848    -9.28242  0.00819887
         144    -9.33096    -9.28275  0.00814887
         145    -9.24501    -9.28249  0.00809682
         146    -9.15164     -9.2816  0.00809082
         147    -9.35545     -9.2821  0.00805136
         148     -9.3375    -9.28247  0.00800565
         149    -9.26282    -9.28234  0.00795301
         150    -9.19653    -9.28177  0.00792054
         151    -9.25727    -9.28161  0.00786975
         152    -9.42728    -9.28257  0.00787611
         153     -9.4397    -9.28359  0.00789131
         154    -9.35788    -9.28408   0.0078548
         155    -9.48058    -9.28534  0.00790577
         156    -9.24443    -9.28508  0.00785944
         157    -9.17064    -9.28435   0.0078431
         158     -9.2962    -9.28443  0.00779382
         159    -9.25477    -9.28424  0.00774704
         160    -9.27471    -9.28418  0.00769885
         161    -9.44096    -9.28516  0.00771236
         162    -9.27896    -9.28512  0.00766485
         163     -9.3016    -9.28522   0.0076185
         164    -9.56517    -9.28693  0.00776092
         165    -9.26822    -9.28681  0.00771472
         166    -9.09092    -9.28563  0.00775797
         167    -9.28307    -9.28562  0.00771153
         168    -9.22339    -9.28525  0.00767452
         169    -9.16775    -9.28455  0.00766054
         170    -9.17518    -9.28391  0.00764244
         171    -9.29645    -9.28398   0.0075981
         172    -9.24617    -9.28376  0.00755711
         173    -9.27332     -9.2837  0.00751366
         174    -9.31341    -9.28387  0.00747242
         175    -9.38193    -9.28443   0.0074507
         176    -9.20141    -9.28396  0.00742329
         177    -9.23147    -9.28366  0.00738727
         178    -9.16821    -9.28302  0.00737419
         179    -9.29272    -9.28307  0.00733319
         180    -9.29748    -9.28315  0.00729289
         181    -9.29528    -9.28322   0.0072529
         182    -9.31438    -9.28339  0.00721507
         183    -9.41492    -9.28411  0.00721136
         184    -9.22322    -9.28378  0.00717975
         185    -9.34946    -9.28413  0.00714972
         186    -9.43823    -9.28496  0.00715912
