# DISTANCE:     AVE_GOFR:        ERROR:
   0.0256496           0           0
   0.0512993           0           0
   0.0769489           0           0
    0.102599           0           0
    0.128248           0           0
    0.153898           0           0
    0.179547           0           0
    0.205197           0           0
    0.230847           0           0
    0.256496           0           0
    0.282146           0           0
    0.307796           0           0
    0.333445           0           0
    0.359095           0           0
    0.384745           0           0
    0.410394           0           0
    0.436044           0           0
    0.461694           0           0
    0.487343           0           0
    0.512993           0           0
    0.538642           0           0
    0.564292           0           0
    0.589942           0           0
    0.615591           0           0
    0.641241           0           0
    0.666891           0           0
     0.69254           0           0
     0.71819           0           0
     0.74384           0           0
    0.769489           0           0
    0.795139           0           0
    0.820788           0           0
    0.846438           0           0
    0.872088 1.17825e-05 1.76246e-06
    0.897737 0.000975932  1.8104e-05
    0.923387   0.0186283 8.49571e-05
    0.949037    0.127521 0.000264506
    0.974686    0.439225 0.000578169
     1.00034    0.941047  0.00089018
     1.02599     1.46748  0.00101044
     1.05164     1.85129 0.000893103
     1.07728     2.03362 0.000765879
     1.10293     2.04063 0.000746327
     1.12858     1.93747 0.000745566
     1.15423     1.77883  0.00075067
     1.17988     1.60118  0.00079129
     1.20553     1.43104 0.000751266
     1.23118     1.27617 0.000709738
     1.25683      1.1417 0.000653827
     1.28248     1.02681 0.000622207
     1.30813    0.931091 0.000587683
     1.33378     0.85066 0.000546048
     1.35943    0.784423  0.00050707
     1.38508      0.7304 0.000436921
     1.41073    0.686299 0.000411863
     1.43638    0.651279 0.000399931
     1.46203    0.623213 0.000392006
     1.48768    0.601943 0.000392425
     1.51333    0.586434 0.000414847
     1.53898    0.577775 0.000393245
     1.56463    0.573016 0.000404924
     1.59028    0.573729  0.00039861
     1.61593    0.579016  0.00042652
     1.64158    0.588937 0.000405038
     1.66723    0.604179 0.000392606
     1.69288    0.623812  0.00039977
     1.71853    0.647631 0.000384076
     1.74418     0.67553 0.000398042
     1.76983    0.707978 0.000388008
     1.79547    0.742646 0.000383788
     1.82112    0.779234 0.000401291
     1.84677    0.817504 0.000429942
     1.87242    0.855364 0.000421434
     1.89807    0.893184 0.000441063
     1.92372    0.929165  0.00042075
     1.94937    0.963901 0.000425739
     1.97502    0.995539 0.000396901
     2.00067     1.02462 0.000400096
     2.02632     1.04774 0.000391408
     2.05197     1.06548 0.000380877
     2.07762      1.0764 0.000377976
     2.10327     1.07953 0.000395531
     2.12892     1.07507  0.00037996
     2.15457     1.06434 0.000378278
     2.18022     1.04764 0.000390959
     2.20587     1.02791 0.000371331
     2.23152     1.00459 0.000408659
     2.25717     0.98046 0.000388427
     2.28282     0.95546 0.000380885
     2.30847    0.931478  0.00037079
     2.33412     0.90923 0.000361509
     2.35977    0.888135 0.000363228
     2.38542    0.869521 0.000344744
     2.41107    0.853505 0.000341455
     2.43672    0.839703 0.000316606
     2.46237    0.829242 0.000326824
     2.48802    0.821287 0.000325872
     2.51366    0.809442 0.000313867
     2.53931    0.801838  0.00031416
     2.56496     0.80243 0.000322059
