#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1        1.65        1.65           0
           2        1.65        1.65           0
           3        1.65        1.65 1.21667e-08
           4        1.65        1.65           0
           5        1.65        1.65           0
           6        1.65        1.65 8.60319e-09
           7        1.65        1.65 7.96501e-09
           8        1.65        1.65 7.45058e-09
           9        1.65        1.65 7.02447e-09
          10        1.65        1.65   6.664e-09
          11        1.65        1.65 6.35388e-09
          12        1.65        1.65 6.08337e-09
          13        1.65        1.65 5.84472e-09
          14        1.65        1.65 5.63211e-09
          15        1.65        1.65 7.69493e-09
          16        1.65        1.65 7.45058e-09
          17        1.65        1.65 7.22812e-09
          18        1.65        1.65 7.02447e-09
          19        1.65        1.65 9.66915e-09
          20        1.65        1.65 9.42432e-09
          21        1.65        1.65  6.5034e-09
          22        1.65        1.65 6.35388e-09
          23        1.65        1.65 4.39411e-09
          24        1.65        1.65 4.30159e-09
          25        1.65        1.65 4.21468e-09
          26        1.65        1.65 4.13284e-09
          27        1.65        1.65 5.73546e-09
          28        1.65        1.65 5.63211e-09
          29        1.65        1.65 5.53415e-09
          30        1.65        1.65 5.44113e-09
          31        1.65        1.65  7.5698e-09
          32        1.65        1.65 7.45058e-09
          33        1.65        1.65 7.33682e-09
          34        1.65        1.65 7.22812e-09
          35        1.65        1.65 8.72523e-09
          36        1.65        1.65 8.60319e-09
          37        1.65        1.65 8.48613e-09
          38        1.65        1.65 8.37373e-09
          39        1.65        1.65 8.26568e-09
          40        1.65        1.65   6.664e-09
          41        1.65        1.65 4.65434e-09
          42        1.65        1.65  4.5986e-09
          43        1.65        1.65 3.21367e-09
          44        1.65        1.65 3.17694e-09
          45        1.65        1.65 3.14144e-09
          46        1.65        1.65 3.10711e-09
          47        1.65        1.65 4.34712e-09
          48        1.65        1.65 4.30159e-09
          49        1.65        1.65 4.25747e-09
          50        1.65        1.65 5.96046e-09
          51        1.65        1.65 5.90174e-09
          52        1.65        1.65 7.15829e-09
          53        1.65        1.65 7.09043e-09
          54        1.65        1.65 7.02447e-09
          55        1.65        1.65 7.51801e-09
          56        1.65        1.65 7.45058e-09
          57        1.65        1.65 7.38494e-09
          58        1.65        1.65   7.321e-09
          59        1.65        1.65 8.23058e-09
          60        1.65        1.65  8.1617e-09
          61        1.65        1.65 8.09453e-09
          62        1.65        1.65 8.87637e-09
          63        1.65        1.65 8.80565e-09
          64        1.65        1.65 8.73658e-09
          65        1.65        1.65 8.66912e-09
          66        1.65        1.65 8.60319e-09
          67        1.65        1.65 8.91843e-09
          68        1.65        1.65 8.85261e-09
          69        1.65        1.65 8.78823e-09
          70        1.65        1.65 8.72523e-09
          71        1.65        1.65 8.66356e-09
          72        1.65        1.65 9.29251e-09
          73        1.65        1.65 9.22864e-09
          74        1.65        1.65 9.16607e-09
          75        1.65        1.65 9.10476e-09
          76        1.65        1.65 9.04466e-09
          77        1.65        1.65 9.60616e-09
          78        1.65        1.65 8.92795e-09
          79        1.65        1.65  8.2132e-09
          80        1.65        1.65  8.1617e-09
          81        1.65        1.65 7.76585e-09
          82        1.65        1.65 6.98151e-09
          83        1.65        1.65 6.93933e-09
          84        1.65        1.65 6.08337e-09
          85        1.65        1.65 6.04748e-09
          86        1.65        1.65 5.56623e-09
          87        1.65        1.65 5.53415e-09
          88        1.65        1.65 4.49287e-09
          89        1.65        1.65 4.46756e-09
          90        1.65        1.65 3.14144e-09
          91        1.65        1.65 3.12413e-09
          92        1.65        1.65 2.19706e-09
          93        1.65        1.65 2.18521e-09
          94        1.65        1.65 2.17356e-09
          95        1.65        1.65 2.16209e-09
          96        1.65        1.65 3.04169e-09
          97        1.65        1.65 3.02597e-09
          98        1.65        1.65 4.25747e-09
          99        1.65        1.65 4.23592e-09
         100        1.65        1.65 4.21468e-09
         101        1.65        1.65  5.1363e-09
         102        1.65        1.65 5.11106e-09
         103        1.65        1.65 5.08618e-09
         104        1.65        1.65 5.46723e-09
         105        1.65        1.65 5.44113e-09
         106        1.65        1.65  6.1405e-09
         107        1.65        1.65 6.11173e-09
         108        1.65        1.65 6.08337e-09
         109        1.65        1.65  6.6945e-09
         110        1.65        1.65   6.664e-09
         111        1.65        1.65 6.63392e-09
         112        1.65        1.65  6.8979e-09
         113        1.65        1.65 6.86731e-09
         114        1.65        1.65 6.83712e-09
         115        1.65        1.65 6.80733e-09
         116        1.65        1.65   7.321e-09
         117        1.65        1.65 7.28964e-09
         118        1.65        1.65 7.25869e-09
         119        1.65        1.65 7.72719e-09
         120        1.65        1.65 7.69493e-09
         121        1.65        1.65 7.66306e-09
         122        1.65        1.65 7.63159e-09
         123        1.65        1.65 7.83442e-09
         124        1.65        1.65 7.80277e-09
         125        1.65        1.65 7.77149e-09
         126        1.65        1.65 8.18327e-09
         127        1.65        1.65 8.15098e-09
         128        1.65        1.65 8.11908e-09
         129        1.65        1.65 8.08755e-09
         130        1.65        1.65 8.05639e-09
         131        1.65        1.65 8.43741e-09
         132        1.65        1.65 8.40539e-09
         133        1.65        1.65 8.37373e-09
         134        1.65        1.65 8.34243e-09
         135        1.65        1.65 8.50706e-09
         136        1.65        1.65 8.47573e-09
         137        1.65        1.65 8.44474e-09
         138        1.65        1.65 8.41409e-09
         139        1.65        1.65 8.38376e-09
         140        1.65        1.65 8.72523e-09
         141        1.65        1.65 8.69423e-09
         142        1.65        1.65 8.66356e-09
         143        1.65        1.65 8.63322e-09
         144        1.65        1.65 8.60319e-09
         145        1.65        1.65 8.92355e-09
         146        1.65        1.65 8.89294e-09
         147        1.65        1.65 8.86264e-09
         148        1.65        1.65 8.83265e-09
         149        1.65        1.65 8.80296e-09
         150        1.65        1.65  8.9407e-09
         151        1.65        1.65 8.91104e-09
         152        1.65        1.65 8.88168e-09
         153        1.65        1.65 8.85261e-09
         154        1.65        1.65 8.82382e-09
         155        1.65        1.65 8.79531e-09
         156        1.65        1.65 8.76707e-09
         157        1.65        1.65 8.73911e-09
         158        1.65        1.65 8.71141e-09
         159        1.65        1.65 8.68397e-09
         160        1.65        1.65 8.65679e-09
         161        1.65        1.65 8.94378e-09
         162        1.65        1.65 8.91613e-09
         163        1.65        1.65 8.88874e-09
         164        1.65        1.65  8.8616e-09
         165        1.65        1.65 8.83471e-09
         166        1.65        1.65 8.80806e-09
         167        1.65        1.65 8.78164e-09
         168        1.65        1.65 9.05235e-09
         169        1.65        1.65 9.02553e-09
         170        1.65        1.65 8.99894e-09
         171        1.65        1.65 8.97259e-09
         172        1.65        1.65 8.94647e-09
         173        1.65        1.65 8.92058e-09
         174        1.65        1.65 8.89491e-09
         175        1.65        1.65 9.01138e-09
         176        1.65        1.65 8.98574e-09
         177        1.65        1.65 8.96032e-09
         178        1.65        1.65 8.93511e-09
         179        1.65        1.65 8.91012e-09
         180        1.65        1.65 8.88534e-09
         181        1.65        1.65 8.86076e-09
         182        1.65        1.65 8.83638e-09
         183        1.65        1.65 9.08341e-09
         184        1.65        1.65  9.0587e-09
         185        1.65        1.65 9.03418e-09
         186        1.65        1.65 9.00986e-09
         187        1.65        1.65 8.98574e-09
         188        1.65        1.65 8.96181e-09
         189        1.65        1.65 8.93807e-09
         190        1.65        1.65 8.91452e-09
         191        1.65        1.65 9.02095e-09
         192        1.65        1.65 8.99743e-09
         193        1.65        1.65 8.97409e-09
         194        1.65        1.65 8.95093e-09
         195        1.65        1.65 8.92795e-09
         196        1.65        1.65 8.90515e-09
         197        1.65        1.65 8.88252e-09
         198        1.65        1.65 8.86006e-09
         199        1.65        1.65 8.83777e-09
         200        1.65        1.65 9.06402e-09
         201        1.65        1.65 9.04145e-09
         202        1.65        1.65 9.01904e-09
         203        1.65        1.65  8.9968e-09
         204        1.65        1.65 8.97472e-09
         205        1.65        1.65  8.9528e-09
         206        1.65        1.65 8.93105e-09
         207        1.65        1.65 8.90945e-09
         208        1.65        1.65 8.88801e-09
         209        1.65        1.65 8.86672e-09
         210        1.65        1.65 8.84558e-09
         211        1.65        1.65 9.05996e-09
         212        1.65        1.65 9.03856e-09
         213        1.65        1.65 9.01732e-09
         214        1.65        1.65 8.99623e-09
         215        1.65        1.65 8.97528e-09
         216        1.65        1.65 8.95448e-09
         217        1.65        1.65 8.93383e-09
         218        1.65        1.65 8.91331e-09
         219        1.65        1.65 8.89294e-09
         220        1.65        1.65 8.87271e-09
         221        1.65        1.65 8.85261e-09
         222        1.65        1.65 8.94517e-09
         223        1.65        1.65 8.92509e-09
         224        1.65        1.65 8.90515e-09
         225        1.65        1.65 8.88534e-09
         226        1.65        1.65 8.86566e-09
         227        1.65        1.65 8.84611e-09
         228        1.65        1.65 8.82669e-09
         229        1.65        1.65 8.80739e-09
         230        1.65        1.65 8.78823e-09
         231        1.65        1.65 8.76918e-09
         232        1.65        1.65 8.75026e-09
         233        1.65        1.65 8.73147e-09
         234        1.65        1.65 8.71279e-09
         235        1.65        1.65 8.90894e-09
         236        1.65        1.65 8.89004e-09
         237        1.65        1.65 8.87127e-09
         238        1.65        1.65 8.85261e-09
         239        1.65        1.65 8.83407e-09
         240        1.65        1.65 8.81565e-09
         241        1.65        1.65 8.79734e-09
         242        1.65        1.65 8.77914e-09
         243        1.65        1.65 8.76106e-09
         244        1.65        1.65 8.74309e-09
         245        1.65        1.65 8.72523e-09
         246        1.65        1.65 8.70747e-09
         247        1.65        1.65 8.68983e-09
         248        1.65        1.65 8.67229e-09
         249        1.65        1.65 8.85853e-09
         250        1.65        1.65  8.8408e-09
         251        1.65        1.65 8.82317e-09
         252        1.65        1.65 8.80565e-09
         253        1.65        1.65 8.78823e-09
         254        1.65        1.65 8.77091e-09
         255        1.65        1.65 8.75369e-09
         256        1.65        1.65 8.73658e-09
         257        1.65        1.65 8.71957e-09
         258        1.65        1.65 8.70265e-09
         259        1.65        1.65 8.68583e-09
         260        1.65        1.65 8.66912e-09
         261        1.65        1.65 8.65249e-09
         262        1.65        1.65 8.63596e-09
         263        1.65        1.65 8.61953e-09
         264        1.65        1.65 8.60319e-09
         265        1.65        1.65 8.68397e-09
         266        1.65        1.65 8.66763e-09
         267        1.65        1.65 8.65139e-09
         268        1.65        1.65 8.63523e-09
         269        1.65        1.65 8.61917e-09
         270        1.65        1.65 8.60319e-09
         271        1.65        1.65  8.5873e-09
         272        1.65        1.65  8.5715e-09
         273        1.65        1.65 8.55579e-09
         274        1.65        1.65 8.54016e-09
         275        1.65        1.65 8.52462e-09
         276        1.65        1.65 8.50916e-09
         277        1.65        1.65 8.49379e-09
         278        1.65        1.65  8.4785e-09
         279        1.65        1.65 8.46329e-09
         280        1.65        1.65 8.44816e-09
         281        1.65        1.65 8.43312e-09
         282        1.65        1.65 8.41815e-09
         283        1.65        1.65 8.58798e-09
         284        1.65        1.65 8.57284e-09
         285        1.65        1.65 8.55779e-09
         286        1.65        1.65 8.54282e-09
         287        1.65        1.65 8.52792e-09
         288        1.65        1.65  8.5131e-09
         289        1.65        1.65 8.49836e-09
         290        1.65        1.65 8.48369e-09
         291        1.65        1.65 8.46911e-09
         292        1.65        1.65 8.45459e-09
         293        1.65        1.65 8.44015e-09
         294        1.65        1.65 8.42579e-09
         295        1.65        1.65 8.41149e-09
         296        1.65        1.65 8.39727e-09
         297        1.65        1.65 8.38312e-09
         298        1.65        1.65 8.36905e-09
         299        1.65        1.65 8.35504e-09
         300        1.65        1.65  8.3411e-09
         301        1.65        1.65 8.32723e-09
         302        1.65        1.65 8.31344e-09
         303        1.65        1.65 8.29971e-09
         304        1.65        1.65 8.46051e-09
         305        1.65        1.65 8.44663e-09
         306        1.65        1.65 8.43281e-09
         307        1.65        1.65 8.41907e-09
         308        1.65        1.65 8.40539e-09
         309        1.65        1.65 8.39178e-09
         310        1.65        1.65 8.37823e-09
         311        1.65        1.65 8.19226e-09
         312        1.65        1.65 8.00321e-09
         313        1.65        1.65 7.90113e-09
         314        1.65        1.65 7.88854e-09
         315        1.65        1.65 7.69493e-09
         316        1.65        1.65 7.49759e-09
         317        1.65        1.65 7.39159e-09
         318        1.65        1.65 7.37996e-09
         319        1.65        1.65 7.17696e-09
         320        1.65        1.65 6.96938e-09
         321        1.65        1.65 6.85839e-09
         322        1.65        1.65 6.84773e-09
         323        1.65        1.65 6.63298e-09
         324        1.65        1.65 6.51844e-09
         325        1.65        1.65  6.5084e-09
         326        1.65        1.65 6.28529e-09
         327        1.65        1.65  6.0554e-09
         328        1.65        1.65 5.93314e-09
         329        1.65        1.65 5.92412e-09
         330        1.65        1.65 5.68308e-09
         331        1.65        1.65 5.43291e-09
         332        1.65        1.65 5.42472e-09
         333        1.65        1.65 5.29203e-09
         334        1.65        1.65 5.02619e-09
         335        1.65        1.65 5.01868e-09
         336        1.65        1.65 4.74013e-09
         337        1.65        1.65 4.59177e-09
         338        1.65        1.65 4.58497e-09
         339        1.65        1.65 4.28252e-09
         340        1.65        1.65 3.95901e-09
         341        1.65        1.65  3.9532e-09
         342        1.65        1.65 3.77936e-09
         343        1.65        1.65 3.41357e-09
         344        1.65        1.65 3.40861e-09
         345        1.65        1.65 3.00175e-09
         346        1.65        1.65 2.99741e-09
         347        1.65        1.65 2.77106e-09
         348        1.65        1.65 2.25931e-09
         349        1.65        1.65 2.25607e-09
         350        1.65        1.65   1.593e-09
         351        1.65        1.65 1.12482e-09
         352        1.65        1.65 1.12322e-09
         353        1.65        1.65 1.12163e-09
         354        1.65        1.65 1.12004e-09
         355        1.65        1.65 1.58174e-09
         356        1.65        1.65 2.23378e-09
         357        1.65        1.65 2.23065e-09
         358        1.65        1.65 2.72816e-09
         359        1.65        1.65 2.72435e-09
         360        1.65        1.65 2.93855e-09
         361        1.65        1.65 3.32738e-09
         362        1.65        1.65 3.32278e-09
         363        1.65        1.65 3.66841e-09
         364        1.65        1.65 3.66337e-09
         365        1.65        1.65 3.82102e-09
         366        1.65        1.65  3.8158e-09
         367        1.65        1.65 4.11591e-09
         368        1.65        1.65 4.11032e-09
         369        1.65        1.65 4.38815e-09
         370        1.65        1.65 4.51709e-09
         371        1.65        1.65   4.511e-09
         372        1.65        1.65 4.76256e-09
         373        1.65        1.65 4.75617e-09
         374        1.65        1.65 4.99354e-09
         375        1.65        1.65 4.98688e-09
         376        1.65        1.65 5.09744e-09
         377        1.65        1.65 5.09068e-09
         378        1.65        1.65    5.31e-09
         379        1.65        1.65 5.30299e-09
         380        1.65        1.65 5.51226e-09
         381        1.65        1.65 5.50503e-09
         382        1.65        1.65 5.60254e-09
         383        1.65        1.65 5.59523e-09
         384        1.65        1.65  5.7912e-09
         385        1.65        1.65 5.97979e-09
         386        1.65        1.65 5.97203e-09
         387        1.65        1.65 6.05975e-09
         388        1.65        1.65 6.05193e-09
         389        1.65        1.65 6.23017e-09
         390        1.65        1.65 6.22218e-09
         391        1.65        1.65 6.30494e-09
         392        1.65        1.65 6.29689e-09
         393        1.65        1.65 6.28887e-09
         394        1.65        1.65 6.45785e-09
         395        1.65        1.65 6.44967e-09
         396        1.65        1.65 6.61332e-09
         397        1.65        1.65 6.60499e-09
         398        1.65        1.65 6.68072e-09
         399        1.65        1.65 6.67235e-09
         400        1.65        1.65 6.82857e-09
         401        1.65        1.65 6.82005e-09
         402        1.65        1.65 6.97186e-09
         403        1.65        1.65  6.9632e-09
         404        1.65        1.65 7.03316e-09
         405        1.65        1.65 7.02447e-09
         406        1.65        1.65 7.17003e-09
         407        1.65        1.65 7.16122e-09
