#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -8.47167    -8.47167           0
           2    -8.42117    -8.44642   0.0178558
           3    -8.41621    -8.43635   0.0144678
           4    -8.42014     -8.4323    0.011404
           5    -8.38049    -8.42194   0.0130043
           6     -8.4344    -8.42401   0.0110016
           7    -8.40689    -8.42157  0.00969811
           8    -8.44338    -8.42429  0.00886094
           9    -8.43046    -8.42498  0.00790283
          10    -8.43402    -8.42588  0.00716407
          11    -8.43318    -8.42655  0.00654342
          12     -8.4016    -8.42447  0.00631977
          13    -8.45377    -8.42672  0.00622255
          14    -8.44026    -8.42769  0.00585273
          15    -8.40275    -8.42603  0.00569375
          16    -8.43759    -8.42675  0.00538357
          17    -8.40684    -8.42558  0.00519271
          18    -8.41328    -8.42489    0.004949
          19    -8.42905    -8.42511  0.00469335
          20     -8.4292    -8.42532  0.00446312
          21    -8.41056    -8.42461  0.00430556
          22    -8.42481    -8.42462  0.00410987
          23    -8.41941     -8.4244  0.00393742
          24    -8.40888    -8.42375   0.0038261
          25    -8.44083    -8.42443  0.00373358
          26    -8.43747    -8.42493   0.0036235
          27    -8.40131    -8.42406  0.00359338
          28    -8.43231    -8.42435   0.0034771
          29    -8.41402      -8.424   0.0033754
          30    -8.42629    -8.42407  0.00326375
          31    -8.42314    -8.42404  0.00315861
          32    -8.43395    -8.42435  0.00307502
          33    -8.40745    -8.42384  0.00302422
          34    -8.45734    -8.42483  0.00309159
          35    -8.44707    -8.42546  0.00306787
          36    -8.42748    -8.42552  0.00298317
          37    -8.42889    -8.42561  0.00290393
          38    -8.44303    -8.42607  0.00286345
          39    -8.43528     -8.4263  0.00279976
          40    -8.43523    -8.42653  0.00273864
          41    -8.42709    -8.42654  0.00267188
          42    -8.43858    -8.42683  0.00262361
          43    -8.42927    -8.42688  0.00256321
          44     -8.4131    -8.42657  0.00252404
          45    -8.43272    -8.42671  0.00247165
          46    -8.40996    -8.42634   0.0024446
          47    -8.46099    -8.42708  0.00250124
          48    -8.41251    -8.42678  0.00246747
          49    -8.43017    -8.42685  0.00241809
          50    -8.44468     -8.4272  0.00239588
          51    -8.39594    -8.42659  0.00242604
          52    -8.43641    -8.42678  0.00238672
          53    -8.43884    -8.42701  0.00235251
          54    -8.45943    -8.42761  0.00238432
          55    -8.40991    -8.42729  0.00236258
          56    -8.44475     -8.4276  0.00234088
          57    -8.44238    -8.42786  0.00231413
          58    -8.40789    -8.42751  0.00229969
          59    -8.40953    -8.42721  0.00228082
          60    -8.40809    -8.42689  0.00226496
          61    -8.42142     -8.4268   0.0022296
          62    -8.45454    -8.42725  0.00223808
          63     -8.4434     -8.4275  0.00221719
          64    -8.45404    -8.42792  0.00222098
          65    -8.39916    -8.42747  0.00223045
          66    -8.41982    -8.42736  0.00219966
          67    -8.42656    -8.42735  0.00216687
          68    -8.43544    -8.42747  0.00213827
          69    -8.42343    -8.42741  0.00210808
          70     -8.4111    -8.42717   0.0020908
          71    -8.42858    -8.42719  0.00206144
          72    -8.42685    -8.42719  0.00203282
          73    -8.42978    -8.42722  0.00200528
          74    -8.42712    -8.42722  0.00197818
          75    -8.43005    -8.42726  0.00195217
          76    -8.42578    -8.42724  0.00192658
          77     -8.4214    -8.42717  0.00190305
          78    -8.44231    -8.42736  0.00188853
          79    -8.42506    -8.42733  0.00186485
          80    -8.44787    -8.42759  0.00185913
          81    -8.40078    -8.42726   0.0018654
          82    -8.43565    -8.42736  0.00184546
          83    -8.41865    -8.42725  0.00182621
          84    -8.40244    -8.42696   0.0018282
          85    -8.39675     -8.4266  0.00184091
          86    -8.44899    -8.42686  0.00183782
          87    -8.40223    -8.42658  0.00183837
          88    -8.41282    -8.42642  0.00182412
          89    -8.41092    -8.42625  0.00181193
          90    -8.43635    -8.42636  0.00179526
          91    -8.40653    -8.42614  0.00178871
          92    -8.45242    -8.42643  0.00179193
          93    -8.41114    -8.42627  0.00178019
          94    -8.38814    -8.42586  0.00180685
          95    -8.42253    -8.42582  0.00178817
          96    -8.45024    -8.42608  0.00178754
          97    -8.42694    -8.42609  0.00176914
          98    -8.42469    -8.42607  0.00175114
          99    -8.39004    -8.42571  0.00177088
         100    -8.42122    -8.42566  0.00175374
         101    -8.43343    -8.42574  0.00173806
         102    -8.40661    -8.42555   0.0017311
         103    -8.42743    -8.42557  0.00171439
         104    -8.40563    -8.42538   0.0017086
         105    -8.40058    -8.42514  0.00170857
         106    -8.40669    -8.42497   0.0017013
         107    -8.43943    -8.42511  0.00169076
         108    -8.39296    -8.42481   0.0017011
         109    -8.39913    -8.42457  0.00170173
         110    -8.42634    -8.42459  0.00168633
         111    -8.41273    -8.42448  0.00167452
         112    -8.41108    -8.42436  0.00166384
         113    -8.39841    -8.42413  0.00166489
         114    -8.42795    -8.42417  0.00165062
         115    -8.42313    -8.42416  0.00163629
         116    -8.39992    -8.42395  0.00163548
         117    -8.43614    -8.42405  0.00162481
         118    -8.44067    -8.42419  0.00161714
         119    -8.40907    -8.42407  0.00160853
         120    -8.40733    -8.42393  0.00160116
         121    -8.42913    -8.42397  0.00158851
         122    -8.41675    -8.42391  0.00157659
         123    -8.39788     -8.4237  0.00157791
         124    -8.39609    -8.42348  0.00158082
         125    -8.41688    -8.42342  0.00156905
         126    -8.45423    -8.42367  0.00157553
         127    -8.45877    -8.42394  0.00158718
         128    -8.41617    -8.42388  0.00157594
         129    -8.41728    -8.42383  0.00156455
         130    -8.40589    -8.42369  0.00155859
         131     -8.4352    -8.42378  0.00154917
         132    -8.42353    -8.42378  0.00153743
         133    -8.43161    -8.42384    0.001527
         134    -8.45184    -8.42405  0.00152983
         135    -8.42695    -8.42407  0.00151865
         136    -8.39582    -8.42386  0.00152163
         137     -8.4193    -8.42383  0.00151089
         138     -8.4236    -8.42383  0.00149994
         139    -8.43581    -8.42391  0.00149162
         140    -8.40101    -8.42375  0.00148991
         141    -8.41996    -8.42372  0.00147959
         142    -8.42274    -8.42372  0.00146918
         143    -8.42353    -8.42371  0.00145891
         144    -8.42541    -8.42373  0.00144883
         145    -8.39687    -8.42354  0.00145063
         146    -8.41346    -8.42347  0.00144233
         147    -8.43345    -8.42354  0.00143412
         148    -8.45263    -8.42374  0.00143783
         149    -8.41976    -8.42371  0.00142843
         150    -8.43864    -8.42381  0.00142237
         151    -8.44289    -8.42394  0.00141855
         152    -8.43802    -8.42403  0.00141224
         153    -8.42623    -8.42404  0.00140308
         154    -8.43289     -8.4241  0.00139515
         155    -8.41839    -8.42406  0.00138663
         156    -8.43021     -8.4241   0.0013783
         157    -8.41509    -8.42405  0.00137072
         158    -8.43083    -8.42409  0.00136272
         159    -8.41493    -8.42403  0.00135536
         160    -8.43975    -8.42413  0.00135044
         161    -8.43349    -8.42419  0.00134331
         162    -8.41107    -8.42411  0.00133745
         163    -8.39851    -8.42395  0.00133843
         164    -8.43499    -8.42402  0.00133196
         165    -8.42818    -8.42404  0.00132413
         166    -8.42644    -8.42406  0.00131623
         167    -8.44761     -8.4242  0.00131589
         168    -8.44824    -8.42434  0.00131581
         169    -8.41791     -8.4243  0.00130857
         170    -8.41547    -8.42425  0.00130191
         171    -8.42492    -8.42425   0.0012943
         172    -8.44245    -8.42436  0.00129109
         173     -8.4015    -8.42423  0.00129037
         174    -8.45101    -8.42438   0.0012921
         175    -8.41353    -8.42432  0.00128621
         176    -8.42211    -8.42431  0.00127896
         177     -8.3807    -8.42406  0.00129525
         178    -8.42302    -8.42405  0.00128798
         179    -8.42276    -8.42405  0.00128081
         180    -8.41747    -8.42401  0.00127421
         181    -8.46152    -8.42422  0.00128391
         182    -8.44944    -8.42436  0.00128432
         183      -8.412    -8.42429  0.00127907
         184     -8.4045    -8.42418  0.00127663
         185    -8.42532    -8.42419  0.00126975
         186    -8.43222    -8.42423  0.00126366
         187    -8.41078    -8.42416  0.00125894
         188    -8.41926    -8.42413  0.00125252
         189    -8.43808    -8.42421  0.00124806
         190    -8.40938    -8.42413  0.00124393
         191    -8.40441    -8.42403  0.00124169
         192    -8.43159    -8.42406  0.00123585
         193    -8.42982    -8.42409  0.00122981
         194    -8.43259    -8.42414  0.00122425
         195    -8.41349    -8.42408  0.00121919
         196    -8.42287    -8.42408  0.00121298
         197    -8.41418    -8.42403  0.00120786
         198    -8.38375    -8.42382  0.00121877
         199    -8.43876     -8.4239  0.00121496
         200    -8.42959    -8.42393  0.00120922
         201    -8.43207    -8.42397  0.00120388
         202    -8.44439    -8.42407  0.00120216
         203    -8.39206    -8.42391  0.00120653
         204    -8.39003    -8.42375    0.001212
         205    -8.43185    -8.42378  0.00120673
         206    -8.40362    -8.42369  0.00120484
         207    -8.41633    -8.42365  0.00119954
         208    -8.41261     -8.4236  0.00119495
         209    -8.42618    -8.42361  0.00118929
         210    -8.39502    -8.42347  0.00119139
         211    -8.42528    -8.42348  0.00118578
         212    -8.42559    -8.42349  0.00118023
         213    -8.41664    -8.42346  0.00117512
         214    -8.41836    -8.42344  0.00116987
         215    -8.41227    -8.42339  0.00116558
         216    -8.41139    -8.42333  0.00116151
         217    -8.42331    -8.42333  0.00115616
         218    -8.41313    -8.42328   0.0011518
         219    -8.39992    -8.42318  0.00115147
         220    -8.43367    -8.42322  0.00114722
         221    -8.42596    -8.42324   0.0011421
         222    -8.43878    -8.42331   0.0011391
         223    -8.39095    -8.42316   0.0011432
         224    -8.40939     -8.4231  0.00113975
         225    -8.41262    -8.42305  0.00113563
         226    -8.40739    -8.42298  0.00113272
         227    -8.38878    -8.42283  0.00113771
         228    -8.43089    -8.42287  0.00113327
         229    -8.41129    -8.42282  0.00112945
         230    -8.39808    -8.42271  0.00112965
         231    -8.43396    -8.42276  0.00112581
         232    -8.45159    -8.42288  0.00112779
         233    -8.40983    -8.42283  0.00112434
         234    -8.42488    -8.42284  0.00111957
         235    -8.44035    -8.42291  0.00111728
         236    -8.42511    -8.42292  0.00111259
         237    -8.41841     -8.4229  0.00110806
         238    -8.43448    -8.42295  0.00110447
         239    -8.41298    -8.42291  0.00110064
         240    -8.41793    -8.42289  0.00109624
         241    -8.45353    -8.42301  0.00109904
         242    -8.41861      -8.423  0.00109465
         243    -8.42569    -8.42301   0.0010902
         244    -8.42893    -8.42303  0.00108601
         245    -8.39936    -8.42293  0.00108586
         246    -8.39253    -8.42281  0.00108846
         247    -8.40972    -8.42276  0.00108534
         248    -8.42551    -8.42277  0.00108102
         249    -8.43162     -8.4228  0.00107726
         250    -8.42046     -8.4228    0.001073
         251    -8.40631    -8.42273  0.00107073
         252    -8.40449    -8.42266  0.00106892
         253    -8.44247    -8.42274  0.00106756
         254    -8.42029    -8.42273   0.0010634
         255    -8.45826    -8.42287  0.00106832
         256    -8.42145    -8.42286  0.00106416
         257    -8.44854    -8.42296   0.0010647
         258    -8.43451      -8.423  0.00106152
         259    -8.45921    -8.42314  0.00106658
         260    -8.43604    -8.42319  0.00106363
         261     -8.4161    -8.42317   0.0010599
         262    -8.43191     -8.4232  0.00105638
         263    -8.40836    -8.42314  0.00105387
         264    -8.44139    -8.42321  0.00105215
         265    -8.43213    -8.42325  0.00104871
         266    -8.42514    -8.42325   0.0010448
         267    -8.42301    -8.42325  0.00104088
         268    -8.41185    -8.42321  0.00103787
         269    -8.44719     -8.4233  0.00103783
         270    -8.44209    -8.42337  0.00103632
         271    -8.41545    -8.42334  0.00103291
         272    -8.41037    -8.42329  0.00103021
         273    -8.43881    -8.42335    0.001028
         274    -8.43381    -8.42339  0.00102496
         275    -8.43778    -8.42344  0.00102257
         276    -8.40219    -8.42336  0.00102176
         277    -8.42459    -8.42337  0.00101808
         278    -8.43977    -8.42343  0.00101612
         279    -8.39649    -8.42333  0.00101706
         280    -8.42332    -8.42333  0.00101343
         281    -8.40785    -8.42327  0.00101132
         282    -8.42054    -8.42326  0.00100778
         283    -8.40789    -8.42321  0.00100568
         284    -8.44683    -8.42329  0.00100557
         285    -8.44592    -8.42337  0.00100517
         286    -8.43299    -8.42341  0.00100222
         287    -8.40787    -8.42335  0.00100019
         288      -8.416    -8.42333  0.00099704
         289    -8.43633    -8.42337 0.000994604
         290    -8.39958    -8.42329 0.000994553
         291    -8.41745    -8.42327 0.000991337
         292    -8.42716    -8.42328 0.000988032
         293    -8.42081    -8.42327 0.000984696
         294    -8.41984    -8.42326 0.000981415
         295    -8.42848    -8.42328 0.000978248
         296      -8.435    -8.42332 0.000975744
         297    -8.41195    -8.42328  0.00097321
         298    -8.39103    -8.42317 0.000975944
         299    -8.41673    -8.42315 0.000972918
         300    -8.39249    -8.42305  0.00097503
         301    -8.39055    -8.42294 0.000977751
         302    -8.39858    -8.42286 0.000977835
         303    -8.41847    -8.42285 0.000974715
         304    -8.43509    -8.42289 0.000972341
         305    -8.43936    -8.42294 0.000970652
         306    -8.41019     -8.4229 0.000968374
         307    -8.43086    -8.42293 0.000965566
         308     -8.4276    -8.42294 0.000962551
         309    -8.39622    -8.42285 0.000963313
         310    -8.42475    -8.42286 0.000960225
         311    -8.39698    -8.42278 0.000960737
         312    -8.42372    -8.42278 0.000957663
         313    -8.42427    -8.42278 0.000954615
         314    -8.43903    -8.42284 0.000952976
         315    -8.41502    -8.42281 0.000950274
         316    -8.41807     -8.4228 0.000947385
         317    -8.41988    -8.42279 0.000944441
         318    -8.40512    -8.42273 0.000943103
         319    -8.43086    -8.42276 0.000940491
         320    -8.39928    -8.42268 0.000940408
         321    -8.41264    -8.42265 0.000937999
         322    -8.42764    -8.42267 0.000935214
         323    -8.42221    -8.42267 0.000932319
         324    -8.44582    -8.42274 0.000932176
         325    -8.43089    -8.42276 0.000929645
         326    -8.45356    -8.42286 0.000931582
         327    -8.42739    -8.42287 0.000928836
         328    -8.42542    -8.42288 0.000926037
         329    -8.42007    -8.42287 0.000923261
         330    -8.39475    -8.42279 0.000924388
         331    -8.46769    -8.42292 0.000931498
         332     -8.4311    -8.42295 0.000929018
         333    -8.43264    -8.42297 0.000926684
         334    -8.41711    -8.42296 0.000924076
         335    -8.44545    -8.42302 0.000923754
         336    -8.42084    -8.42302 0.000921027
         337    -8.40703    -8.42297 0.000919515
         338    -8.41589    -8.42295 0.000917034
         339    -8.43687    -8.42299 0.000915248
         340     -8.4259      -8.423 0.000912596
         341    -8.42441      -8.423 0.000909929
         342    -8.41748    -8.42299 0.000907412
         343     -8.4025    -8.42293  0.00090673
         344    -8.42332    -8.42293 0.000904095
         345    -8.45475    -8.42302 0.000906166
         346    -8.44133    -8.42307  0.00090509
         347     -8.4101    -8.42304 0.000903254
         348    -8.42806    -8.42305 0.000900774
         349    -8.37996    -8.42293 0.000906617
         350    -8.40386    -8.42287 0.000905661
         351    -8.44149    -8.42293 0.000904633
         352    -8.41985    -8.42292 0.000902106
         353    -8.43725    -8.42296 0.000900463
         354    -8.42102    -8.42295 0.000897936
         355    -8.41539    -8.42293 0.000895659
         356     -8.4151    -8.42291 0.000893413
         357    -8.43822    -8.42295  0.00089194
         358    -8.43005    -8.42297 0.000889668
         359    -8.42877    -8.42299 0.000887337
         360    -8.40703    -8.42294 0.000885978
         361    -8.43516    -8.42298  0.00088417
         362    -8.43818    -8.42302 0.000882724
         363    -8.44758    -8.42309 0.000882881
         364    -8.44509    -8.42315 0.000882522
         365    -8.41012    -8.42311 0.000880826
         366    -8.42146    -8.42311 0.000878431
         367    -8.44615    -8.42317 0.000878278
         368    -8.43616    -8.42321 0.000876601
         369    -8.42362    -8.42321 0.000874226
         370    -8.41036    -8.42317 0.000872553
         371    -8.44756    -8.42324 0.000872673
         372    -8.40161    -8.42318 0.000872262
         373    -8.43973    -8.42322 0.000871052
         374    -8.42724    -8.42323 0.000868789
         375    -8.40811    -8.42319 0.000867408
         376    -8.41789    -8.42318 0.000865216
         377    -8.42421    -8.42318 0.000862925
         378    -8.40637    -8.42314 0.000861787
         379     -8.4272    -8.42315  0.00085958
         380    -8.44884    -8.42322 0.000859972
         381    -8.44867    -8.42328 0.000860306
         382    -8.41396    -8.42326   0.0008584
         383    -8.43471    -8.42329 0.000856679
         384    -8.41054    -8.42326 0.000855092
         385    -8.42075    -8.42325 0.000852895
         386    -8.42274    -8.42325 0.000850687
