#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    -4.18267    -4.18267           0
           2     -3.8671    -4.02488    0.111572
           3     -3.8611    -3.97029   0.0867158
           4      -3.843    -3.93847   0.0706353
           5    -3.66508    -3.88379   0.0747316
           6    -3.92848    -3.89124   0.0626465
           7    -3.82428    -3.88167   0.0544224
           8    -4.01144    -3.89789   0.0499784
           9    -3.90616    -3.89881   0.0444337
          10    -3.91955    -3.90089   0.0400387
          11    -3.88701    -3.89962   0.0364187
          12    -3.78953    -3.89045   0.0345201
          13    -4.02817    -3.90104   0.0334507
          14    -3.95436    -3.90485   0.0312774
          15    -3.73808    -3.89373   0.0311055
          16     -3.9509    -3.89731   0.0293659
          17    -3.77434    -3.89007   0.0285154
          18    -3.82668    -3.88655   0.0271478
          19    -3.93444    -3.88907   0.0258357
          20    -3.90492    -3.88986   0.0245561
          21     -3.7887    -3.88505   0.0238546
          22    -3.89932    -3.88569   0.0227791
          23    -3.87023    -3.88502   0.0217987
          24    -3.80822    -3.88182    0.021124
          25      -3.977    -3.88563   0.0206192
          26    -3.93152    -3.88739   0.0199016
          27    -3.78071    -3.88344   0.0195528
          28    -3.98052    -3.88691   0.0191594
          29    -3.84779    -3.88556   0.0185462
          30    -3.88719    -3.88562   0.0179281
          31    -3.92366    -3.88684   0.0173917
          32    -3.93266    -3.88827    0.016907
          33    -3.82538    -3.88637   0.0165018
          34    -4.03116    -3.89063   0.0165568
          35    -4.03014    -3.89461   0.0165566
          36    -3.89195    -3.89454   0.0160969
          37    -3.91122    -3.89499   0.0156681
          38    -3.96522    -3.89684   0.0153644
          39    -3.96293    -3.89853   0.0150636
          40    -3.94802    -3.89977   0.0147378
          41    -3.93062    -3.90052   0.0143975
          42    -3.94097    -3.90149   0.0140869
          43    -3.95291    -3.90268   0.0138099
          44    -3.84407    -3.90135   0.0135602
          45    -3.88614    -3.90101    0.013263
          46    -3.82167    -3.89929   0.0130864
          47      -4.069     -3.9029   0.0132968
          48    -3.84271    -3.90164   0.0130787
          49    -3.92254    -3.90207   0.0128188
          50    -4.02907    -3.90461   0.0128116
          51    -3.77406    -3.90205   0.0128135
          52    -3.94128     -3.9028   0.0125893
          53    -3.97829    -3.90423   0.0124321
          54    -4.08238    -3.90753    0.012632
          55    -3.85208    -3.90652   0.0124425
          56    -3.95812    -3.90744   0.0122544
          57    -4.00809    -3.90921    0.012166
          58     -3.8599    -3.90836   0.0119859
          59    -3.81463    -3.90677   0.0118875
          60    -3.78357    -3.90471   0.0118654
          61    -3.86294    -3.90403   0.0116906
          62    -4.02725    -3.90602   0.0116698
          63     -3.9889    -3.90733   0.0115585
          64    -4.06318    -3.90977   0.0116316
          65    -3.77911    -3.90776    0.011625
          66    -3.82713    -3.90654   0.0115129
          67    -3.90841    -3.90656   0.0113411
          68    -3.97182    -3.90752   0.0112148
          69    -3.84256    -3.90658   0.0110918
          70    -3.81178    -3.90523   0.0110157
          71    -3.94183    -3.90574   0.0108726
          72    -3.89486    -3.90559   0.0107226
          73    -3.90582     -3.9056   0.0105757
          74    -3.95106    -3.90621   0.0104507
          75    -3.88412    -3.90592   0.0103155
          76    -3.88895    -3.90569   0.0101821
          77    -3.82703    -3.90467    0.010101
          78    -3.97872    -3.90562    0.010016
          79    -3.88729    -3.90539  0.00989194
          80    -4.02911    -3.90693  0.00988846
          81    -3.78501    -3.90543  0.00988027
          82    -3.93816    -3.90583  0.00976784
          83    -3.86617    -3.90535  0.00966184
          84    -3.76692     -3.9037  0.00968635
          85    -3.73502    -3.90172  0.00977356
          86     -4.0099    -3.90298  0.00974053
          87    -3.75625    -3.90129  0.00977349
          88    -3.85948    -3.90081  0.00967397
          89    -3.85012    -3.90024  0.00958203
          90    -3.93577    -3.90064  0.00948369
          91     -3.7904    -3.89943  0.00945652
          92    -4.03509     -3.9009  0.00946801
          93    -3.80946    -3.89992  0.00941711
          94    -3.77837    -3.89863  0.00940529
          95    -3.88816    -3.89852  0.00930693
          96    -4.04936    -3.90009  0.00934169
          97    -3.89881    -3.90007  0.00924539
          98    -3.88325     -3.8999  0.00915264
          99    -3.69125     -3.8978  0.00929969
         100    -3.88529    -3.89767  0.00920754
         101    -3.90056     -3.8977  0.00911642
         102    -3.81358    -3.89687  0.00906426
         103    -3.88332    -3.89674  0.00897722
         104    -3.79611    -3.89577  0.00894289
         105    -3.79276    -3.89479  0.00891138
         106    -3.73208    -3.89326  0.00895854
         107    -3.93022     -3.8936  0.00888147
         108    -3.74007    -3.89218  0.00891229
         109    -3.79744    -3.89131  0.00887282
         110    -3.91171     -3.8915  0.00879409
         111    -3.84102    -3.89104  0.00872662
         112    -3.81977    -3.89041  0.00867187
         113    -3.75991    -3.88925  0.00867168
         114    -3.94776    -3.88977  0.00861079
         115    -3.92439    -3.89007  0.00854117
         116    -3.79062    -3.88921  0.00851046
         117     -3.9309    -3.88957  0.00844518
         118    -3.98371    -3.89036  0.00841121
         119    -3.79939     -3.8896  0.00837519
         120    -3.80692    -3.88891  0.00833369
         121    -3.93876    -3.88932    0.008275
         122    -3.80466    -3.88863  0.00823622
         123    -3.76768    -3.88765  0.00822774
         124    -3.78866    -3.88685  0.00820002
         125    -3.87286    -3.88674  0.00813519
         126    -4.07416    -3.88822  0.00820548
         127    -4.02529     -3.8893  0.00821154
         128    -3.84119    -3.88893  0.00815599
         129    -3.84606    -3.88859  0.00809953
         130    -3.80807    -3.88797  0.00806088
         131    -3.90467     -3.8881  0.00800035
         132    -3.87347    -3.88799  0.00794051
         133    -3.88929      -3.888  0.00788081
         134    -4.01835    -3.88897  0.00788181
         135    -3.95568    -3.88947   0.0078389
         136     -3.7308     -3.8883   0.0078676
         137    -3.85138    -3.88803  0.00781478
         138    -3.90007    -3.88812  0.00775864
         139    -3.94516    -3.88853  0.00771367
         140    -3.82327    -3.88806  0.00767264
         141     -3.9026    -3.88817  0.00761892
         142    -3.89884    -3.88824  0.00756564
         143    -3.87349    -3.88814  0.00751343
         144    -3.85145    -3.88788  0.00746557
         145    -3.76891    -3.88706  0.00745904
         146    -3.81126    -3.88654    0.007426
         147    -3.94271    -3.88693   0.0073853
         148    -4.04964    -3.88802  0.00741678
         149    -3.87895    -3.88796  0.00736725
         150    -3.97494    -3.88854  0.00734092
         151    -4.01518    -3.88938  0.00734006
         152      -3.958    -3.88983  0.00730564
         153    -3.89284    -3.88985  0.00725791
         154    -3.94383     -3.8902  0.00721924
         155    -3.85732    -3.88999  0.00717578
         156    -3.92536    -3.89022  0.00713336
         157    -3.83951     -3.8899  0.00709524
         158    -3.91205    -3.89004  0.00705172
         159     -3.8211     -3.8896  0.00702068
         160    -3.91177    -3.88974  0.00697817
         161    -3.89427    -3.88977  0.00693488
         162     -3.8378    -3.88945  0.00689949
         163    -3.72808    -3.88846  0.00692782
         164    -3.94338    -3.88879  0.00689367
         165    -3.90873    -3.88891  0.00685295
         166    -3.89978    -3.88898  0.00681198
         167    -4.04854    -3.88993  0.00683787
         168    -4.02152    -3.89072  0.00684188
         169    -3.84897    -3.89047  0.00680585
         170    -3.84419     -3.8902  0.00677126
         171    -3.88848    -3.89019  0.00673167
         172    -3.99524     -3.8908  0.00672018
         173    -3.75863    -3.89004  0.00672462
         174    -4.05574    -3.89099  0.00675307
         175    -3.87907    -3.89092  0.00671482
         176    -3.84574    -3.89066  0.00668158
         177    -3.65705    -3.88934  0.00677294
         178    -3.88009    -3.88929  0.00673509
         179    -3.84873    -3.88906  0.00670127
         180    -3.84629    -3.88883  0.00666825
         181    -4.09089    -3.88994  0.00672421
         182    -3.99999    -3.89055  0.00671439
         183    -3.81597    -3.89014  0.00669006
         184    -3.77855    -3.88953  0.00668113
         185    -3.89606    -3.88957  0.00664511
         186    -3.93733    -3.88983  0.00661434
         187    -3.84349    -3.88958  0.00658361
         188    -3.78918    -3.88904  0.00657022
         189    -3.96462    -3.88944  0.00654761
         190    -3.80966    -3.88902   0.0065266
         191    -3.79251    -3.88852  0.00651196
         192    -3.94059    -3.88879  0.00648369
         193    -3.94437    -3.88908  0.00645649
         194    -3.90274    -3.88915  0.00642359
         195    -3.82596    -3.88882  0.00639882
         196    -3.89731    -3.88887  0.00636631
         197    -3.84682    -3.88865  0.00633758
         198    -3.73254    -3.88787  0.00635443
         199    -3.95047    -3.88818  0.00633028
         200    -3.88304    -3.88815  0.00629868
         201    -3.94657    -3.88845  0.00627404
         202    -3.98149    -3.88891  0.00625987
         203    -3.72352    -3.88809  0.00628183
         204    -3.66323    -3.88699  0.00634701
         205    -3.92664    -3.88718  0.00631899
         206    -3.74471    -3.88649  0.00632605
         207    -3.84823    -3.88631  0.00629819
         208    -3.85208    -3.88614  0.00627006
         209     -3.9377    -3.88639  0.00624491
         210    -3.73364    -3.88566  0.00625739
         211    -3.93449    -3.88589  0.00623201
         212    -3.91664    -3.88604   0.0062043
         213    -3.87415    -3.88598  0.00617542
         214    -3.83258    -3.88573  0.00615161
         215    -3.80569    -3.88536  0.00613425
         216     -3.8325    -3.88511  0.00611073
         217    -3.88234     -3.8851  0.00608258
         218    -3.86871    -3.88503  0.00605515
         219    -3.75342    -3.88443  0.00605724
         220    -3.94036    -3.88468  0.00603504
         221    -3.84811    -3.88451     0.00601
         222    -3.97085     -3.8849   0.0059955
         223    -3.75887    -3.88434  0.00599519
         224    -3.83031     -3.8841  0.00597328
         225    -3.82045    -3.88381  0.00595343
         226    -3.81785    -3.88352  0.00593423
         227    -3.67659    -3.88261   0.0059777
         228    -3.85862    -3.88251   0.0059524
         229    -3.83281    -3.88229  0.00593036
         230    -3.73009    -3.88163  0.00594138
         231    -3.92546    -3.88182  0.00591869
         232    -4.04462    -3.88252  0.00593463
         233    -3.85507     -3.8824  0.00591033
         234    -3.95046    -3.88269  0.00589223
         235    -4.00688    -3.88322   0.0058908
         236    -3.88851    -3.88324  0.00586588
         237     -3.8412    -3.88306  0.00584381
         238    -3.95876    -3.88338  0.00582791
         239    -3.81086    -3.88308  0.00581142
         240    -3.87961    -3.88306  0.00578722
         241    -4.02069    -3.88364  0.00579132
         242    -3.85692    -3.88353  0.00576844
         243     -3.9043    -3.88361  0.00574533
         244     -3.9139    -3.88374  0.00572313
         245    -3.80374    -3.88341  0.00570907
         246    -3.72686    -3.88277  0.00572122
         247    -3.84586    -3.88262  0.00570001
         248    -3.89924    -3.88269  0.00567742
         249    -3.94129    -3.88293   0.0056595
         250     -3.8876    -3.88294  0.00563689
         251    -3.81041    -3.88265  0.00562183
         252    -3.77431    -3.88223  0.00561594
         253    -3.98788    -3.88264  0.00560925
         254    -3.85858    -3.88255  0.00558797
         255    -4.05517    -3.88322  0.00560691
         256    -3.90605    -3.88331  0.00558571
         257    -4.02616    -3.88387  0.00559157
         258    -3.91042    -3.88397  0.00557084
         259    -4.07103    -3.88469  0.00559595
         260    -3.97181    -3.88503  0.00558445
         261    -3.85254    -3.88491  0.00556444
         262    -3.94517    -3.88514  0.00554796
         263    -3.80687    -3.88484  0.00553484
         264    -3.96974    -3.88516  0.00552321
         265    -3.88878    -3.88517  0.00550238
         266    -3.90783    -3.88526  0.00548236
         267    -3.88202    -3.88525  0.00546184
         268     -3.8235    -3.88502  0.00544631
         269    -3.96841    -3.88533  0.00543488
         270    -3.99592    -3.88574  0.00543017
         271    -3.83601    -3.88555  0.00541323
         272    -3.82198    -3.88532  0.00539837
         273    -3.94705    -3.88554  0.00538333
         274    -3.93955    -3.88574  0.00536729
