#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -135.639    -135.639           0
           2    -134.275    -134.957    0.482107
           3    -134.142    -134.685    0.390632
           4    -134.248    -134.576    0.307907
           5    -133.177    -134.296    0.351115
           6    -134.633    -134.352    0.297044
           7     -133.89    -134.286    0.261849
           8    -134.875     -134.36    0.239245
           9    -134.526    -134.378    0.213376
          10    -134.623    -134.403     0.19343
          11      -134.6    -134.421    0.176672
          12    -133.747    -134.365    0.170634
          13    -135.156    -134.425    0.168009
          14    -134.791    -134.452    0.158024
          15    -133.778    -134.407    0.153731
          16    -134.719    -134.426    0.145356
          17    -133.889    -134.395    0.140203
          18    -134.062    -134.376    0.133623
          19    -134.488    -134.382     0.12672
          20    -134.492    -134.388    0.120504
          21    -133.989    -134.369     0.11625
          22    -134.374    -134.369    0.110966
          23    -134.228    -134.363     0.10631
          24    -133.944    -134.345    0.103305
          25    -134.806    -134.364    0.100807
          26    -134.716    -134.377   0.0978344
          27    -133.739    -134.354   0.0970213
          28    -134.576    -134.362   0.0938818
          29    -134.083    -134.352   0.0911359
          30    -134.414    -134.354   0.0881213
          31    -134.329    -134.353   0.0852824
          32    -134.621    -134.362   0.0830256
          33    -133.905    -134.348    0.081654
          34    -135.252    -134.374    0.083473
          35    -134.975    -134.391   0.0828325
          36    -134.446    -134.393   0.0805455
          37    -134.484    -134.395   0.0784061
          38    -134.866    -134.408   0.0773133
          39    -134.657    -134.414   0.0755936
          40    -134.655     -134.42   0.0739434
          41    -134.435    -134.421   0.0721409
          42    -134.746    -134.428   0.0708374
          43    -134.494     -134.43   0.0692066
          44    -134.058    -134.421   0.0681491
          45    -134.587    -134.425   0.0667345
          46    -133.973    -134.415   0.0660041
          47    -135.351    -134.435   0.0675334
          48    -134.042    -134.427   0.0666217
          49    -134.519    -134.429   0.0652883
          50     -134.91    -134.438   0.0646886
          51    -133.594    -134.422    0.065503
          52    -134.687    -134.427   0.0644415
          53    -134.753    -134.433   0.0635178
          54    -135.308    -134.449   0.0643768
          55    -133.972    -134.441   0.0637896
          56    -134.912    -134.449   0.0632039
          57    -134.848    -134.456   0.0624816
          58    -133.917    -134.447   0.0620916
          59    -133.961    -134.439   0.0615823
          60    -133.922     -134.43   0.0611538
          61    -134.282    -134.428   0.0601993
          62    -135.176     -134.44    0.060428
          63    -134.876    -134.447   0.0598643
          64    -135.163    -134.458   0.0599664
          65    -133.681    -134.446    0.060222
          66    -134.239    -134.443   0.0593909
          67    -134.421    -134.442   0.0585054
          68    -134.661    -134.446   0.0577332
          69    -134.337    -134.444   0.0569181
          70    -134.004    -134.438   0.0564515
          71    -134.476    -134.438    0.055659
          72    -134.429    -134.438   0.0548861
          73    -134.508    -134.439   0.0541426
          74    -134.436    -134.439   0.0534109
          75    -134.515     -134.44   0.0527085
          76      -134.4     -134.44   0.0520176
          77    -134.282    -134.437   0.0513824
          78    -134.846    -134.443   0.0509902
          79    -134.381    -134.442   0.0503508
          80    -134.996    -134.449   0.0501964
          81    -133.725     -134.44   0.0503658
          82    -134.667    -134.443   0.0498274
          83    -134.207     -134.44   0.0493076
          84     -133.77    -134.432   0.0493615
          85    -133.616    -134.422   0.0497044
          86    -135.027    -134.429    0.049621
          87    -133.764    -134.422   0.0496361
          88     -134.05    -134.417   0.0492513
          89    -133.999    -134.413    0.048922
          90    -134.685    -134.416   0.0484721
          91     -133.88     -134.41   0.0482952
          92    -135.119    -134.418   0.0483821
          93    -134.005    -134.413    0.048065
          94    -133.384    -134.402    0.048785
          95    -134.312    -134.401   0.0482807
          96     -135.06    -134.408   0.0482636
          97    -134.431    -134.408   0.0477667
          98    -134.371    -134.408   0.0472808
          99    -133.435    -134.398   0.0478136
         100    -134.277    -134.397   0.0473509
         101    -134.607    -134.399   0.0469276
