# DISTANCE:     AVE_GOFR:        ERROR:
   0.0230664           0           0
   0.0461329           0           0
   0.0691993           0           0
   0.0922657           0           0
    0.115332           0           0
    0.138399           0           0
    0.161465           0           0
    0.184531           0           0
    0.207598           0           0
    0.230664           0           0
    0.253731           0           0
    0.276797           0           0
    0.299864           0           0
     0.32293           0           0
    0.345996           0           0
    0.369063           0           0
    0.392129           0           0
    0.415196           0           0
    0.438262           0           0
    0.461329           0           0
    0.484395           0           0
    0.507461           0           0
    0.530528           0           0
    0.553594           0           0
    0.576661           0           0
    0.599727           0           0
    0.622794           0           0
     0.64586           0           0
    0.668926           0           0
    0.691993           0           0
    0.715059           0           0
    0.738126           0           0
    0.761192           0           0
    0.784259           0           0
    0.807325           0           0
    0.830391           0           0
    0.853458           0           0
    0.876524  3.6259e-07 2.08713e-07
    0.899591 5.78006e-05 3.95133e-06
    0.922657  0.00262965 2.81564e-05
    0.945724   0.0375343 0.000124754
     0.96879    0.233749 0.000383486
    0.991856    0.804621   0.0007396
     1.01492     1.80276 0.000926458
     1.03799     2.92918 0.000795436
     1.06106     3.74921 0.000897503
     1.08412     3.99299  0.00126416
     1.10719     3.67744  0.00136449
     1.13026     3.00764  0.00114385
     1.15332     2.22376 0.000817534
     1.17639     1.50378 0.000556975
     1.19945    0.938892 0.000486057
     1.22252    0.544359 0.000492573
     1.24559    0.295295  0.00040644
     1.26865    0.150612 0.000315235
     1.29172   0.0745647 0.000232904
     1.31479   0.0412866 0.000179081
     1.33785   0.0356926 0.000167139
     1.36092   0.0514527 0.000192941
     1.38399   0.0903604 0.000236617
     1.40705    0.157268 0.000270929
     1.43012    0.256777 0.000279342
     1.45319    0.387934 0.000253598
     1.47625    0.539732 0.000251781
     1.49932    0.686474 0.000379205
     1.52238    0.796163  0.00049789
     1.54545    0.840014 0.000570954
     1.56852    0.805612  0.00051714
     1.59158    0.702487 0.000392409
     1.61465    0.557949 0.000256007
     1.63772    0.405788 0.000223071
     1.66078    0.276786 0.000275252
     1.68385    0.192015 0.000324829
     1.70692    0.167933 0.000397348
     1.72998     0.22364 0.000463293
     1.75305    0.381094  0.00054193
     1.77612      0.6598 0.000558134
     1.79918     1.05632 0.000470231
     1.82225     1.52608 0.000357104
     1.84531     1.97913 0.000560428
     1.86838     2.30314 0.000879123
     1.89145     2.41054  0.00111174
     1.91451     2.27457 0.000947948
     1.93758     1.94183 0.000669839
     1.96065       1.507 0.000379003
     1.98371      1.0712 0.000358985
     2.00678    0.716212 0.000499665
     2.02985     0.48456 0.000554972
     2.05291    0.388469 0.000574175
     2.07598    0.413263 0.000470938
     2.09905    0.526597 0.000336268
     2.12211    0.681561 0.000212793
     2.14518    0.825814 0.000269988
     2.16824     0.91447 0.000398636
     2.19131    0.922225 0.000425581
     2.21438    0.830841  0.00034245
     2.23744    0.705739  0.00021968
     2.26051    0.591498 0.000302157
     2.28358    0.517669 0.000475942
     2.30664    0.519121 0.000575374
