#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1         1.2         1.2           0
           2         1.2         1.2           0
           3         1.2         1.2           0
           4         1.2         1.2           0
           5         1.2         1.2           0
           6         1.2         1.2           0
           7         1.2         1.2           0
           8         1.2         1.2           0
           9         1.2         1.2           0
          10         1.2         1.2           0
          11         1.2         1.2           0
          12         1.2         1.2           0
          13         1.2         1.2           0
          14         1.2         1.2           0
          15         1.2         1.2 5.44113e-09
          16         1.2         1.2 5.26836e-09
          17         1.2         1.2 5.11106e-09
          18         1.2         1.2 7.02447e-09
          19         1.2         1.2 6.83712e-09
          20         1.2         1.2   6.664e-09
          21         1.2         1.2  6.5034e-09
          22         1.2         1.2 8.40539e-09
          23         1.2         1.2 8.22063e-09
          24         1.2         1.2 8.04755e-09
          25         1.2         1.2 7.88495e-09
          26         1.2         1.2 7.73183e-09
          27         1.2         1.2  7.5873e-09
          28         1.2         1.2 8.44816e-09
          29         1.2         1.2 8.30123e-09
          30         1.2         1.2  8.1617e-09
          31         1.2         1.2 8.02898e-09
          32         1.2         1.2 7.90253e-09
          33         1.2         1.2 7.78188e-09
          34         1.2         1.2 7.66658e-09
          35         1.2         1.2 7.55627e-09
          36         1.2         1.2 7.45058e-09
          37         1.2         1.2 7.34921e-09
          38         1.2         1.2 7.25186e-09
          39         1.2         1.2 8.26568e-09
          40         1.2         1.2  8.1617e-09
          41         1.2         1.2 8.06155e-09
          42         1.2         1.2 7.96501e-09
          43         1.2         1.2 7.87184e-09
          44         1.2         1.2 7.78188e-09
          45         1.2         1.2 7.69493e-09
          46         1.2         1.2 7.61083e-09
          47         1.2         1.2 7.52942e-09
          48         1.2         1.2 7.45058e-09
          49         1.2         1.2 7.37416e-09
          50         1.2         1.2 7.30005e-09
          51         1.2         1.2 7.22812e-09
          52         1.2         1.2 7.15829e-09
          53         1.2         1.2 7.09043e-09
          54         1.2         1.2 7.02447e-09
          55         1.2         1.2 6.02782e-09
          56         1.2         1.2 5.97375e-09
          57         1.2         1.2 5.22194e-09
          58         1.2         1.2 5.17673e-09
          59         1.2         1.2 3.87993e-09
          60         1.2         1.2 3.84746e-09
          61         1.2         1.2 2.69818e-09
          62         1.2         1.2 2.67633e-09
          63         1.2         1.2           0
          64         1.2         1.2           0
          65         1.2         1.2           0
          66         1.2         1.2 3.17694e-09
          67         1.2         1.2 3.15314e-09
          68         1.2         1.2 3.12987e-09
          69         1.2         1.2 4.01126e-09
          70         1.2         1.2  3.9825e-09
          71         1.2         1.2 3.95436e-09
          72         1.2         1.2 4.96705e-09
          73         1.2         1.2 4.93292e-09
          74         1.2         1.2 4.89947e-09
          75         1.2         1.2 5.44113e-09
          76         1.2         1.2 5.40522e-09
          77         1.2         1.2 5.37001e-09
          78         1.2         1.2 5.33547e-09
          79         1.2         1.2 5.80761e-09
          80         1.2         1.2 5.77119e-09
          81         1.2         1.2 5.73546e-09
          82         1.2         1.2 5.70038e-09
          83         1.2         1.2 6.33471e-09
          84         1.2         1.2 6.29689e-09
          85         1.2         1.2 6.25974e-09
          86         1.2         1.2 6.22324e-09
          87         1.2         1.2 6.58696e-09
          88         1.2         1.2 6.54943e-09
          89         1.2         1.2 6.51253e-09
          90         1.2         1.2 6.47625e-09
