#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -12.4102    -12.4102           0
           2    -12.4004    -12.4053  0.00346476
           3    -12.3713     -12.394  0.00955746
           4    -12.4319    -12.4035   0.0109044
           5    -12.3818    -12.3991  0.00954911
           6    -12.4079    -12.4006  0.00806754
           7    -12.3923    -12.3994  0.00700072
           8    -12.4141    -12.4012  0.00636302
           9    -12.3912    -12.4001  0.00575385
          10    -12.4035    -12.4005  0.00518807
          11    -12.4151    -12.4018  0.00488327
          12    -12.4166     -12.403  0.00462908
          13    -12.4253    -12.4047  0.00457859
          14    -12.4003    -12.4044  0.00426265
          15    -12.4034    -12.4043  0.00397905
          16    -12.3855    -12.4032  0.00390129
          17    -12.4062    -12.4033  0.00367594
          18    -12.4008    -12.4032  0.00347451
          19    -12.4083    -12.4035  0.00330189
          20     -12.409    -12.4037  0.00314838
          21    -12.4087     -12.404  0.00300717
          22    -12.4072    -12.4041  0.00287413
          23    -12.4254    -12.4051   0.0028944
          24     -12.394    -12.4046  0.00280999
          25    -12.4099    -12.4048  0.00270567
          26    -12.3941    -12.4044  0.00263279
          27    -12.3971    -12.4041  0.00254903
          28    -12.4146    -12.4045  0.00248522
          29    -12.4005    -12.4044  0.00240343
          30    -12.4086    -12.4045  0.00232739
          31    -12.4108    -12.4047   0.0022611
          32    -12.4264    -12.4054  0.00228954
          33    -12.3997    -12.4052  0.00222655
          34    -12.4389    -12.4062  0.00237105
          35    -12.3971    -12.4059  0.00231764
          36    -12.3966    -12.4057  0.00226763
          37    -12.3891    -12.4052   0.0022504
          38    -12.4117    -12.4054  0.00219755
          39    -12.4032    -12.4053   0.0021419
          40    -12.4239    -12.4058  0.00213821
          41    -12.4153     -12.406  0.00209866
          42    -12.4035     -12.406  0.00204959
          43    -12.3984    -12.4058  0.00200951
          44    -12.4198    -12.4061  0.00198872
          45    -12.4117    -12.4062   0.0019484
          46    -12.4004    -12.4061  0.00191012
          47    -12.3808    -12.4056  0.00194393
          48    -12.4225    -12.4059  0.00193502
          49    -12.4085     -12.406  0.00189625
          50    -12.4172    -12.4062  0.00187159
          51    -12.4041    -12.4062  0.00183534
          52    -12.3944    -12.4059  0.00181401
          53    -12.4041    -12.4059  0.00178011
          54    -12.4071    -12.4059  0.00174729
          55    -12.3983    -12.4058  0.00172099
          56     -12.404    -12.4058  0.00169054
          57    -12.3998    -12.4057  0.00166409
          58    -12.3982    -12.4055  0.00164037
          59    -12.3731     -12.405  0.00170239
          60    -12.4178    -12.4052  0.00168737
          61    -12.4136    -12.4053  0.00166533
          62    -12.4147    -12.4055  0.00164534
          63    -12.4161    -12.4056  0.00162786
          64     -12.413    -12.4058   0.0016065
          65    -12.3954    -12.4056  0.00158966
          66    -12.4027    -12.4056  0.00156618
          67    -12.4307    -12.4059  0.00158722
          68    -12.4001    -12.4058   0.0015662
          69    -12.3979    -12.4057   0.0015477
          70    -12.3984    -12.4056  0.00152917
          71    -12.4097    -12.4057   0.0015087
          72    -12.4205    -12.4059  0.00150169
          73    -12.4118     -12.406  0.00148332
          74    -12.4223    -12.4062  0.00147958
          75    -12.3817    -12.4059  0.00149543
          76    -12.3956    -12.4057  0.00148183
          77    -12.3946    -12.4056  0.00146966
          78    -12.4143    -12.4057  0.00145507
          79    -12.4235    -12.4059  0.00145405
          80     -12.409     -12.406  0.00143639
          81    -12.4339    -12.4063  0.00145944
          82     -12.418    -12.4065  0.00144853
          83    -12.3821    -12.4062  0.00146043
          84    -12.4136    -12.4062  0.00144572
          85    -12.3962    -12.4061  0.00143352
          86    -12.4071    -12.4061  0.00141689
          87    -12.4051    -12.4061  0.00140065
          88    -12.4181    -12.4063  0.00139129
          89    -12.4099    -12.4063  0.00137627
          90    -12.3962    -12.4062  0.00136551
          91    -12.4043    -12.4062  0.00135067
          92    -12.4223    -12.4063  0.00134726
          93    -12.3896    -12.4062  0.00134474
          94     -12.412    -12.4062  0.00133187
          95    -12.4296    -12.4065  0.00134038
          96    -12.4104    -12.4065  0.00132702
          97    -12.4048    -12.4065  0.00131345
          98    -12.3858    -12.4063   0.0013169
          99    -12.3846    -12.4061  0.00132162
         100     -12.406    -12.4061  0.00130841
         101    -12.4228    -12.4062  0.00130589
         102    -12.4023    -12.4062  0.00129366
         103    -12.4159    -12.4063  0.00128455
         104    -12.4047    -12.4063  0.00127228
         105    -12.4072    -12.4063   0.0012602
         106     -12.398    -12.4062  0.00125073
         107    -12.4264    -12.4064  0.00125314
         108    -12.3965    -12.4063  0.00124491
         109    -12.3921    -12.4062  0.00124031
         110    -12.4002    -12.4061   0.0012302
         111    -12.4248    -12.4063  0.00123058
         112    -12.4184    -12.4064  0.00122436
         113    -12.3921    -12.4063  0.00122005
         114    -12.4226    -12.4064   0.0012177
         115     -12.409    -12.4064  0.00120732
         116    -12.3997    -12.4064  0.00119831
         117    -12.4374    -12.4066  0.00121714
         118    -12.4027    -12.4066  0.00120729
         119    -12.3927    -12.4065  0.00120276
         120     -12.409    -12.4065  0.00119291
         121    -12.4105    -12.4065  0.00118351
         122    -12.4081    -12.4066  0.00117387
         123    -12.4025    -12.4065  0.00116479
         124    -12.4065    -12.4065   0.0011554
         125    -12.3844    -12.4063  0.00115968
         126    -12.4229    -12.4065  0.00115788
         127    -12.4206    -12.4066   0.0011541
         128    -12.4294    -12.4068  0.00115882
         129    -12.4018    -12.4067  0.00115049
         130    -12.3831    -12.4065  0.00115595
         131    -12.3936    -12.4064  0.00115133
         132    -12.4077    -12.4065  0.00114265
         133    -12.4112    -12.4065  0.00113461
         134    -12.3906    -12.4064  0.00113231
         135    -12.4135    -12.4064  0.00112515
         136    -12.4063    -12.4064  0.00111688
         137    -12.4176    -12.4065  0.00111173
         138    -12.4031    -12.4065  0.00110394
         139    -12.4099    -12.4065  0.00109627
         140     -12.404    -12.4065  0.00108858
         141    -12.4152    -12.4066  0.00108261
         142    -12.4149    -12.4066  0.00107659
         143    -12.3839    -12.4065  0.00108076
         144    -12.4124    -12.4065  0.00107404
         145    -12.4091    -12.4065  0.00106678
         146    -12.4103    -12.4065  0.00105979
         147    -12.4161    -12.4066   0.0010546
         148    -12.4391    -12.4068  0.00107005
         149    -12.3956    -12.4067   0.0010655
         150    -12.4182    -12.4068  0.00106112
         151    -12.4201    -12.4069  0.00105775
         152     -12.409    -12.4069  0.00105088
         153    -12.4159     -12.407  0.00104565
         154    -12.4029     -12.407   0.0010392
         155    -12.4122     -12.407  0.00103305
         156    -12.4041     -12.407  0.00102659
         157    -12.4063     -12.407  0.00102006
         158    -12.4184     -12.407  0.00101618
         159    -12.4014     -12.407  0.00101041
         160    -12.3794    -12.4068  0.00101873
         161    -12.4228    -12.4069  0.00101724
         162    -12.4065    -12.4069  0.00101097
         163    -12.3864    -12.4068  0.00101261
         164    -12.4053    -12.4068  0.00100648
         165    -12.4116    -12.4068   0.0010008
         166    -12.4154    -12.4069 0.000996118
         167     -12.431     -12.407  0.00100056
