#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.912133    0.912133           0
           2    0.969801    0.940967   0.0203886
           3     1.12344     1.00179   0.0514883
           4    0.797846    0.950804   0.0586591
           5      1.0678    0.974203   0.0513826
           6    0.925931    0.966158   0.0434441
           7     1.00812    0.972152   0.0376492
           8    0.890915    0.961998   0.0342851
           9     1.01312    0.967677   0.0309426
          10    0.948084    0.965718   0.0279103
          11    0.883136    0.958211   0.0263633
          12    0.874769    0.951257   0.0250666
          13    0.827246    0.941718   0.0248875
          14    0.959149    0.942963   0.0231409
          15    0.950918    0.943493   0.0216043
          16     1.04782    0.950014   0.0212152
          17    0.929976    0.948835        0.02
          18    0.967686    0.949882   0.0189163
          19    0.920629    0.948343   0.0179832
          20    0.914232    0.946637   0.0171647
          21    0.922601    0.945493   0.0163855
          22    0.919443    0.944309   0.0156834
          23    0.827531    0.939231    0.015802
          24    0.992579    0.941454   0.0152991
          25    0.912356     0.94029   0.0147314
          26    0.998182    0.942517   0.0143321
          27    0.982839     0.94401   0.0138788
          28    0.879581    0.941709   0.0135726
          29    0.965076    0.942515   0.0131285
          30    0.918008    0.941698   0.0127162
          31    0.904972    0.940513   0.0123611
          32    0.823432    0.936854   0.0125046
          33    0.964609    0.937696   0.0121539
          34    0.753553     0.93228    0.012947
          35     0.97711     0.93356   0.0126403
          36    0.980724    0.934871   0.0123569
          37      1.0211    0.937201   0.0122407
          38    0.902864    0.936297   0.0119519
          39    0.946507    0.936559   0.0116483
          40    0.832469    0.933957   0.0116441
          41    0.880649    0.932657   0.0114325
          42    0.947831    0.933018    0.011166
          43    0.977196    0.934045   0.0109535
          44    0.861738    0.932402   0.0108271
          45    0.898471    0.931648   0.0106127
          46    0.965552    0.932385   0.0104076
          47     1.06932    0.935299   0.0105861
          48    0.847056     0.93346    0.010524
          49    0.917792     0.93314   0.0103141
          50    0.867076    0.931819   0.0101921
          51      0.9433    0.932044  0.00999473
          52    0.994662    0.933248  0.00987479
          53    0.947915    0.933525  0.00969235
          54    0.928202    0.933427  0.00951337
          55    0.979203    0.934259  0.00937673
          56    0.947666    0.934498  0.00921235
          57    0.961829    0.934978   0.0090632
          58    0.981266    0.935776    0.008942
          59     1.10878    0.938708  0.00925877
          60    0.867383     0.93752  0.00918046
