#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -179.373    -179.373           0
           2    -179.108     -179.24   0.0935486
           3     -178.32    -178.934    0.258051
           4    -179.958     -179.19    0.294419
           5    -178.604    -179.073    0.257826
           6    -179.308    -179.112    0.217823
           7    -178.889     -179.08    0.189019
           8    -179.478     -179.13    0.171801
           9    -178.857      -179.1    0.155354
          10    -179.189    -179.109    0.140078
          11    -179.503    -179.144    0.131848
          12    -179.543    -179.178    0.124985
          13    -179.778    -179.224    0.123622
          14    -179.103    -179.215    0.115091
          15    -179.187    -179.213    0.107434
          16    -178.704    -179.181    0.105335
          17    -179.264    -179.186   0.0992504
          18    -179.117    -179.182   0.0938118
          19    -179.319     -179.19   0.0891509
          20    -179.339    -179.197   0.0850064
          21     -179.33    -179.203   0.0811936
          22    -179.291    -179.207   0.0776015
          23    -179.782    -179.232   0.0781489
          24    -178.935     -179.22   0.0758698
          25    -179.364    -179.226   0.0730532
          26    -178.937    -179.215   0.0710855
          27    -179.018    -179.207   0.0688238
          28     -179.49    -179.218   0.0671008
          29    -179.108    -179.214   0.0648926
          30    -179.327    -179.218   0.0628396
          31    -179.387    -179.223   0.0610496
          32    -179.808    -179.241   0.0618176
          33    -179.089    -179.237   0.0601169
          34    -180.146    -179.263   0.0640183
          35    -179.017    -179.256   0.0625762
          36    -179.005    -179.249   0.0612261
          37    -178.801    -179.237   0.0607608
          38    -179.411    -179.242   0.0593337
          39    -179.183     -179.24   0.0578313
          40    -179.742    -179.253   0.0577317
          41     -179.51    -179.259   0.0566638
          42     -179.19    -179.257   0.0553388
          43    -179.052    -179.253   0.0542568
          44     -179.63    -179.261   0.0536955
          45    -179.412    -179.265   0.0526068
          46    -179.108    -179.261   0.0515733
          47    -178.578    -179.247   0.0524862
          48    -179.703    -179.256   0.0522456
          49    -179.326    -179.258   0.0511988
          50    -179.561    -179.264   0.0505328
          51    -179.207    -179.263   0.0495542
          52    -178.944    -179.256   0.0489782
          53    -179.207    -179.256   0.0480629
          54    -179.289    -179.256   0.0471768
          55    -179.051    -179.252   0.0464668
          56    -179.205    -179.252   0.0456446
          57    -179.091    -179.249   0.0449304
          58    -179.047    -179.245   0.0442901
          59    -178.369     -179.23   0.0459646
          60    -179.576    -179.236    0.045559
          61    -179.463     -179.24   0.0449638
          62    -179.493    -179.244   0.0444243
          63    -179.531    -179.249   0.0439524
          64    -179.447    -179.252   0.0433754
          65    -178.972    -179.247   0.0429209
          66    -179.169    -179.246    0.042287
          67    -179.926    -179.256   0.0428548
          68    -179.098    -179.254   0.0422874
          69     -179.04    -179.251   0.0417879
          70    -179.052    -179.248   0.0412875
          71    -179.358     -179.25   0.0407348
          72    -179.649    -179.255   0.0405456
          73    -179.415    -179.257   0.0400495
          74    -179.698    -179.263   0.0399487
          75    -178.602    -179.254   0.0403765
          76    -178.977    -179.251   0.0400094
          77     -178.95    -179.247   0.0396807
          78    -179.483     -179.25   0.0392868
          79    -179.731    -179.256   0.0392593
          80     -179.34    -179.257   0.0387826
          81    -180.011    -179.266   0.0394048
          82    -179.581     -179.27   0.0391104
          83    -178.613    -179.262   0.0394316
          84    -179.463    -179.265   0.0390346
          85    -178.994    -179.262    0.038705
          86    -179.287    -179.262   0.0382561
          87    -179.235    -179.261   0.0378176
          88    -179.584    -179.265   0.0375648
          89    -179.364    -179.266   0.0371592
          90    -178.995    -179.263   0.0368688
          91    -179.211    -179.263   0.0364681
          92    -179.697    -179.267   0.0363761
          93    -178.816    -179.263   0.0363079
          94    -179.421    -179.264   0.0359605
          95    -179.895    -179.271   0.0361901
          96    -179.376    -179.272   0.0358296
          97    -179.227    -179.271   0.0354632
          98    -178.713    -179.266   0.0355564
          99    -178.681     -179.26   0.0356839
         100    -179.258     -179.26    0.035327
         101    -179.711    -179.264    0.035259
         102    -179.157    -179.263   0.0349289
         103    -179.526    -179.266   0.0346828
         104    -179.224    -179.265   0.0343517
         105    -179.292    -179.266   0.0340254
         106    -179.042    -179.264   0.0337698
         107    -179.808    -179.269   0.0338348
         108        -179    -179.266   0.0336126
         109    -178.882    -179.263   0.0334884
         110    -179.103    -179.261   0.0332155
         111    -179.766    -179.266   0.0332257
         112    -179.593    -179.269   0.0330577
         113    -178.882    -179.265   0.0329414
         114    -179.706    -179.269    0.032878
         115    -179.339     -179.27   0.0325977
         116    -179.088    -179.268   0.0323544
         117    -180.107    -179.275   0.0328628
         118    -179.168    -179.274   0.0325969
         119      -178.9    -179.271   0.0324744
         120    -179.338    -179.272   0.0322085
         121     -179.38    -179.273   0.0319547
         122    -179.314    -179.273   0.0316946
         123    -179.163    -179.272   0.0314494
         124    -179.271    -179.272   0.0311958
         125    -178.674    -179.267   0.0313113
         126    -179.714    -179.271   0.0312629
         127    -179.653    -179.274   0.0311608
         128    -179.891    -179.279   0.0312881
         129    -179.143    -179.278   0.0310632
         130    -178.639    -179.273   0.0312106
         131    -178.924     -179.27    0.031086
         132    -179.304     -179.27   0.0308516
         133    -179.398    -179.271   0.0306346
         134    -178.843    -179.268   0.0305724
         135    -179.461     -179.27   0.0303792
         136    -179.265     -179.27   0.0301558
         137    -179.572    -179.272   0.0300166
         138    -179.181    -179.271   0.0298063
         139    -179.363    -179.272   0.0295992
         140    -179.204    -179.271   0.0293917
         141    -179.506    -179.273   0.0292306
         142    -179.499    -179.275   0.0290679
         143     -178.66     -179.27   0.0291804
