#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0551929   0.0551929           0
           2    0.052932   0.0540624 0.000799362
           3   0.0538888   0.0540046    0.000535
           4   0.0535418   0.0538889 0.000413567
           5   0.0483823   0.0527876  0.00103913
           6   0.0535095   0.0529079 0.000872883
           7   0.0535519   0.0529999 0.000753019
           8   0.0547741   0.0532217 0.000690779
           9   0.0533824   0.0532395 0.000614257
          10   0.0549215   0.0534077   0.0005754
          11    0.053823   0.0534455 0.000524327
          12   0.0521844   0.0533404 0.000491052
          13   0.0564731   0.0535814 0.000508985
          14    0.050007   0.0533261 0.000532828
          15   0.0577077   0.0536182 0.000571797
          16   0.0492163    0.053343 0.000598597
          17   0.0570119   0.0535589 0.000601033
          18   0.0502467   0.0533749 0.000595143
          19    0.052164   0.0533111 0.000567221
          20   0.0481054   0.0530508 0.000595593
          21   0.0546788   0.0531284 0.000572254
          22   0.0498544   0.0529795 0.000565261
          23   0.0522027   0.0529458 0.000541693
          24   0.0492802    0.052793 0.000540225
          25   0.0520041   0.0527615 0.000519537
          26   0.0502171   0.0526636 0.000508688
          27    0.049928   0.0525623 0.000499836
          28   0.0498982   0.0524672 0.000490957
          29   0.0490324   0.0523487 0.000488105
          30   0.0474083    0.052184 0.000498842
          31   0.0515726   0.0521643  0.00048314
          32   0.0482399   0.0520417 0.000483356
          33   0.0524845   0.0520551 0.000468895
          34   0.0524631   0.0520671 0.000455258
          35   0.0507896   0.0520306 0.000443711
          36   0.0495695   0.0519622  0.00043662
          37   0.0482391   0.0518616 0.000436261
          38   0.0525716   0.0518803  0.00042518
          39   0.0492553    0.051813 0.000419572
          40   0.0525886   0.0518324 0.000409531
          41   0.0474474   0.0517254 0.000413272
          42   0.0519242   0.0517301 0.000403459
          43   0.0533692   0.0517683 0.000395873
          44   0.0543224   0.0518263 0.000391109
          45   0.0552936   0.0519034 0.000389933
          46   0.0462328   0.0517801 0.000400468
          47   0.0499149   0.0517404 0.000393909
          48    0.052083   0.0517475 0.000385767
          49   0.0557516   0.0518293 0.000386452
          50   0.0551184    0.051895 0.000384281
