#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.26305     1.26305           0
           2     1.26189     1.26247 0.000410375
           3     1.24085     1.25526  0.00589187
           4     1.24375     1.25238  0.00507333
           5     1.20535     1.24298  0.00934143
           6     1.23373     1.24144  0.00791061
           7     1.25712     1.24368  0.00709054
           8     1.27043     1.24702  0.00694802
           9     1.24839     1.24717  0.00617769
          10     1.23273     1.24573  0.00572626
          11     1.24939     1.24606  0.00521536
          12      1.2717      1.2482      0.0052
          13     1.26534     1.24952  0.00496441
          14     1.24217     1.24899  0.00463748
          15     1.27111     1.25047  0.00455677
          16     1.26385      1.2513  0.00434812
          17     1.24884     1.25116  0.00409476
          18     1.21408      1.2491  0.00435467
          19     1.24634     1.24895  0.00412789
          20     1.23606     1.24831  0.00397152
          21     1.24292     1.24805  0.00379068
          22      1.2679     1.24895  0.00372416
          23     1.25817     1.24936  0.00358374
          24     1.23245     1.24865  0.00350295
          25      1.2193     1.24748   0.0035541
          26     1.21779     1.24633  0.00359619
          27     1.20521     1.24481  0.00377172
          28     1.21467     1.24374  0.00378757
          29     1.21201     1.24264  0.00381171
          30     1.20457     1.24137   0.0038902
          31     1.23826     1.24127  0.00376601
          32       1.235     1.24108  0.00365341
          33     1.20497     1.23998  0.00370289
          34     1.21317     1.23919  0.00367701
          35     1.20241     1.23814  0.00371911
          36     1.20082     1.23711  0.00375754
          37     1.19842     1.23606  0.00379868
          38     1.21681     1.23555  0.00373232
          39     1.23038     1.23542  0.00363898
          40     1.23857      1.2355  0.00354886
          41     1.25508     1.23598   0.0034943
          42     1.28033     1.23703   0.0035671
          43     1.25065     1.23735  0.00349818
          44     1.27944     1.23831  0.00354705
          45     1.30186     1.23972  0.00373887
          46     1.27189     1.24042  0.00372245
          47     1.24245     1.24046  0.00364349
          48     1.19073     1.23942    0.003712
          49     1.20056     1.23863  0.00372003
          50     1.20923     1.23804   0.0036918
          51     1.20171     1.23733  0.00368751
          52     1.18012     1.23623  0.00377717
          53     1.19795     1.23551  0.00377433
          54     1.21457     1.23512  0.00372431
          55     1.24561     1.23531  0.00366147
          56      1.2751     1.23602  0.00366437
          57     1.27992     1.23679  0.00368012
          58     1.26207     1.23723  0.00364237
          59     1.25177     1.23747  0.00358897
          60     1.23884      1.2375  0.00352923
          61     1.28214     1.23823  0.00354643
          62     1.27113     1.23876  0.00352871
          63     1.26508     1.23918  0.00349734
          64     1.26873     1.23964  0.00347304
          65     1.25622     1.23989  0.00342896
          66     1.25536     1.24013    0.003385
          67      1.2724     1.24061  0.00336857
          68     1.25786     1.24086  0.00332856
          69     1.23833     1.24083  0.00328053
          70     1.22344     1.24058  0.00324306
          71     1.24617     1.24066  0.00319834
          72      1.2456     1.24073  0.00315465
          73     1.27457     1.24119  0.00314532
          74     1.26964     1.24157  0.00312623
          75     1.29712     1.24231  0.00317105
          76     1.25671      1.2425  0.00313498
          77     1.25499     1.24267  0.00309845
          78      1.2737     1.24306  0.00308416
          79     1.24754     1.24312  0.00304564
          80     1.22465     1.24289  0.00301631
          81     1.24543     1.24292  0.00297924
          82     1.23272      1.2428   0.0029455
          83     1.26184     1.24303  0.00291894
          84     1.23167     1.24289  0.00288732
          85     1.22169     1.24264  0.00286411
          86     1.23974     1.24261    0.002831
          87     1.23729     1.24255  0.00279912
          88     1.27168     1.24288  0.00278682
          89     1.29368     1.24345  0.00281335
          90     1.24222     1.24343  0.00278212
          91      1.2559     1.24357  0.00275492
          92     1.26481      1.2438  0.00273463
          93     1.27025     1.24409  0.00271998
          94     1.27175     1.24438  0.00270691
          95     1.25191     1.24446  0.00267958
          96     1.24406     1.24446  0.00265167
          97      1.2636     1.24465  0.00263167
          98     1.26226     1.24483  0.00261094
          99     1.23351     1.24472  0.00258707
         100     1.24835     1.24476  0.00256146
         101     1.23285     1.24464   0.0025388
         102     1.20177     1.24422  0.00254846
         103     1.20672     1.24385  0.00254959
         104     1.20626     1.24349  0.00255057
         105      1.2347     1.24341  0.00252765
         106     1.20913     1.24308  0.00252441
         107     1.21242      1.2428  0.00251703
         108     1.20373     1.24244  0.00251959
         109     1.20301     1.24207  0.00252231
         110     1.18119     1.24152  0.00255938
         111     1.19585     1.24111  0.00256918
         112     1.20774     1.24081  0.00256346
         113     1.22526     1.24067  0.00254447
         114     1.23741     1.24065  0.00252231
         115     1.23521      1.2406  0.00250082
         116      1.2576     1.24074  0.00248355
         117     1.22799     1.24064  0.00246471
         118      1.2361      1.2406  0.00244413
         119      1.2295      1.2405  0.00242537
         120     1.20587     1.24022  0.00242226
         121     1.24369     1.24024  0.00240242
         122      1.2312     1.24017  0.00238387
         123     1.20522     1.23989  0.00238136
         124     1.24931     1.23996  0.00236337
         125     1.25482     1.24008  0.00234745
         126     1.22979        1.24  0.00233024
         127     1.25059     1.24008  0.00231338
         128     1.24923     1.24015  0.00229641
         129     1.22317     1.24002  0.00228238
         130     1.22162     1.23988  0.00226921
         131     1.25791     1.24002  0.00225606
         132     1.26549     1.24021   0.0022472
         133     1.24298     1.24023   0.0022304
         134     1.25838     1.24037  0.00221787
         135     1.22468     1.24025  0.00220448
         136       1.241     1.24026  0.00218828
         137     1.27576     1.24052  0.00218759
         138     1.23647     1.24049  0.00217194
         139     1.21566     1.24031  0.00216364
         140     1.21701     1.24014  0.00215458
         141     1.24747     1.24019  0.00213992
         142     1.25113     1.24027  0.00212624
         143      1.2175     1.24011  0.00211732
         144     1.23053     1.24005  0.00210366
         145     1.22419     1.23994    0.002092
         146     1.20758     1.23971  0.00208937
         147     1.19991     1.23944  0.00209263
         148     1.17726     1.23902  0.00212025
         149     1.18044     1.23863  0.00214216
         150     1.20214     1.23839  0.00214165
         151     1.25226     1.23848  0.00212944
         152     1.22603      1.2384    0.002117
         153     1.23154     1.23835  0.00210364
         154     1.23254     1.23831  0.00209032
         155     1.26144     1.23846  0.00208215
         156     1.27345     1.23869  0.00208085
         157     1.24169     1.23871  0.00206768
         158     1.24102     1.23872  0.00205465
         159       1.235      1.2387  0.00204186
         160     1.22087     1.23859  0.00203214
         161     1.20894      1.2384  0.00202784
         162     1.23148     1.23836  0.00201578
         163     1.24506      1.2384  0.00200383
         164     1.24091     1.23842  0.00199167
         165     1.21541     1.23828  0.00198447
         166     1.21122     1.23811   0.0019792
         167     1.20622     1.23792  0.00197654
         168      1.2222     1.23783  0.00196699
         169     1.22021     1.23772  0.00195812
         170     1.23316      1.2377  0.00194678
         171      1.2477     1.23776  0.00193628
         172     1.21634     1.23763  0.00192902
         173     1.24763     1.23769  0.00191873
         174     1.25344     1.23778  0.00190984
         175      1.2333     1.23775   0.0018991
         176     1.22728      1.2377  0.00188924
         177      1.2033      1.2375  0.00188853
         178     1.21166     1.23736  0.00188349
         179     1.20983      1.2372  0.00187924
         180     1.25377     1.23729  0.00187105
         181     1.26418     1.23744   0.0018666
         182     1.26989     1.23762  0.00186484
         183     1.24429     1.23766    0.001855
         184     1.23337     1.23763  0.00184507
         185     1.22477     1.23756  0.00183641
         186     1.21065     1.23742  0.00183223
         187     1.19687      1.2372  0.00183521
         188     1.22451     1.23714  0.00182669
         189     1.19838     1.23693   0.0018285
         190     1.19766     1.23672  0.00183053
         191     1.24646     1.23677  0.00182165
         192      1.2387     1.23678  0.00181219
         193     1.24452     1.23682  0.00180325
         194     1.20817     1.23668  0.00179999
         195     1.21207     1.23655  0.00179517
         196     1.24115     1.23657  0.00178617
         197     1.24205      1.2366  0.00177732
         198     1.25776     1.23671  0.00177155
         199     1.23194     1.23668  0.00176281
         200     1.24194     1.23671  0.00175419
         201     1.23657     1.23671  0.00174547
         202      1.2472     1.23676   0.0017376
         203     1.25157     1.23684  0.00173057
         204     1.26999       1.237   0.0017297
         205     1.33404     1.23747  0.00178487
         206     1.33728     1.23796   0.0018408
         207     1.29109     1.23821  0.00184971
         208     1.27231     1.23838  0.00184807
         209      1.2671     1.23851  0.00184433
         210     1.26425     1.23864  0.00183962
         211     1.25836     1.23873  0.00183327
         212     1.26708     1.23886   0.0018295
         213     1.24485     1.23889  0.00182112
         214     1.24146      1.2389  0.00181265
         215     1.24806     1.23895  0.00180472
         216     1.24983       1.239  0.00179707
         217     1.19208     1.23878  0.00180175
         218     1.18703     1.23854  0.00180906
         219     1.20237     1.23838  0.00180832
         220     1.23558     1.23837  0.00180015
         221     1.26597     1.23849  0.00179633
         222     1.26346      1.2386  0.00179176
         223     1.23135     1.23857  0.00178402
         224      1.2036     1.23841  0.00178287
         225     1.22458     1.23835    0.001776
         226     1.21627     1.23825  0.00177083
         227     1.22366     1.23819   0.0017642
         228     1.25125     1.23825  0.00175739
         229     1.24293     1.23827  0.00174983
         230     1.25464     1.23834  0.00174367
         231     1.23203     1.23831  0.00173634
         232     1.22232     1.23824  0.00173022
         233     1.27472      1.2384  0.00172986
         234     1.26002     1.23849  0.00172494
         235     1.27803     1.23866  0.00172578
         236     1.31656     1.23899  0.00174976
         237     1.31281      1.2393  0.00176988
         238     1.28569      1.2395  0.00177314
         239     1.28025     1.23967   0.0017739
         240     1.23263     1.23964  0.00176675
         241     1.20608      1.2395   0.0017649
         242     1.22941     1.23946   0.0017581
         243     1.25093      1.2395   0.0017515
         244     1.26457     1.23961  0.00174733
         245     1.24523     1.23963  0.00174035
         246      1.2399     1.23963  0.00173327
         247     1.24719     1.23966  0.00172653
         248     1.24786     1.23969  0.00171988
         249     1.26572      1.2398  0.00171615
         250     1.24519     1.23982  0.00170942
         251      1.2511     1.23987   0.0017032
         252     1.25991     1.23995  0.00169829
         253     1.24705     1.23997  0.00169181
         254     1.23512     1.23995  0.00168526
         255     1.22595      1.2399  0.00167955
         256     1.23276     1.23987  0.00167322
         257     1.26463     1.23997  0.00166948
         258     1.24816        1.24  0.00166331
         259      1.2221     1.23993  0.00165832
         260     1.24163     1.23994  0.00165196
         261     1.25857     1.24001  0.00164717
         262     1.25678     1.24007  0.00164213
         263     1.25557     1.24013  0.00163694
         264     1.28158     1.24029  0.00163825
         265     1.28669     1.24046   0.0016414
         266     1.23383     1.24044  0.00163542
         267     1.21752     1.24035  0.00163154
         268     1.20659     1.24023  0.00163031
         269     1.24392     1.24024  0.00162431
         270     1.25335     1.24029  0.00161902
         271     1.22593     1.24024  0.00161391
         272      1.2569      1.2403  0.00160914
         273     1.26277     1.24038  0.00160535
         274     1.23147     1.24035  0.00159982
         275     1.26796     1.24045  0.00159715
         276     1.27391     1.24057  0.00159596
         277     1.26623     1.24066  0.00159288
         278     1.28916     1.24084  0.00159668
         279     1.30271     1.24106  0.00160628
         280     1.29693     1.24126  0.00161289
         281     1.29951     1.24146  0.00162042
         282     1.33581      1.2418  0.00164885
         283     1.28496     1.24195  0.00165006
         284     1.29126     1.24212  0.00165336
         285     1.26836     1.24222  0.00165012
         286     1.25523     1.24226  0.00164498
         287     1.26488     1.24234  0.00164113
         288       1.274     1.24245  0.00163911
         289     1.28461      1.2426  0.00163992
         290     1.27675     1.24271  0.00163849
         291     1.23991     1.24271  0.00163289
         292     1.22282     1.24264  0.00162871
         293     1.25703     1.24269   0.0016239
         294     1.25445     1.24273  0.00161887
         295     1.25874     1.24278  0.00161429
         296     1.25698     1.24283  0.00160955
         297     1.26662     1.24291  0.00160612
         298      1.2198     1.24283   0.0016026
         299     1.20425      1.2427  0.00160243
         300      1.2198     1.24263   0.0015989
         301     1.26349      1.2427  0.00159509
         302     1.25304     1.24273  0.00159018
         303     1.21498     1.24264  0.00158757
         304     1.22876     1.24259    0.001583
         305       1.265     1.24267  0.00157951
         306     1.23902     1.24265   0.0015744
