#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.920243    0.920243           0
           2    0.994734    0.957489   0.0263366
           3     1.02744    0.980805   0.0258979
           4     1.06013     1.00064   0.0259279
           5     1.08608     1.01773   0.0257652
           6     1.05465     1.02388   0.0221939
           7     1.08335     1.03237   0.0205851
           8      1.1043     1.04137   0.0198785
           9     1.08987     1.04675   0.0183859
          10     1.10041     1.05212   0.0173125
