#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -9.65027    -9.65027           0
           2    -9.60015    -9.62521   0.0177196
           3    -8.77911    -9.34318    0.230583
           4    -8.89132    -9.23021    0.198691
           5    -7.39509    -8.86319    0.364735
           6    -8.50128    -8.80287    0.308893
           7    -9.41416     -8.8902    0.276835
           8    -9.93255    -9.02049    0.271164
           9     -9.0735    -9.02638    0.241099
          10    -8.46148    -8.96989    0.223509
          11    -9.11158    -8.98277    0.203561
          12    -9.98095    -9.06595    0.202882
          13    -9.73277    -9.11725    0.193651
          14    -8.83134    -9.09683    0.180893
          15    -9.96032    -9.15439    0.177757
          16    -9.67591    -9.18699    0.169609
          17    -9.09085    -9.18133    0.159727
          18    -7.73503    -9.10098    0.169865
          19    -8.99549    -9.09543    0.161015
          20    -8.59241    -9.07028    0.154916
          21    -8.86223    -9.06037    0.147856
          22    -9.83578    -9.09562    0.145275
          23    -9.45537    -9.11126    0.139799
          24    -8.45086    -9.08374    0.136655
          25    -7.93906    -9.03795    0.138647
          26     -7.8815    -8.99348    0.140268
          27    -7.38869    -8.93404    0.147128
          28    -7.76232    -8.89219    0.147705
          29    -7.65558    -8.84955    0.148639
          30    -7.36772    -8.80016     0.15167
          31    -8.68058     -8.7963    0.146826
          32    -8.55189    -8.78866    0.142436
          33      -7.381      -8.746    0.144366
          34    -7.69839    -8.71519    0.143371
          35    -7.28002    -8.67419     0.14502
          36    -7.21734    -8.63372    0.146529
          37    -7.12404    -8.59292    0.148141
          38    -7.84152    -8.57314    0.145556
          39    -8.37188    -8.56798    0.141915
          40    -8.69146    -8.57107    0.138401
          41    -9.33955    -8.58981    0.136288
          42    -10.3213    -8.63104    0.139139
          43    -9.16713    -8.64351    0.136461
          44    -10.2932      -8.681    0.138414
          45    -11.1649     -8.7362     0.14593
          46    -9.99404    -8.76354    0.145297
          47    -8.84149     -8.7652    0.142215
          48    -6.82417    -8.72476    0.144887
          49    -7.20756     -8.6938    0.145201
          50    -7.54494    -8.67082    0.144104
          51    -7.25273    -8.64302    0.143936
          52    -6.41046    -8.60008    0.147432
          53    -7.10973    -8.57196    0.147308
          54    -7.75613    -8.55685    0.145352
          55    -8.96772    -8.56433    0.142902
          56    -10.1178    -8.59207    0.143017
          57    -10.3039     -8.6221    0.143627
          58      -9.607    -8.63908    0.142151
          59    -9.20501    -8.64867    0.140064
          60    -8.70318    -8.64958    0.137733
          61    -10.3929    -8.67816    0.138408
          62    -9.96449    -8.69891    0.137722
          63    -9.72694    -8.71522    0.136499
          64    -9.86939    -8.73326    0.135553
          65    -9.38213    -8.74324    0.133834
          66     -9.3511    -8.75245    0.132123
          67    -10.0171    -8.77132    0.131492
          68    -9.44675    -8.78126    0.129933
          69    -8.68328    -8.77984    0.128058
          70    -8.10329    -8.77017    0.126593
          71    -8.99011    -8.77327    0.124847
          72    -8.96863    -8.77598    0.123143
          73    -10.0975    -8.79409     0.12278
          74    -9.90758    -8.80913    0.122039
          75    -10.9793    -8.83807    0.123795
          76    -9.40175    -8.84549    0.122388
          77    -9.33464    -8.85184    0.120963
          78    -10.0618    -8.86735    0.120403
          79     -9.0412    -8.86955    0.118899
          80    -8.14562     -8.8605    0.117756
          81     -8.9581    -8.86171    0.116309
          82    -8.46051    -8.85682    0.114993
          83    -9.60221     -8.8658    0.113958
          84    -8.41961    -8.86048    0.112725
          85    -8.03642    -8.85079    0.111815
          86    -8.73734    -8.84947    0.110523
          87    -8.64182    -8.84708    0.109278
          88    -9.98315    -8.85999    0.108796
          89    -10.8405    -8.88225    0.109826
          90    -8.83302     -8.8817    0.108607
          91    -9.36977    -8.88706    0.107546
          92    -9.71891     -8.8961    0.106756
          93     -9.9307    -8.90723    0.106186
          94    -9.98684    -8.91871    0.105676
          95    -9.21258    -8.92181    0.104609
          96    -8.90446    -8.92163    0.103519
          97    -9.67097    -8.92935     0.10274
          98    -9.61353    -8.93633    0.101929
          99    -8.49478    -8.93187    0.100997
         100    -9.07563    -8.93331   0.0999969
         101     -8.4664    -8.92869   0.0991136
         102    -7.25796    -8.91231   0.0994862
         103    -7.44922     -8.8981   0.0995292
         104    -7.42964    -8.88398   0.0995687
         105    -8.53776    -8.88069    0.098675
         106     -7.5404    -8.86804   0.0985509
         107    -7.67016    -8.85685   0.0982637
         108    -7.33023    -8.84271   0.0983653
         109    -7.30344    -8.82859   0.0984713
         110    -6.45444    -8.80701   0.0999135
         111    -7.02674    -8.79097    0.100292
         112    -7.49402    -8.77939    0.100063
         113    -8.17518    -8.77404   0.0993204
         114    -8.64903    -8.77295   0.0984552
         115    -8.56041     -8.7711   0.0976165
         116     -9.4318    -8.77679    0.096941
         117    -8.27767    -8.77253   0.0962062
         118    -8.59349    -8.77101   0.0954029
         119    -8.33521    -8.76735   0.0946714
         120    -7.41536    -8.75608   0.0945505
         121    -8.89169     -8.7572   0.0937758
         122    -8.40087    -8.75428   0.0930526
         123    -7.39054    -8.74319   0.0929542
         124    -9.11058    -8.74616   0.0922518
         125    -9.32486    -8.75079   0.0916299
         126    -8.35077    -8.74761   0.0909577
         127    -9.16831    -8.75092   0.0903018
         128     -9.1115    -8.75374   0.0896402
         129    -8.09575    -8.74864   0.0890903
         130     -8.0363    -8.74316   0.0885734
         131     -9.4512    -8.74857    0.088062
         132    -9.74181    -8.75609   0.0877157
         133    -8.86687    -8.75692   0.0870602
         134    -9.46409     -8.7622   0.0865703
         135    -8.14747    -8.75765   0.0860487
         136    -8.78771    -8.75787   0.0854163
         137    -10.1393    -8.76795   0.0853859
         138    -8.61019    -8.76681   0.0847748
         139    -7.79825    -8.75984   0.0844508
         140    -7.85111    -8.75335   0.0840967
         141    -9.04046    -8.75539   0.0835249
         142    -9.17828    -8.75836   0.0829898
         143    -7.87136    -8.75216   0.0826409
         144    -8.37934    -8.74957   0.0821076
         145    -8.12971     -8.7453   0.0816525
         146    -7.48422    -8.73666   0.0815488
         147    -7.18046    -8.72607   0.0816783
         148    -6.29929    -8.70968    0.082756
         149    -6.42186    -8.69432   0.0836128
         150    -7.27215    -8.68484   0.0835912
         151    -9.22427    -8.68841    0.083114
         152      -8.202    -8.68521   0.0826287
         153     -8.4165    -8.68346   0.0821073
         154    -8.45721    -8.68199   0.0815873
         155    -9.58514    -8.68781   0.0812688
         156    -10.0527    -8.69656   0.0812174
         157    -8.81301     -8.6973   0.0807035
         158    -8.78671    -8.69787   0.0801947
         159    -8.55334    -8.69696   0.0796955
         160    -8.00119    -8.69261   0.0793159
         161    -7.53945    -8.68545    0.079146
         162    -8.41886    -8.68381   0.0786746
         163     -8.9456    -8.68541   0.0782083
         164     -8.7815      -8.686   0.0777336
         165    -7.78782    -8.68055   0.0774529
         166    -7.62602     -8.6742   0.0772464
         167     -7.4295    -8.66675   0.0771426
         168    -8.05355     -8.6631   0.0767697
         169     -7.9728    -8.65901    0.076424
         170    -8.47903    -8.65795   0.0759818
         171     -9.0451    -8.66022   0.0755712
         172    -7.82148    -8.65534    0.075289
         173    -9.04374    -8.65759   0.0748872
         174    -9.26907     -8.6611   0.0745393
         175    -8.48428    -8.66009   0.0741202
         176    -8.25148    -8.65777   0.0737354
         177    -7.31834     -8.6502   0.0737061
         178    -7.64641    -8.64456   0.0735074
         179    -7.57878    -8.63861   0.0733375
         180    -9.28741    -8.64221   0.0730186
         181     -9.6917    -8.64801    0.072845
         182    -9.90938    -8.65494   0.0727737
         183    -8.91201    -8.65635   0.0723896
         184    -8.48686    -8.65543   0.0720021
         185    -8.15277    -8.65271   0.0716641
         186    -7.60185    -8.64706   0.0715012
         187    -7.06315    -8.63859   0.0716188
         188    -8.14156    -8.63594   0.0712866
         189    -7.11906    -8.62792   0.0713598
         190    -7.09268    -8.61984   0.0714402
         191    -9.00108    -8.62183   0.0710941
         192    -8.69589    -8.62222   0.0707248
         193    -8.92189    -8.62377   0.0703754
         194    -7.50452      -8.618   0.0702487
         195    -7.65901    -8.61309   0.0700604
         196    -8.79066    -8.61399   0.0697088
