#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.69262     1.69262           0
           2     1.63242     1.66252   0.0212846
           3     1.67345     1.66616    0.014498
           4     1.67861     1.66928   0.0112026
           5     1.64832     1.66508  0.00971431
           6     1.65924     1.66411  0.00814394
           7     1.63543     1.66001   0.0079447
           8     1.68847     1.66357  0.00770664
           9     1.60536      1.6571  0.00917135
          10     1.65519     1.65691  0.00825622
          11     1.67254     1.65833   0.0076269
          12      1.6838     1.66045  0.00728057
          13      1.6393     1.65883  0.00689998
          14     1.65251     1.65838  0.00642184
          15     1.64675      1.6576  0.00604029
          16     1.63991     1.65649  0.00576306
          17     1.71799     1.66011  0.00646036
          18     1.69368     1.66198  0.00636493
          19     1.65832     1.66178  0.00603283
          20     1.68895     1.66314  0.00588212
          21     1.66283     1.66313  0.00560203
          22     1.61856      1.6611  0.00570198
          23      1.6936     1.66252  0.00562646
          24     1.72413     1.66508  0.00594893
          25     1.66264     1.66498  0.00571178
          26     1.64859     1.66435  0.00552679
          27     1.65445     1.66399  0.00533427
          28     1.64528     1.66332  0.00518541
          29     1.68976     1.66423  0.00508611
          30     1.64751     1.66367  0.00494703
          31     1.64141     1.66296  0.00483929
          32     1.66105      1.6629  0.00468843
          33     1.65439     1.66264  0.00455344
          34     1.71236      1.6641  0.00464838
          35     1.66166     1.66403  0.00451609
          36     1.70102     1.66506  0.00450602
          37     1.64581     1.66454  0.00441416
          38     1.68855     1.66517  0.00434301
          39     1.66605     1.66519  0.00423171
          40     1.69451     1.66593  0.00418889
          41     1.70582      1.6669  0.00419824
          42     1.65578     1.66663  0.00410662
          43     1.68393     1.66704  0.00403077
          44      1.6983     1.66775  0.00400128
          45     1.68853     1.66821  0.00393893
          46     1.61186     1.66698  0.00403927
          47     1.63583     1.66632  0.00400733
          48      1.6863     1.66674   0.0039454
          49      1.7307     1.66804  0.00407512
          50     1.64487     1.66758  0.00401988
          51     1.69651     1.66815  0.00398089
          52     1.61497     1.66712  0.00403354
          53     1.67862     1.66734  0.00396327
          54     1.68755     1.66771   0.0039075
          55     1.63517     1.66712    0.003881
          56     1.64312     1.66669  0.00383528
          57     1.69633     1.66721  0.00380308
          58     1.71381     1.66802  0.00382144
          59      1.7304     1.66908  0.00390019
          60     1.68433     1.66933  0.00384347
          61     1.66245     1.66922  0.00378212
          62     1.65392     1.66897  0.00372915
          63     1.67474     1.66906  0.00367109
          64     1.68436      1.6693   0.0036215
          65     1.67496     1.66939  0.00356683
          66     1.65587     1.66918  0.00351866
          67     1.68707     1.66945  0.00347626
          68     1.65752     1.66927  0.00342957
          69     1.66321     1.66919  0.00338099
          70     1.65649     1.66901  0.00333755
          71     1.63183     1.66848  0.00333136
          72      1.6064     1.66762  0.00339485
          73     1.67908     1.66778  0.00335197
          74     1.68466       1.668  0.00331443
          75      1.6597     1.66789  0.00327208
          76     1.66095      1.6678   0.0032303
          77     1.59908     1.66691  0.00330936
          78     1.62903     1.66642  0.00330238
          79     1.68442     1.66665  0.00326842
          80     1.67199     1.66672  0.00322825
          81     1.63907     1.66638  0.00320639
          82     1.68782     1.66664  0.00317794
          83     1.71619     1.66724  0.00319524
          84     1.70547     1.66769  0.00318946
          85     1.66508     1.66766  0.00315209
          86     1.68075     1.66781  0.00311911
          87     1.65793      1.6677  0.00308532
          88      1.6723     1.66775   0.0030507
          89     1.66921     1.66777  0.00301647
          90     1.71597      1.6683  0.00303012
          91     1.60614     1.66762  0.00307285
          92     1.66715     1.66761  0.00303946
          93     1.69742     1.66794  0.00302363
          94     1.62978     1.66753  0.00301859
          95     1.67923     1.66765  0.00298932
          96     1.67223      1.6677  0.00295856
          97     1.65502     1.66757  0.00293095
          98     1.69992      1.6679  0.00291957
          99     1.64484     1.66767  0.00289936
         100     1.64514     1.66744   0.0028791
         101     1.64974     1.66727  0.00285592
         102     1.67793     1.66737  0.00282984
         103     1.66348     1.66733  0.00280261
         104     1.70075     1.66765  0.00279402
         105     1.68097     1.66778  0.00277029
         106     1.70552     1.66814  0.00276693
         107     1.64071     1.66788  0.00275292
         108     1.60834     1.66733  0.00278208
         109     1.70296     1.66766   0.0027757
         110     1.69533     1.66791  0.00276184
         111     1.66034     1.66784   0.0027378
         112     1.72463     1.66835  0.00275992
         113     1.64268     1.66812  0.00274482
         114     1.66022     1.66805  0.00272162
         115     1.64438     1.66784  0.00270573
         116     1.67494     1.66791  0.00268309
         117     1.65863     1.66783  0.00266133
         118     1.63434     1.66754  0.00265386
         119     1.70023     1.66782  0.00264574
         120     1.69914     1.66808  0.00263653
         121     1.65329     1.66796  0.00261758
         122     1.65725     1.66787  0.00259759
         123     1.65419     1.66776  0.00257885
         124     1.66979     1.66777  0.00255811
         125      1.7456      1.6684  0.00261232
         126     1.70403     1.66868  0.00260685
         127     1.64844     1.66852  0.00259118
         128     1.66366     1.66848  0.00257122
         129     1.68883     1.66864  0.00255612
         130     1.66555     1.66862  0.00253657
         131     1.63588     1.66837  0.00252949
         132     1.64322     1.66818  0.00251749
         133     1.65249     1.66806  0.00250132
         134     1.64182     1.66786  0.00249031
         135      1.6594      1.6678  0.00247265
         136     1.62592     1.66749  0.00247357
         137     1.65609     1.66741  0.00245691
         138     1.63837      1.6672   0.0024481
         139     1.60851     1.66678  0.00246663
         140     1.63035     1.66651  0.00246269
         141     1.61547     1.66615  0.00247169
         142     1.68618     1.66629   0.0024583
         143     1.69162     1.66647  0.00244748
         144     1.70799     1.66676  0.00244741
         145     1.64927     1.66664   0.0024335
         146     1.66367     1.66662  0.00241692
         147     1.66513     1.66661   0.0024005
         148     1.62196     1.66631  0.00240316
         149     1.67707     1.66638  0.00238811
         150     1.63722     1.66618  0.00238009
         151     1.70655     1.66645  0.00237929
         152     1.67434      1.6665  0.00236421
         153     1.66595      1.6665  0.00234876
