#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     2.07511     2.07511           0
           2     2.28301     2.17906   0.0735014
           3     2.19412     2.18408   0.0491721
           4     2.09972     2.16299   0.0411544
           5     2.19362     2.16912   0.0333763
           6     2.18663     2.17203   0.0279409
           7     2.42999     2.20888   0.0416836
           8     1.95462      2.1771   0.0470554
           9     2.46647     2.20925   0.0516567
          10     2.23842     2.21217   0.0465733
          11     2.09003     2.20107   0.0436428
          12     2.14254     2.19619   0.0402775
          13     2.26916      2.2018   0.0375683
          14     2.24206     2.20468   0.0349947
          15     2.20639     2.20479   0.0326619
          16     2.30801     2.21124   0.0312512
          17     2.18785     2.20987   0.0294431
          18     2.11196     2.20443   0.0283053
          19     2.29232     2.20905    0.027191
          20     2.23266     2.21023    0.025857
          21     2.32248     2.21558   0.0251721
          22     2.40185     2.22405    0.025412
          23     2.25787     2.22552   0.0243497
          24     2.00625     2.21638   0.0249904
          25     2.26372     2.21827   0.0240624
          26     2.36043     2.22374   0.0237499
          27     2.25374     2.22485   0.0228963
          28     2.25952     2.22609    0.022112
          29     2.11101     2.22212   0.0217027
          30     2.46909     2.23035   0.0224865
          31     2.34401     2.23402    0.022058
          32      2.1201     2.23046   0.0216541
          33     2.14627     2.22791   0.0211476
          34     1.94652     2.21963   0.0220858
          35     2.12417     2.21691   0.0216225
          36     2.08202     2.21316   0.0213441
          37     2.25317     2.21424   0.0207946
          38     2.09008     2.21097   0.0205025
          39     2.14991     2.20941   0.0200365
          40     2.03152     2.20496    0.020023
          41     2.08566     2.20205   0.0197449
          42     2.26406     2.20353   0.0193299
          43     2.07492     2.20054   0.0191104
          44     2.19635     2.20044   0.0186763
          45     1.96698     2.19525   0.0189681
          46     2.57371     2.20348   0.0202617
          47     2.33726     2.20633   0.0200295
          48     2.05319     2.20314   0.0198647
          49     1.95156       2.198   0.0201118
          50     2.34965     2.20104    0.019937
          51     2.00019      2.1971   0.0199312
          52     2.45543     2.20207   0.0201576
          53     2.14212     2.20093    0.019809
          54     2.17498     2.20045   0.0194479
          55     2.32213     2.20267   0.0192198
          56     2.15459     2.20181   0.0188957
          57     1.95206     2.19743   0.0190654
          58     1.99851       2.194   0.0190427
          59     1.92568     2.18945   0.0192553
          60      2.1073     2.18808    0.018983
          61      2.2307     2.18878   0.0186847
          62     2.21876     2.18926   0.0183896
          63     2.20143     2.18946   0.0180987
          64     2.08494     2.18782   0.0178894
          65     2.05183     2.18573   0.0177361
          66     2.25937     2.18685   0.0175024
          67     2.19582     2.18698   0.0172417
          68      2.2841     2.18841   0.0170472
          69     2.17741     2.18825   0.0168009
          70      2.2439     2.18904   0.0165797
          71     2.33034     2.19103   0.0164652
          72     2.41643     2.19416   0.0165314
          73      2.2736     2.19525   0.0163407
          74     2.14411     2.19456   0.0161345
          75     2.37037      2.1969   0.0160888
          76      2.3687     2.19917   0.0160351
          77     2.54995     2.20372   0.0164612
          78     2.29403     2.20488   0.0162909
          79     2.20547     2.20489   0.0160847
          80     2.18299     2.20461   0.0158859
          81     2.28181     2.20557   0.0157184
          82     2.06247     2.20382   0.0156232
          83     1.99686     2.20133   0.0156327
          84     2.07744     2.19985    0.015516
          85      2.2239     2.20014   0.0153361
          86      2.0114     2.19794    0.015314
          87     2.08582     2.19665   0.0151921
          88     2.27724     2.19757    0.015047
          89     2.20124     2.19761    0.014878
          90     2.04953     2.19596   0.0148034
          91     2.57196      2.2001   0.0152064
          92     2.20414     2.20014   0.0150412
          93      2.0122     2.19812   0.0150146
          94     2.48839     2.20121   0.0151691
          95     2.24958     2.20172   0.0150179
          96      2.2948     2.20269   0.0148928
          97     2.32263     2.20392   0.0147905
          98     1.88637     2.20068   0.0149903
          99     2.23361     2.20101   0.0148426
         100     2.31786     2.20218   0.0147401
         101      2.3796     2.20394   0.0146984
