#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.16233     1.16233           0
           2     1.12667      1.1445   0.0126071
           3     1.12607     1.13836  0.00978863
           4     1.14582     1.14022  0.00751729
           5     1.13842     1.13986  0.00602246
           6     1.12675     1.13768  0.00540072
           7     1.11541      1.1345  0.00548696
           8     1.15472     1.13703  0.00535204
           9     1.12933     1.13617   0.0048252
          10      1.1402     1.13657  0.00435951
